algorithm,task,matrix_size,tile_size,l3_cache_size,frequency,weight,PAPI_L3_TCM,PAPI_TOT_INS,PAPI_TOT_CYC,PAPI_RES_STL,
invert,getrf,18432,256,37486592,1000000,72,3815443,350234434,158649039,59912030,
invert,gemm,18432,256,37486592,1000000,121836,4032604586,483768635566,171501896388,45430743395,
invert,trsm,18432,256,37486592,1000000,2556,44599865,11923848212,6566748312,3039270823,
invert,getri,18432,256,37486592,1000000,72,2880883,580243806,279615804,109789105,
invert,getrf,18432,256,37486592,4000000,72,3510810,350234218,196064649,97182287,
invert,gemm,18432,256,37486592,4000000,121836,3911100311,483768421923,185694105383,59784594028,
invert,trsm,18432,256,37486592,4000000,2556,44593066,11923822320,6795266449,3271624832,
invert,getri,18432,256,37486592,4000000,72,2916578,580243784,316767904,145771909,
invert,getrf,18432,512,37486592,1000000,36,9025168,1073918261,542578545,252284894,
invert,gemm,18432,512,37486592,1000000,14910,2350438111,459537877263,153215967996,34712149061,
invert,trsm,18432,512,37486592,1000000,630,43485662,17532756838,9028118940,3991393941,
invert,getri,18432,512,37486592,1000000,36,8030027,1696119218,925034896,433876355,
invert,getrf,18432,512,37486592,4000000,36,8442473,1073917273,688742208,397133558,
invert,gemm,18432,512,37486592,4000000,14910,2335844514,459537730764,160978348893,42387389729,
invert,trsm,18432,512,37486592,4000000,630,43843376,17532761653,9257342826,4228205324,
invert,getri,18432,512,37486592,4000000,36,7711024,1696118644,1104652915,612886734,
invert,getrf,18432,1024,37486592,1000000,18,17062288,2949331559,1396272045,613666603,
invert,gemm,18432,1024,37486592,1000000,1785,1275866545,432678786128,135724250700,25689504138,
invert,trsm,18432,1024,37486592,1000000,153,61850781,26711684099,12124789914,4741300681,
invert,getri,18432,1024,37486592,1000000,18,11958977,4665311521,2373105473,1084707479,
invert,getrf,18432,1024,37486592,4000000,18,19807708,2949331674,1760354332,975961328,
invert,gemm,18432,1024,37486592,4000000,1785,1238489267,432678628946,139978264409,29917892710,
invert,trsm,18432,1024,37486592,4000000,153,61587303,26711678485,12386584272,5006858882,
invert,getri,18432,1024,37486592,4000000,18,14356184,4665312722,2785145128,1497310468,
invert,getrf,18432,2048,37486592,1000000,9,57306517,8811261895,4515280529,2158655329,
invert,gemm,18432,2048,37486592,1000000,204,1047976346,392577720986,121112761694,21564585813,
invert,trsm,18432,2048,37486592,1000000,36,84826678,42557988030,16789158695,5430490082,
invert,getri,18432,2048,37486592,1000000,9,56190119,15012445369,7596560035,3538103836,
invert,getrf,18432,2048,37486592,4000000,9,57142565,8811261107,5476329888,3122528719,
invert,gemm,18432,2048,37486592,4000000,204,1007051852,392577698918,124251815906,24636452627,
invert,trsm,18432,2048,37486592,4000000,36,83322471,42557985939,17119096567,5759931860,
invert,getri,18432,2048,37486592,4000000,9,56614289,15012444702,8746848624,4689280643,
invert,getrf,20480,256,37486592,1000000,80,3671751,398538291,178044731,65697627,
invert,gemm,20480,256,37486592,1000000,167480,5730866629,665001338484,236876160639,63548665791,
invert,trsm,20480,256,37486592,1000000,3160,59587082,14741472880,8127366652,3764306337,
invert,getri,20480,256,37486592,1000000,80,3021902,661706779,319752783,125450202,
invert,getrf,20480,256,37486592,4000000,80,3861726,398537366,221789496,109199147,
invert,gemm,20480,256,37486592,4000000,167480,5515707135,665003647953,257043749721,83744851402,
invert,trsm,20480,256,37486592,4000000,3160,59063841,14741494711,8424413663,4061833536,
invert,getri,20480,256,37486592,4000000,80,2939561,661703057,352020260,157469416,
invert,getrf,20480,512,37486592,1000000,40,9330681,1193370294,602219969,279090046,
invert,gemm,20480,512,37486592,1000000,20540,3392094687,633058859034,213136673254,49746597380,
invert,trsm,20480,512,37486592,1000000,780,60280244,21707204090,11200197596,4963198871,
invert,getri,20480,512,37486592,1000000,40,8109801,1884608755,1028853312,482194617,
invert,getrf,20480,512,37486592,4000000,40,9396510,1193369556,773704246,449078353,
invert,gemm,20480,512,37486592,4000000,20540,3285331035,633058797866,224974833661,61294256673,
invert,trsm,20480,512,37486592,4000000,780,60122084,21707216525,11544343991,5310110477,
invert,getri,20480,512,37486592,4000000,40,7677700,1884609015,1206382677,660922632,
invert,getrf,20480,1024,37486592,1000000,20,22983988,3277103901,1565974323,695051190,
invert,gemm,20480,1024,37486592,1000000,2470,2214938583,598720631963,189298182886,36842497155,
invert,trsm,20480,1024,37486592,1000000,190,87294652,33171367891,15075730847,5903417753,
invert,getri,20480,1024,37486592,1000000,20,18273564,5183651974,2641362956,1211551079,
invert,getrf,20480,1024,37486592,4000000,20,23432334,3277103785,2000232772,1128973124,
invert,gemm,20480,1024,37486592,4000000,2470,2162758598,598720671551,196555119554,43949860926,
invert,trsm,20480,1024,37486592,4000000,190,84995861,33171366163,15474182033,6304457199,
invert,getri,20480,1024,37486592,4000000,20,18073207,5183651279,3107917982,1678724280,
invert,getrf,20480,2048,37486592,1000000,10,60649833,9790014825,5050527458,2428834260,
invert,gemm,20480,2048,37486592,1000000,285,2108646020,548454167936,170568416956,31338695582,
invert,trsm,20480,2048,37486592,1000000,45,129283729,53197485398,21078399085,6873080525,
invert,getri,20480,2048,37486592,1000000,10,56740568,16680450420,8465707868,3950308150,
invert,getrf,20480,2048,37486592,4000000,10,59940297,9790013886,6097268926,3480172409,
invert,gemm,20480,2048,37486592,4000000,285,2085672552,548454137470,175894457183,36482808056,
invert,trsm,20480,2048,37486592,4000000,45,123801410,53197481622,21542969354,7337888288,
invert,getri,20480,2048,37486592,4000000,10,55849576,16680448634,9675687556,5169044057,
