algorithm,task,matrix_size,tile_size,l3_cache_size,frequency,weight,PAPI_L3_TCM,PAPI_TOT_INS,PAPI_TOT_CYC,PAPI_RES_STL,PAPI_L2_TCR,PAPI_L2_TCW,PAPI_L3_TCR,PAPI_L3_TCW,PAPI_VEC_DP
invert,getrf,8192,256,37486592,1000000,32,1228151,193339644,83580742,29217855,7007734,1411532,2975335,289329,61246368
invert,gemm,8192,256,37486592,1000000,10416,330340012,41358075012,14701538844,3937242987,422476459,416463372,629398957,5688437,43858567872
invert,trsm,8192,256,37486592,1000000,496,8152513,2313853266,1280242264,594884764,200194891,18191454,23638800,1016489,1105135616
invert,getri,8192,256,37486592,1000000,32,1236715,325764625,154775232,59227534,20604312,3128488,3013831,130046,112741888
invert,getrf,8192,256,37486592,4000000,32,1299670,193339893,97712546,43491795,7010271,1376436,2960550,294448,61246368
invert,gemm,8192,256,37486592,4000000,10416,314630448,41358232920,15749054738,4987970745,429447686,412584250,597775243,7324564,43858567872
invert,trsm,8192,256,37486592,4000000,496,8266619,2313861533,1343028662,658166563,199398911,17134595,22595704,1173736,1105135616
invert,getri,8192,256,37486592,4000000,32,1072414,325764427,166213149,70691909,20654978,3095496,3001843,131249,112741888
invert,getrf,8192,512,37486592,1000000,16,3214183,477354327,238495916,109065621,19985465,2966320,11703626,1069372,212683728
invert,gemm,8192,512,37486592,1000000,1240,201305060,38217763280,12824230348,2957735534,316574405,246989491,512728598,2659032,41770029920
invert,trsm,8192,512,37486592,1000000,120,8544703,3339573976,1723396933,764202999,251565644,19549932,29338145,968973,2078085120
invert,getri,8192,512,37486592,1000000,16,2683087,753861029,409997344,190906771,43323288,8379398,20763244,1314316,396255744
invert,getrf,8192,512,37486592,4000000,16,3020329,477354730,293868430,163853308,19929005,2905650,11738215,1079781,212683728
invert,gemm,8192,512,37486592,4000000,1240,199583084,38217762977,13439318837,3567631980,315453572,238295914,498246841,3351965,41770029920
invert,trsm,8192,512,37486592,4000000,120,8408369,3339574557,1768426647,809525864,251899099,17528788,28040517,1483528,2078085120
invert,getri,8192,512,37486592,4000000,16,2722663,753859811,474526149,256099228,42968462,8131950,20128933,1417263,396255744
invert,getrf,8192,1024,37486592,1000000,8,7852147,1310923482,625308128,273606143,53645744,7206366,27134046,2044503,783711208
invert,gemm,8192,1024,37486592,1000000,140,147440828,33935584943,10760477501,2119296920,152200879,134549677,393561154,2032850,37691064880
invert,trsm,8192,1024,37486592,1000000,28,11781615,4888414260,2224956166,873267324,267321928,21903414,40462624,893520,3823196160
