algorithm,task,matrix_size,tile_size,l3_cache_size,frequency,weight,PAPI_L3_TCR,PAPI_L3_TCW,
invert,getrf,22528,256,37486592,1000000,88,6274114,590874,
invert,gemm,22528,256,37486592,1000000,223300,12653517088,111818026,
invert,trsm,22528,256,37486592,1000000,3828,174007646,7208038,
invert,getri,22528,256,37486592,1000000,88,6190358,273218,
invert,getrf,22528,256,37486592,4000000,88,6245857,597677,
invert,gemm,22528,256,37486592,4000000,223300,12077737643,135009119,
invert,trsm,22528,256,37486592,4000000,3828,167716189,8106941,
invert,getri,22528,256,37486592,4000000,88,6229590,270894,
invert,getrf,22528,512,37486592,1000000,44,32306135,3028662,
invert,gemm,22528,512,37486592,1000000,27434,10002134352,48815714,
invert,trsm,22528,512,37486592,1000000,946,235088874,6782292,
invert,getri,22528,512,37486592,1000000,44,56834978,3621012,
invert,getrf,22528,512,37486592,4000000,44,32269075,3094889,
invert,gemm,22528,512,37486592,4000000,27434,9772502288,61319480,
invert,trsm,22528,512,37486592,4000000,946,224299000,11139396,
invert,getri,22528,512,37486592,4000000,44,55316234,3922928,
invert,getrf,22528,1024,37486592,1000000,22,74677792,6084388,
invert,gemm,22528,1024,37486592,1000000,3311,7484740060,25210327,
invert,trsm,22528,1024,37486592,1000000,231,327120131,6081319,
invert,getri,22528,1024,37486592,1000000,22,183358955,8553220,
invert,getrf,22528,1024,37486592,4000000,22,74572233,6155885,
invert,gemm,22528,1024,37486592,4000000,3311,7438691040,34799343,
invert,trsm,22528,1024,37486592,4000000,231,317949528,9728128,
invert,getri,22528,1024,37486592,4000000,22,167764127,9499213,
invert,getrf,22528,2048,37486592,1000000,11,179101801,7619181,
invert,gemm,22528,2048,37486592,1000000,385,6067239021,10757411,
invert,trsm,22528,2048,37486592,1000000,55,484922426,5014168,
invert,getri,22528,2048,37486592,1000000,11,473991618,13507617,
invert,getrf,22528,2048,37486592,4000000,11,178672866,7659333,
invert,gemm,22528,2048,37486592,4000000,385,6009833807,14357163,
invert,trsm,22528,2048,37486592,4000000,55,476101040,8130066,
invert,getri,22528,2048,37486592,4000000,11,458377238,15109499,
invert,getrf,24576,256,37486592,1000000,96,5704798,522084,
invert,gemm,24576,256,37486592,1000000,290320,17669747595,81293217,
invert,trsm,24576,256,37486592,1000000,4560,185966466,6162824,
invert,getri,24576,256,37486592,1000000,96,5593659,135979,
invert,getrf,24576,256,37486592,4000000,96,5668672,531073,
invert,gemm,24576,256,37486592,4000000,290320,16743035850,100543146,
invert,trsm,24576,256,37486592,4000000,4560,178982512,6584702,
invert,getri,24576,256,37486592,4000000,96,5621821,142211,
invert,getrf,24576,512,37486592,1000000,48,35270324,3327873,
invert,gemm,24576,512,37486592,1000000,35720,15949028211,45653168,
invert,trsm,24576,512,37486592,1000000,1128,291515003,7286111,
invert,getri,24576,512,37486592,1000000,48,62303614,3925155,
invert,getrf,24576,512,37486592,4000000,48,35258383,3349293,
invert,gemm,24576,512,37486592,4000000,35720,15288756057,59062306,
invert,trsm,24576,512,37486592,4000000,1128,279357333,11394168,
invert,getri,24576,512,37486592,4000000,48,60385314,4222659,
invert,getrf,24576,1024,37486592,1000000,24,82003243,6654571,
invert,gemm,24576,1024,37486592,1000000,4324,13651176508,26011036,
invert,trsm,24576,1024,37486592,1000000,276,443143177,6353575,
invert,getri,24576,1024,37486592,1000000,24,200778221,9328045,
invert,getrf,24576,1024,37486592,4000000,24,81689122,6726428,
invert,gemm,24576,1024,37486592,4000000,4324,13127241288,35946447,
invert,trsm,24576,1024,37486592,4000000,276,431002238,10592221,
invert,getri,24576,1024,37486592,4000000,24,192372751,10101934,
invert,getrf,24576,2048,37486592,1000000,12,195848554,8857454,
invert,gemm,24576,2048,37486592,1000000,506,11334020634,10611723,
invert,trsm,24576,2048,37486592,1000000,66,729259008,5036130,
invert,getri,24576,2048,37486592,1000000,12,510360247,15528522,
invert,getrf,24576,2048,37486592,4000000,12,196338026,9024811,
invert,gemm,24576,2048,37486592,4000000,506,10886721235,13390818,
invert,trsm,24576,2048,37486592,4000000,66,703223778,8439920,
invert,getri,24576,2048,37486592,4000000,12,500060689,17243853,
