algorithm,matrix_size,tile_size,threads,case,task,PKG1,PKG2,DRAM1,DRAM2,time
invert,20480,256,48,1,getrf,994888933,879677191,112284987,61288572,5.864100
invert,20480,256,48,1,gemm,994888933,879677191,112284987,61288572,5.864100
invert,20480,256,48,1,trsm,994888933,879677191,112284987,61288572,5.864100
invert,20480,256,48,1,getri,994888933,879677191,112284987,61288572,5.864100
invert,20480,256,48,2,getrf,1000988282,882005738,112475365,62452534,5.891600
invert,20480,256,48,2,gemm,1000988282,882005738,112475365,62452534,5.891600
invert,20480,256,48,2,trsm,1000988282,882005738,112475365,62452534,5.891600
invert,20480,256,48,2,getri,1000988282,882005738,112475365,62452534,5.891600
invert,20480,256,48,3,getrf,776625880,620396788,121571734,64291380,6.615300
invert,20480,256,48,3,gemm,776625880,620396788,121571734,64291380,6.615300
invert,20480,256,48,3,trsm,776625880,620396788,121571734,64291380,6.615300
invert,20480,256,48,3,getri,776625880,620396788,121571734,64291380,6.615300
invert,20480,256,48,4,getrf,772921056,620316650,122666297,64132092,6.628700
invert,20480,256,48,4,gemm,772921056,620316650,122666297,64132092,6.628700
invert,20480,256,48,4,trsm,772921056,620316650,122666297,64132092,6.628700
invert,20480,256,48,4,getri,772921056,620316650,122666297,64132092,6.628700
invert,20480,256,48,5,getrf,988652499,865121504,112030487,60041484,5.828500
invert,20480,256,48,5,gemm,988652499,865121504,112030487,60041484,5.828500
invert,20480,256,48,5,trsm,988652499,865121504,112030487,60041484,5.828500
invert,20480,256,48,5,getri,988652499,865121504,112030487,60041484,5.828500
invert,20480,256,48,6,getrf,997748789,867841528,113461648,59340346,5.897800
invert,20480,256,48,6,gemm,997748789,867841528,113461648,59340346,5.897800
invert,20480,256,48,6,trsm,997748789,867841528,113461648,59340346,5.897800
invert,20480,256,48,6,getri,997748789,867841528,113461648,59340346,5.897800
invert,20480,256,48,7,getrf,768601975,609936061,121279963,63749623,6.599400
invert,20480,256,48,7,gemm,768601975,609936061,121279963,63749623,6.599400
invert,20480,256,48,7,trsm,768601975,609936061,121279963,63749623,6.599400
invert,20480,256,48,7,getri,768601975,609936061,121279963,63749623,6.599400
invert,20480,256,48,8,getrf,773116185,615356151,122163432,63804305,6.664500
invert,20480,256,48,8,gemm,773116185,615356151,122163432,63804305,6.664500
invert,20480,256,48,8,trsm,773116185,615356151,122163432,63804305,6.664500
invert,20480,256,48,8,getri,773116185,615356151,122163432,63804305,6.664500
invert,20480,256,48,9,getrf,1004721304,888398177,114160170,60577918,5.949600
invert,20480,256,48,9,gemm,1004721304,888398177,114160170,60577918,5.949600
invert,20480,256,48,9,trsm,1004721304,888398177,114160170,60577918,5.949600
invert,20480,256,48,9,getri,1004721304,888398177,114160170,60577918,5.949600
invert,20480,256,48,10,getrf,992765280,879541083,112170864,61791880,5.877900
invert,20480,256,48,10,gemm,992765280,879541083,112170864,61791880,5.877900
invert,20480,256,48,10,trsm,992765280,879541083,112170864,61791880,5.877900
invert,20480,256,48,10,getri,992765280,879541083,112170864,61791880,5.877900
invert,20480,256,48,11,getrf,765930595,616870064,121237843,64474842,6.613800
invert,20480,256,48,11,gemm,765930595,616870064,121237843,64474842,6.613800
invert,20480,256,48,11,trsm,765930595,616870064,121237843,64474842,6.613800
invert,20480,256,48,11,getri,765930595,616870064,121237843,64474842,6.613800
invert,20480,256,48,12,getrf,766165092,614652845,121054686,64129797,6.619600
invert,20480,256,48,12,gemm,766165092,614652845,121054686,64129797,6.619600
invert,20480,256,48,12,trsm,766165092,614652845,121054686,64129797,6.619600
invert,20480,256,48,12,getri,766165092,614652845,121054686,64129797,6.619600
invert,20480,256,48,13,getrf,994610430,866697244,113319833,60419669,5.913000
invert,20480,256,48,13,gemm,994610430,866697244,113319833,60419669,5.913000
invert,20480,256,48,13,trsm,994610430,866697244,113319833,60419669,5.913000
invert,20480,256,48,13,getri,994610430,866697244,113319833,60419669,5.913000
invert,20480,256,48,14,getrf,997981881,860313655,113784080,59301484,5.925700
invert,20480,256,48,14,gemm,997981881,860313655,113784080,59301484,5.925700
invert,20480,256,48,14,trsm,997981881,860313655,113784080,59301484,5.925700
invert,20480,256,48,14,getri,997981881,860313655,113784080,59301484,5.925700
invert,20480,256,48,15,getrf,762938111,610834496,120741771,64772091,6.644500
invert,20480,256,48,15,gemm,762938111,610834496,120741771,64772091,6.644500
invert,20480,256,48,15,trsm,762938111,610834496,120741771,64772091,6.644500
invert,20480,256,48,15,getri,762938111,610834496,120741771,64772091,6.644500
