algorithm,task,matrix_size,tile_size,l3_cache_size,frequency,weight,PAPI_L2_TCR,PAPI_L2_TCW,
invert,getrf,8192,256,37486592,1000000,32,6991626,1407910,
invert,gemm,8192,256,37486592,1000000,10416,439160406,415801777,
invert,trsm,8192,256,37486592,1000000,496,200031495,17829319,
invert,getri,8192,256,37486592,1000000,32,20618871,3125118,
invert,getrf,8192,256,37486592,4000000,32,7007864,1378308,
invert,gemm,8192,256,37486592,4000000,10416,428467219,412966689,
invert,trsm,8192,256,37486592,4000000,496,199346784,17291156,
invert,getri,8192,256,37486592,4000000,32,20603648,3099384,
invert,getrf,8192,512,37486592,1000000,16,19923063,2988018,
invert,gemm,8192,512,37486592,1000000,1240,315540840,253262282,
invert,trsm,8192,512,37486592,1000000,120,251807544,19988062,
invert,getri,8192,512,37486592,1000000,16,43134966,8335302,
invert,getrf,8192,512,37486592,4000000,16,19853486,2885080,
invert,gemm,8192,512,37486592,4000000,1240,318209062,238991924,
invert,trsm,8192,512,37486592,4000000,120,251337535,18069148,
invert,getri,8192,512,37486592,4000000,16,43030593,8114528,
invert,getrf,8192,1024,37486592,1000000,8,53603144,7235930,
invert,gemm,8192,1024,37486592,1000000,140,153948988,126530236,
invert,trsm,8192,1024,37486592,1000000,28,266953549,21499386,
invert,getri,8192,1024,37486592,1000000,8,90052133,26430090,
invert,getrf,8192,1024,37486592,4000000,8,53562175,7057164,
invert,gemm,8192,1024,37486592,4000000,140,156884726,126312496,
invert,trsm,8192,1024,37486592,4000000,28,267823533,19767322,
invert,getri,8192,1024,37486592,4000000,8,89595343,25704484,
invert,getrf,8192,2048,37486592,1000000,4,146787324,17796758,
invert,gemm,8192,2048,37486592,1000000,14,121469235,72395812,
invert,trsm,8192,2048,37486592,1000000,6,248427912,22869040,
invert,getri,8192,2048,37486592,1000000,4,229125939,94409402,
invert,getrf,8192,2048,37486592,4000000,4,147289775,17537726,
invert,gemm,8192,2048,37486592,4000000,14,128655903,74287990,
invert,trsm,8192,2048,37486592,4000000,6,248677196,22988954,
invert,getri,8192,2048,37486592,4000000,4,232532173,93014200,
invert,getrf,10240,256,37486592,1000000,40,8761017,1752959,
invert,gemm,10240,256,37486592,1000000,20540,858407662,836239459,
invert,trsm,10240,256,37486592,1000000,780,312776677,28443048,
invert,getri,10240,256,37486592,1000000,40,25753657,3823412,
invert,getrf,10240,256,37486592,4000000,40,8724740,1696549,
invert,gemm,10240,256,37486592,4000000,20540,839871240,829677913,
invert,trsm,10240,256,37486592,4000000,780,313942474,27626693,
invert,getri,10240,256,37486592,4000000,40,25739273,3789594,
invert,getrf,10240,512,37486592,1000000,20,24861570,3673820,
invert,gemm,10240,512,37486592,1000000,2470,621274164,493805313,
invert,trsm,10240,512,37486592,1000000,190,398136333,30246242,
invert,getri,10240,512,37486592,1000000,20,53966528,10464606,
invert,getrf,10240,512,37486592,4000000,20,24790708,3618334,
invert,gemm,10240,512,37486592,4000000,2470,623679769,493109314,
invert,trsm,10240,512,37486592,4000000,190,398208423,28167904,
invert,getri,10240,512,37486592,4000000,20,53737775,10125080,
invert,getrf,10240,1024,37486592,1000000,10,66954431,8999204,
invert,gemm,10240,1024,37486592,1000000,285,310607011,271041074,
invert,trsm,10240,1024,37486592,1000000,45,429794171,33769816,
invert,getri,10240,1024,37486592,1000000,10,111987962,33015722,
invert,getrf,10240,1024,37486592,4000000,10,66592792,8831722,
invert,gemm,10240,1024,37486592,4000000,285,307842309,269517586,
invert,trsm,10240,1024,37486592,4000000,45,427174631,32070034,
invert,getri,10240,1024,37486592,4000000,10,112540233,32143864,
invert,getrf,10240,2048,37486592,1000000,5,183404312,22263508,
invert,gemm,10240,2048,37486592,1000000,30,255809336,164803248,
invert,trsm,10240,2048,37486592,1000000,10,414906404,37887900,
invert,getri,10240,2048,37486592,1000000,5,288999750,118073552,
invert,getrf,10240,2048,37486592,4000000,5,183802651,22156590,
invert,gemm,10240,2048,37486592,4000000,30,254154643,164776550,
invert,trsm,10240,2048,37486592,4000000,10,414424809,37507548,
invert,getri,10240,2048,37486592,4000000,5,286876781,116451994,
invert,getrf,12288,256,37486592,1000000,48,10505880,2128536,
invert,gemm,12288,256,37486592,1000000,35720,1472081552,1490567964,
invert,trsm,12288,256,37486592,1000000,1128,454049220,42436020,
invert,getri,12288,256,37486592,1000000,48,30977739,4742808,
invert,getrf,12288,256,37486592,4000000,48,10487899,2070676,
invert,gemm,12288,256,37486592,4000000,35720,1448204586,1479048110,
invert,trsm,12288,256,37486592,4000000,1128,453619681,40836713,
invert,getri,12288,256,37486592,4000000,48,30936476,4709508,
invert,getrf,12288,512,37486592,1000000,24,29910449,4437698,
invert,gemm,12288,512,37486592,1000000,4324,1091127999,893173464,
invert,trsm,12288,512,37486592,1000000,276,579114435,44571844,
invert,getri,12288,512,37486592,1000000,24,64727356,12583708,
invert,getrf,12288,512,37486592,4000000,24,29848923,4347636,
invert,gemm,12288,512,37486592,4000000,4324,1094750535,893898423,
invert,trsm,12288,512,37486592,4000000,276,578772204,41500128,
invert,getri,12288,512,37486592,4000000,24,64407856,12122210,
invert,getrf,12288,1024,37486592,1000000,12,80359197,10748806,
invert,gemm,12288,1024,37486592,1000000,506,544990690,500825534,
invert,trsm,12288,1024,37486592,1000000,66,629510242,50122862,
invert,getri,12288,1024,37486592,1000000,12,135115698,39549092,
invert,getrf,12288,1024,37486592,4000000,12,79996990,10619790,
invert,gemm,12288,1024,37486592,4000000,506,541517882,498680702,
invert,trsm,12288,1024,37486592,4000000,66,628448039,47554674,
invert,getri,12288,1024,37486592,4000000,12,135310237,38681594,
invert,getrf,12288,2048,37486592,1000000,6,220807850,26721782,
invert,gemm,12288,2048,37486592,1000000,55,467479467,317876040,
invert,trsm,12288,2048,37486592,1000000,15,622335510,58527488,
invert,getri,12288,2048,37486592,1000000,6,347514168,141751606,
invert,getrf,12288,2048,37486592,4000000,6,221064923,26532242,
invert,gemm,12288,2048,37486592,4000000,55,480525716,318512035,
invert,trsm,12288,2048,37486592,4000000,15,621981622,56516884,
invert,getri,12288,2048,37486592,4000000,6,349226713,139576774,
invert,getrf,14336,256,37486592,1000000,56,12275470,2447270,
invert,gemm,14336,256,37486592,1000000,56980,2371494169,2329988366,
invert,trsm,14336,256,37486592,1000000,1540,619295128,56597767,
invert,getri,14336,256,37486592,1000000,56,36137926,5430612,
invert,getrf,14336,256,37486592,4000000,56,12222166,2367834,
invert,gemm,14336,256,37486592,4000000,56980,2302127364,2311351746,
invert,trsm,14336,256,37486592,4000000,1540,617967187,55400108,
invert,getri,14336,256,37486592,4000000,56,36005318,5315368,
invert,getrf,14336,512,37486592,1000000,28,34738222,5198940,
invert,gemm,14336,512,37486592,1000000,6930,1776478441,1391392954,
invert,trsm,14336,512,37486592,1000000,378,787891270,61363024,
invert,getri,14336,512,37486592,1000000,28,75598777,14597848,
invert,getrf,14336,512,37486592,4000000,28,34787724,5100166,
invert,gemm,14336,512,37486592,4000000,6930,1720500801,1388647848,
invert,trsm,14336,512,37486592,4000000,378,791614491,58564054,
invert,getri,14336,512,37486592,4000000,28,75159033,14207742,
invert,getrf,14336,1024,37486592,1000000,14,93418273,12639330,
invert,gemm,14336,1024,37486592,1000000,819,890913648,786363198,
invert,trsm,14336,1024,37486592,1000000,91,866657542,68994974,
invert,getri,14336,1024,37486592,1000000,14,157804627,46255574,
invert,getrf,14336,1024,37486592,4000000,14,93531653,12354094,
invert,gemm,14336,1024,37486592,4000000,819,879830073,780987340,
invert,trsm,14336,1024,37486592,4000000,91,868871271,65501046,
invert,getri,14336,1024,37486592,4000000,14,157445195,45079014,
invert,getrf,14336,2048,37486592,1000000,7,256870179,31126206,
invert,gemm,14336,2048,37486592,1000000,91,775727651,503743074,
invert,trsm,14336,2048,37486592,1000000,21,868506610,80605766,
invert,getri,14336,2048,37486592,1000000,7,406190798,165425002,
invert,getrf,14336,2048,37486592,4000000,7,257573214,30708380,
invert,gemm,14336,2048,37486592,4000000,91,769328389,503462658,
invert,trsm,14336,2048,37486592,4000000,21,870637657,77700620,
invert,getri,14336,2048,37486592,4000000,7,401963218,162401834,
invert,getrf,16384,256,37486592,1000000,64,13584590,2780767,
invert,gemm,16384,256,37486592,1000000,85344,3477248349,3404555632,
invert,trsm,16384,256,37486592,1000000,2016,815028778,74264182,
invert,getri,16384,256,37486592,1000000,64,39371063,6155464,
