algorithm,task,matrix_size,tile_size,l3_cache_size,frequency,weight,PAPI_L3_TCM,PAPI_TOT_INS,PAPI_TOT_CYC,PAPI_RES_STL,
invert,getrf,18432,256,37486592,1000000,72,3823976,350234662,159612744,60641415,
invert,gemm,18432,256,37486592,1000000,121836,4074118830,483767166105,171347988298,45281869339,
invert,trsm,18432,256,37486592,1000000,5112,90409204,31878070602,14929406466,5905728627,
invert,getri,18432,256,37486592,1000000,72,3050308,580244161,284175701,113796393,
invert,getrf,18432,256,37486592,4000000,72,3741402,350234463,200912868,101414839,
invert,gemm,18432,256,37486592,4000000,121836,3842659283,483767490865,185616372246,59682098051,
invert,trsm,18432,256,37486592,4000000,5112,89649823,31878012789,15453374334,6455078740,
invert,getri,18432,256,37486592,4000000,72,3094949,580244767,322321950,150993645,
invert,getrf,18432,512,37486592,1000000,36,9306058,1073918181,543889581,253705767,
invert,gemm,18432,512,37486592,1000000,14910,2380051031,459537983794,153228987520,34628163694,
invert,trsm,18432,512,37486592,1000000,1260,95063422,42764428235,19619766642,7706745374,
invert,getri,18432,512,37486592,1000000,36,8011952,1696119873,926158176,434215071,
invert,getrf,18432,512,37486592,4000000,36,9178587,1073917882,702108370,410626717,
invert,gemm,18432,512,37486592,4000000,14910,2312319994,459537830965,160983661906,42465362093,
invert,trsm,18432,512,37486592,4000000,1260,95041952,42764366154,20112260846,8217272379,
invert,getri,18432,512,37486592,4000000,36,7758624,1696119003,1106554663,614171186,
invert,getrf,18432,1024,37486592,1000000,18,20691346,2949331857,1408260953,624841251,
invert,gemm,18432,1024,37486592,1000000,1785,1330558763,432678677516,135700681133,25649046773,
invert,trsm,18432,1024,37486592,1000000,306,130562403,60757055993,25645140059,9128058404,
invert,getri,18432,1024,37486592,1000000,18,13502412,4665312267,2373949927,1086608526,
invert,getrf,18432,1024,37486592,4000000,18,21241490,2949331426,1789506290,1005020247,
invert,gemm,18432,1024,37486592,4000000,1785,1346433595,432678696528,140279571219,30202354595,
invert,trsm,18432,1024,37486592,4000000,306,134701902,60757039872,26354589322,9830482480,
invert,getri,18432,1024,37486592,4000000,18,13924247,4665311492,2771100555,1482687951,
invert,getrf,18432,2048,37486592,1000000,9,56459832,8811262111,4538754892,2178640826,
invert,gemm,18432,2048,37486592,1000000,204,1011434641,392577726636,121040515125,21493912219,
invert,trsm,18432,2048,37486592,1000000,72,180146278,91950572642,35032935832,10662360028,
invert,getri,18432,2048,37486592,1000000,9,53935109,15012445567,7611943664,3552748067,
invert,getrf,18432,2048,37486592,4000000,9,55518459,8811261201,5469755991,3115458710,
invert,gemm,18432,2048,37486592,4000000,204,974946810,392577699678,124045488635,24434218768,
invert,trsm,18432,2048,37486592,4000000,72,169878907,91950567739,35586389953,11226837853,
invert,getri,18432,2048,37486592,4000000,9,54103061,15012444022,8719860409,4663308431,
invert,getrf,20480,256,37486592,1000000,80,3642137,398538185,178316877,65859029,
invert,gemm,20480,256,37486592,1000000,167480,5681649341,665001800830,236955800406,63637628124,
invert,trsm,20480,256,37486592,1000000,6320,118588231,39411058750,18426723677,7297430076,
invert,getri,20480,256,37486592,1000000,80,2939126,661703084,324900809,130019818,
invert,getrf,20480,256,37486592,4000000,80,3853228,398538728,221805244,109365509,
invert,gemm,20480,256,37486592,4000000,167480,5625509777,665004208598,257316066184,83986834630,
invert,trsm,20480,256,37486592,4000000,6320,117923627,39411043424,19113163007,8000522360,
invert,getri,20480,256,37486592,4000000,80,3018053,661703221,354508977,159999552,
invert,getrf,20480,512,37486592,1000000,40,9299562,1193370253,602772816,278755630,
invert,gemm,20480,512,37486592,1000000,20540,3583252219,633058880802,213045564550,49461477689,
invert,trsm,20480,512,37486592,1000000,1560,134149088,52946428273,24375140684,9601389183,
invert,getri,20480,512,37486592,1000000,40,8039911,1884609739,1023886166,477929080,
invert,getrf,20480,512,37486592,4000000,40,9198891,1193370178,768407720,444544282,
invert,gemm,20480,512,37486592,4000000,20540,3369946867,633058777498,225978089493,62283933100,
invert,trsm,20480,512,37486592,4000000,1560,134089633,52946415087,25105147364,10342632674,
invert,getri,20480,512,37486592,4000000,40,7557964,1884612800,1204085550,658798093,
invert,getrf,20480,1024,37486592,1000000,20,24109000,3277104066,1571583972,701859369,
invert,gemm,20480,1024,37486592,1000000,2470,2239533681,598720670769,189138580729,36688546917,
invert,trsm,20480,1024,37486592,1000000,380,186178426,75449935554,32104180987,11562499365,
invert,getri,20480,1024,37486592,1000000,20,19458055,5183651862,2641245844,1209838012,
invert,getrf,20480,1024,37486592,4000000,20,23275292,3277103657,2001418151,1130364644,
invert,gemm,20480,1024,37486592,4000000,2470,2266798185,598720747811,196932701725,44289799939,
invert,trsm,20480,1024,37486592,4000000,380,186785136,75449911030,32833978440,12318007708,
invert,getri,20480,1024,37486592,4000000,20,18919748,5183650085,3148309627,1718726292,
invert,getrf,20480,2048,37486592,1000000,10,61856486,9790015022,5048477432,2425496155,
invert,gemm,20480,2048,37486592,1000000,285,2107327651,548454169346,170421247869,31206642629,
invert,trsm,20480,2048,37486592,1000000,90,295551915,114938218245,43809275171,13346274704,
invert,getri,20480,2048,37486592,1000000,10,62234134,16680450457,8462195832,3951056289,
invert,getrf,20480,2048,37486592,4000000,10,61301877,9790014034,6176637021,3559521928,
invert,gemm,20480,2048,37486592,4000000,285,2113841734,548454133354,175798337250,36381931756,
invert,trsm,20480,2048,37486592,4000000,90,296403914,114938208769,44925527133,14441390450,
invert,getri,20480,2048,37486592,4000000,10,63045790,16680448505,9830674259,5310413816,
