algorithm,task,matrix_size,tile_size,l3_cache_size,frequency,weight,PAPI_L3_TCR,PAPI_L3_TCW,
invert,getrf,22528,256,37486592,1000000,88,6269546,594576,
invert,gemm,22528,256,37486592,1000000,223300,12663736752,111745630,
invert,trsm,22528,256,37486592,1000000,7656,299769028,11936114,
invert,getri,22528,256,37486592,1000000,88,6198634,270483,
invert,getrf,22528,256,37486592,4000000,88,6244521,596869,
invert,gemm,22528,256,37486592,4000000,223300,12078490267,134937139,
invert,trsm,22528,256,37486592,4000000,7656,286061613,14070155,
invert,getri,22528,256,37486592,4000000,88,6210591,269021,
invert,getrf,22528,512,37486592,1000000,44,32232187,3057312,
invert,gemm,22528,512,37486592,1000000,27434,9993996823,48747416,
invert,trsm,22528,512,37486592,1000000,1892,427806568,12639422,
invert,getri,22528,512,37486592,1000000,44,57106056,3621522,
invert,getrf,22528,512,37486592,4000000,44,32255117,3080508,
invert,gemm,22528,512,37486592,4000000,27434,9767296626,60889006,
invert,trsm,22528,512,37486592,4000000,1892,409637092,23762668,
invert,getri,22528,512,37486592,4000000,44,55050767,3911924,
invert,getrf,22528,1024,37486592,1000000,22,74848135,6025620,
invert,gemm,22528,1024,37486592,1000000,3311,7473625021,24488816,
invert,trsm,22528,1024,37486592,1000000,462,634889258,10093919,
invert,getri,22528,1024,37486592,1000000,22,181481414,8471735,
invert,getrf,22528,1024,37486592,4000000,22,74711362,6147478,
invert,gemm,22528,1024,37486592,4000000,3311,7442065115,35511597,
invert,trsm,22528,1024,37486592,4000000,462,616941110,19510073,
invert,getri,22528,1024,37486592,4000000,22,177908523,9284265,
invert,getrf,22528,2048,37486592,1000000,11,179329400,7547508,
invert,gemm,22528,2048,37486592,1000000,385,6026097586,10598764,
invert,trsm,22528,2048,37486592,1000000,110,935111050,8418409,
invert,getri,22528,2048,37486592,1000000,11,474146851,13352144,
invert,getrf,22528,2048,37486592,4000000,11,178786772,7577092,
invert,gemm,22528,2048,37486592,4000000,385,6008733766,14005812,
invert,trsm,22528,2048,37486592,4000000,110,923095409,15711482,
invert,getri,22528,2048,37486592,4000000,11,458846719,15037322,
invert,getrf,24576,256,37486592,1000000,96,5723062,515411,
invert,gemm,24576,256,37486592,1000000,290320,17491024606,66395672,
invert,trsm,24576,256,37486592,1000000,9120,315436834,9370611,
invert,getri,24576,256,37486592,1000000,96,5619651,118180,
invert,getrf,24576,256,37486592,4000000,96,5702185,526393,
invert,gemm,24576,256,37486592,4000000,290320,16650606970,80915230,
invert,trsm,24576,256,37486592,4000000,9120,305441468,11058617,
invert,getri,24576,256,37486592,4000000,96,5585311,124866,
invert,getrf,24576,512,37486592,1000000,48,35281737,3321497,
invert,gemm,24576,512,37486592,1000000,35720,15916461271,41863874,
invert,trsm,24576,512,37486592,1000000,2256,537718657,14120674,
invert,getri,24576,512,37486592,1000000,48,62198864,3917595,
invert,getrf,24576,512,37486592,4000000,48,35295237,3344457,
invert,gemm,24576,512,37486592,4000000,35720,15274122434,54595221,
invert,trsm,24576,512,37486592,4000000,2256,514637745,26045173,
invert,getri,24576,512,37486592,4000000,48,60557322,4223350,
invert,getrf,24576,1024,37486592,1000000,24,82069084,6606919,
invert,gemm,24576,1024,37486592,1000000,4324,13545907694,22945907,
invert,trsm,24576,1024,37486592,1000000,552,886033768,11057989,
invert,getri,24576,1024,37486592,1000000,24,199778547,9283740,
invert,getrf,24576,1024,37486592,4000000,24,81799883,6727657,
invert,gemm,24576,1024,37486592,4000000,4324,13187492098,33835717,
invert,trsm,24576,1024,37486592,4000000,552,856346323,21927472,
invert,getri,24576,1024,37486592,4000000,24,194518215,10164126,
invert,getrf,24576,2048,37486592,1000000,12,195792317,8868645,
invert,gemm,24576,2048,37486592,1000000,506,11282104822,9478369,
invert,trsm,24576,2048,37486592,1000000,132,1465910506,9505412,
invert,getri,24576,2048,37486592,1000000,12,515738744,15270762,
invert,getrf,24576,2048,37486592,4000000,12,196777669,8917440,
invert,gemm,24576,2048,37486592,4000000,506,10912682507,12010495,
invert,trsm,24576,2048,37486592,4000000,132,1420582876,19275919,
invert,getri,24576,2048,37486592,4000000,12,501394846,16950101,
