algorithm,task,matrix_size,tile_size,l3_cache_size,frequency,weight,PAPI_VEC_DP,
invert,getrf,22528,256,37486592,1000000,88,118659720,
invert,gemm,22528,256,37486592,1000000,223300,940247523600,
invert,trsm,22528,256,37486592,1000000,7656,20129032704,
invert,getri,22528,256,37486592,1000000,88,214914224,
invert,getrf,22528,256,37486592,4000000,88,118659720,
invert,gemm,22528,256,37486592,4000000,223300,940247523600,
invert,trsm,22528,256,37486592,4000000,7656,20129032704,
invert,getri,22528,256,37486592,4000000,88,214914224,
invert,getrf,22528,512,37486592,1000000,44,584880252,
invert,gemm,22528,512,37486592,1000000,27434,924128226472,
invert,trsm,22528,512,37486592,1000000,1892,35799425024,
invert,getri,22528,512,37486592,1000000,44,1089703296,
invert,getrf,22528,512,37486592,4000000,44,584880252,
invert,gemm,22528,512,37486592,4000000,27434,924128226472,
invert,trsm,22528,512,37486592,4000000,1892,35799425024,
invert,getri,22528,512,37486592,4000000,44,1089703296,
invert,getrf,22528,1024,37486592,1000000,22,2155205822,
invert,gemm,22528,1024,37486592,1000000,3311,891393684412,
invert,trsm,22528,1024,37486592,1000000,462,66047697408,
invert,getri,22528,1024,37486592,1000000,22,4107663296,
invert,getrf,22528,1024,37486592,4000000,22,2155205822,
invert,gemm,22528,1024,37486592,4000000,3311,891393684412,
invert,trsm,22528,1024,37486592,4000000,462,66047697408,
invert,getri,22528,1024,37486592,4000000,22,4107663296,
invert,getrf,22528,2048,37486592,1000000,11,8259333599,
invert,gemm,22528,2048,37486592,1000000,385,829203416580,
invert,trsm,22528,2048,37486592,1000000,110,122109644800,
invert,getri,22528,2048,37486592,1000000,11,16056957312,
invert,getrf,22528,2048,37486592,4000000,11,8259333599,
invert,gemm,22528,2048,37486592,4000000,385,829203416580,
invert,trsm,22528,2048,37486592,4000000,110,122109644800,
invert,getri,22528,2048,37486592,4000000,11,16056957312,
invert,getrf,24576,256,37486592,1000000,96,109089975,
invert,gemm,24576,256,37486592,1000000,290320,1222448101440,
invert,trsm,24576,256,37486592,1000000,9120,23978158080,
invert,getri,24576,256,37486592,1000000,96,197298304,
invert,getrf,24576,256,37486592,4000000,96,109089975,
invert,gemm,24576,256,37486592,4000000,290320,1222448101440,
invert,trsm,24576,256,37486592,4000000,9120,23978158080,
invert,getri,24576,256,37486592,4000000,96,197298304,
invert,getrf,24576,512,37486592,1000000,48,638051184,
invert,gemm,24576,512,37486592,1000000,35720,1203246345760,
invert,trsm,24576,512,37486592,1000000,2256,42686840832,
invert,getri,24576,512,37486592,1000000,48,1188767232,
invert,getrf,24576,512,37486592,4000000,48,638051184,
invert,gemm,24576,512,37486592,4000000,35720,1203246345760,
invert,trsm,24576,512,37486592,4000000,2256,42686840832,
invert,getri,24576,512,37486592,4000000,48,1188767232,
invert,getrf,24576,1024,37486592,1000000,24,2351133624,
invert,gemm,24576,1024,37486592,1000000,4324,1164115461008,
invert,trsm,24576,1024,37486592,1000000,552,78914131968,
invert,getri,24576,1024,37486592,1000000,24,4481087232,
invert,getrf,24576,1024,37486592,4000000,24,2351133624,
invert,gemm,24576,1024,37486592,4000000,4324,1164115461008,
invert,trsm,24576,1024,37486592,4000000,552,78914131968,
invert,getri,24576,1024,37486592,4000000,24,4481087232,
invert,getrf,24576,2048,37486592,1000000,12,9010182108,
invert,gemm,24576,2048,37486592,1000000,506,1089810204648,
invert,trsm,24576,2048,37486592,1000000,132,146531573760,
invert,getri,24576,2048,37486592,1000000,12,17516680704,
invert,getrf,24576,2048,37486592,4000000,12,9010182108,
invert,gemm,24576,2048,37486592,4000000,506,1089810204648,
invert,trsm,24576,2048,37486592,4000000,132,146531573760,
invert,getri,24576,2048,37486592,4000000,12,17516680704,
