algorithm,task,matrix_size,tile_size,l3_cache_size,frequency,weight,PAPI_L3_TCM,PAPI_TOT_INS,PAPI_TOT_CYC,PAPI_RES_STL,PAPI_L2_TCR,PAPI_L2_TCW,PAPI_L3_TCR,PAPI_L3_TCW,PAPI_VEC_DP
invert,getrf,8192,256,37486592,1000000,32,1440135,193339842,84868292,30408675,6978166,1421238,3106831,294200,61246368
invert,gemm,8192,256,37486592,1000000,10416,334616959,41358133113,14677635731,3910061377,433683110,420274551,617447751,4973254,43858567872
invert,trsm,8192,256,37486592,1000000,992,17083289,6186040575,2898306035,1150473204,392234800,36481766,37721154,1435998,2608150528
invert,getri,8192,256,37486592,1000000,32,1226638,325765092,153560846,58425374,20306880,3189704,3134119,111010,112741888
invert,getrf,8192,256,37486592,4000000,32,1414346,193339855,100537159,46135796,6999662,1383984,3113401,295084,61246368
invert,gemm,8192,256,37486592,4000000,10416,321889847,41358135983,15787815368,5024140832,430272303,416611679,593336131,6368730,43858567872
invert,trsm,8192,256,37486592,4000000,992,16640274,6186032211,3031677483,1278495762,393423836,35143607,36336347,1781230,2608150528
invert,getri,8192,256,37486592,4000000,32,1220827,325764654,168651196,73479836,20328824,3167208,3129533,112195,112741888
invert,getrf,8192,512,37486592,1000000,16,3167962,477354692,238054917,108615320,19968777,2967340,11690828,1066326,212683728
invert,gemm,8192,512,37486592,1000000,1240,199769383,38217757354,12914938407,3053854371,315298946,242622668,512201594,2018797,41770029920
invert,trsm,8192,512,37486592,1000000,240,18618190,8145598240,3755123444,1484768866,491799172,37903492,55598057,1461189,4541153280
invert,getri,8192,512,37486592,1000000,16,2925455,753860231,405180061,186896515,42869788,8463584,20457116,1310872,396255744
invert,getrf,8192,512,37486592,4000000,16,3223732,477354432,297564086,166923573,19854828,2900586,11713232,1078483,212683728
invert,gemm,8192,512,37486592,4000000,1240,194936095,38217759264,13436199938,3560159449,320639935,241536485,493752384,3127619,41770029920
invert,trsm,8192,512,37486592,4000000,240,18730923,8145603466,3850129486,1579560556,490290557,34751670,52711185,3048017,4541153280
invert,getri,8192,512,37486592,4000000,16,2812702,753859926,473943607,255967511,42620273,8132000,19858349,1418157,396255744
invert,getrf,8192,1024,37486592,1000000,8,7897796,1310923557,622932257,273214121,53687846,7184784,27106644,2044920,783711208
invert,gemm,8192,1024,37486592,1000000,140,137487072,33935588906,10727642926,2087464294,152269738,128927740,386430836,1658938,37691064880
invert,trsm,8192,1024,37486592,1000000,56,26937243,11118940250,4709977402,1686411766,519092412,41607998,81844789,1362629,8005781504
invert,getri,8192,1024,37486592,1000000,8,6357370,2073480355,1052392813,479613612,89674826,26430332,66636322,3100362,1493695744
invert,getrf,8192,1024,37486592,4000000,8,8438770,1310923289,782183908,431553851,53487118,7042010,27087749,2070044,783711208
invert,gemm,8192,1024,37486592,4000000,140,133687615,33935579422,11091423081,2442361455,154988784,132899522,378145630,2088194,37691064880
invert,trsm,8192,1024,37486592,4000000,56,25939295,11118938313,4845817745,1816602722,519005315,40145834,79038950,2437615,8005781504
invert,getri,8192,1024,37486592,4000000,8,7008286,2073480552,1245292378,672751028,89604494,25747916,64631316,3377205,1493695744
invert,getrf,8192,2048,37486592,1000000,4,25329731,3916131171,2017427406,966640942,147266278,17667340,65348265,2947745,3003394036
invert,gemm,8192,2048,37486592,1000000,14,111409904,26941609149,8391217283,1550975037,121433619,74131080,275030208,683092,30152851512
invert,trsm,8192,2048,37486592,1000000,12,37659737,15325097758,5837691531,1775650538,483110333,45265120,113418925,1068569,13321052160
invert,getri,8192,2048,37486592,1000000,4,27080440,6672240731,3383078385,1577518828,231507236,94481112,172672179,5065269,5838893568
invert,getrf,8192,2048,37486592,4000000,4,25432091,3916130781,2394378184,1347361782,147136522,17459560,65070837,2978471,3003394036
invert,gemm,8192,2048,37486592,4000000,14,106679569,26941607193,8606209488,1759085042,127183333,74176948,271151757,654406,30152851512
invert,trsm,8192,2048,37486592,4000000,12,37672202,15325096417,5978044011,1915406435,483163927,43344512,111993074,1835960,13321052160
invert,getri,8192,2048,37486592,4000000,4,25762128,6672239783,3837796642,2034719500,232586737,92821382,166710231,5664586,5838893568
invert,getrf,10240,256,37486592,1000000,40,1723080,241648609,106311175,38316154,8737486,1741890,3882277,382228,76557960
invert,gemm,10240,256,37486592,1000000,20540,640437066,81556800963,28729674931,7493187833,849114211,838379518,1165511526,10913173,86487613680
invert,trsm,10240,256,37486592,1000000,1560,25723212,9728051444,4586913820,1832843554,614484902,58194477,62359622,2588944,4101527040
invert,getri,10240,256,37486592,1000000,40,1709064,407195312,196089647,76588674,25801250,3884094,3929721,189704,140927360
invert,getrf,10240,256,37486592,4000000,40,1816277,241648395,126552433,58582522,8705864,1701310,3867530,381313,76557960
invert,gemm,10240,256,37486592,4000000,20540,606316143,81556994150,30748117149,9521856184,828389086,831063050,1118697047,13165984,86487613680
invert,trsm,10240,256,37486592,4000000,1560,25188020,9728039551,4700577172,1955648282,615714573,56458235,59740176,3106553,4101527040
invert,getri,10240,256,37486592,4000000,40,1803550,407195266,216703622,96945735,25764181,3821558,3931541,187321,140927360
invert,getrf,10240,512,37486592,1000000,20,4592408,596714244,300955869,138963950,24931012,3712110,14632301,1354383,265854660
