algorithm,task,matrix_size,tile_size,l3_cache_size,frequency,weight,PAPI_L2_TCR,PAPI_L2_TCW,
invert,getrf,22528,256,37486592,1000000,88,13576815,2707892,
invert,gemm,22528,256,37486592,1000000,223300,8913164603,9152671954,
invert,trsm,22528,256,37486592,1000000,3828,1539869852,143306503,
invert,getri,22528,256,37486592,1000000,88,39353181,5924510,
invert,getrf,22528,256,37486592,4000000,88,13572844,2598788,
invert,gemm,22528,256,37486592,4000000,223300,8971721459,9097504507,
invert,trsm,22528,256,37486592,4000000,3828,1534603328,139062123,
invert,getri,22528,256,37486592,4000000,88,39206313,5829020,
invert,getrf,22528,512,37486592,1000000,44,54943389,8227722,
invert,gemm,22528,512,37486592,1000000,27434,6918979582,5534227630,
invert,trsm,22528,512,37486592,1000000,946,1985647352,155003097,
invert,getri,22528,512,37486592,1000000,44,118920040,23076560,
invert,getrf,22528,512,37486592,4000000,44,54772286,8027638,
invert,gemm,22528,512,37486592,4000000,27434,6782992166,5511762305,
invert,trsm,22528,512,37486592,4000000,946,1983708674,142644032,
invert,getri,22528,512,37486592,4000000,44,118187255,22293454,
invert,getrf,22528,1024,37486592,1000000,22,147385350,20092564,
invert,gemm,22528,1024,37486592,1000000,3311,3604302282,3202973616,
invert,trsm,22528,1024,37486592,1000000,231,2200732938,182864294,
invert,getri,22528,1024,37486592,1000000,22,247300098,72745008,
invert,getrf,22528,1024,37486592,4000000,22,146674340,19430492,
invert,gemm,22528,1024,37486592,4000000,3311,3536090237,3172283886,
invert,trsm,22528,1024,37486592,4000000,231,2200477703,166791058,
invert,getri,22528,1024,37486592,4000000,22,246252998,70846600,
invert,getrf,22528,2048,37486592,1000000,11,403766876,49691430,
invert,gemm,22528,2048,37486592,1000000,385,3266375441,2146015982,
invert,trsm,22528,2048,37486592,1000000,55,2279279990,219476790,
invert,getri,22528,2048,37486592,1000000,11,634513572,260408798,
invert,getrf,22528,2048,37486592,4000000,11,403841342,48723328,
invert,gemm,22528,2048,37486592,4000000,385,3243628471,2140540022,
invert,trsm,22528,2048,37486592,4000000,55,2277900798,205526968,
invert,getri,22528,2048,37486592,4000000,11,631828040,255715162,
invert,getrf,24576,256,37486592,1000000,96,12440979,2552966,
invert,gemm,24576,256,37486592,1000000,290320,12170282291,11847416680,
invert,trsm,24576,256,37486592,1000000,4560,1847431552,171634074,
invert,getri,24576,256,37486592,1000000,96,36137196,5670616,
invert,getrf,24576,256,37486592,4000000,96,12439958,2494854,
invert,gemm,24576,256,37486592,4000000,290320,11892212680,11781872761,
invert,trsm,24576,256,37486592,4000000,4560,1840218698,165706589,
invert,getri,24576,256,37486592,4000000,96,36011077,5642927,
invert,getrf,24576,512,37486592,1000000,48,59755777,8975758,
invert,gemm,24576,512,37486592,1000000,35720,9275195620,6968913580,
invert,trsm,24576,512,37486592,1000000,1128,2368621697,180800632,
invert,getri,24576,512,37486592,1000000,48,129670657,25015498,
invert,getrf,24576,512,37486592,4000000,48,59721237,8708520,
invert,gemm,24576,512,37486592,4000000,35720,9187551842,6977184615,
invert,trsm,24576,512,37486592,4000000,1128,2375093871,166016602,
invert,getri,24576,512,37486592,4000000,48,128828741,24360624,
invert,getrf,24576,1024,37486592,1000000,24,160915673,21556468,
invert,gemm,24576,1024,37486592,1000000,4324,4808687308,4006163074,
invert,trsm,24576,1024,37486592,1000000,276,2640101916,198634186,
invert,getri,24576,1024,37486592,1000000,24,269304263,79259280,
invert,getrf,24576,1024,37486592,4000000,24,160556366,21227026,
invert,gemm,24576,1024,37486592,4000000,4324,5053302071,3964398172,
invert,trsm,24576,1024,37486592,4000000,276,2647124471,186511270,
invert,getri,24576,1024,37486592,4000000,24,269035035,77085298,
invert,getrf,24576,2048,37486592,1000000,12,441871023,54166970,
invert,gemm,24576,2048,37486592,1000000,506,4493813153,2636683700,
invert,trsm,24576,2048,37486592,1000000,66,2750698061,244322990,
invert,getri,24576,2048,37486592,1000000,12,694617516,284177748,
invert,getrf,24576,2048,37486592,4000000,12,442973363,52969900,
invert,gemm,24576,2048,37486592,4000000,506,4943713924,2643398258,
invert,trsm,24576,2048,37486592,4000000,66,2764529908,230948852,
invert,getri,24576,2048,37486592,4000000,12,696011703,279004964,
