algorithm,matrix_size,tile_size,threads,case,task,PKG1,PKG2,DRAM1,DRAM2,time
invert,16384,256,48,1,getrf,522497869,572680846,27063160,62918160,3.363500
invert,16384,256,48,1,gemm,522497869,572680846,27063160,62918160,3.363500
invert,16384,256,48,1,trsm,522497869,572680846,27063160,62918160,3.363500
invert,16384,256,48,1,getri,522497869,572680846,27063160,62918160,3.363500
invert,16384,256,48,2,getrf,529605638,580522135,26945549,64334068,3.436100
invert,16384,256,48,2,gemm,529605638,580522135,26945549,64334068,3.436100
invert,16384,256,48,2,trsm,529605638,580522135,26945549,64334068,3.436100
invert,16384,256,48,2,getri,529605638,580522135,26945549,64334068,3.436100
invert,16384,256,48,3,getrf,374443744,409183522,27767940,65621180,3.632300
invert,16384,256,48,3,gemm,374443744,409183522,27767940,65621180,3.632300
invert,16384,256,48,3,trsm,374443744,409183522,27767940,65621180,3.632300
invert,16384,256,48,3,getri,374443744,409183522,27767940,65621180,3.632300
invert,16384,256,48,4,getrf,373438253,408573905,28985529,65154361,3.614800
invert,16384,256,48,4,gemm,373438253,408573905,28985529,65154361,3.614800
invert,16384,256,48,4,trsm,373438253,408573905,28985529,65154361,3.614800
invert,16384,256,48,4,getri,373438253,408573905,28985529,65154361,3.614800
invert,16384,256,48,5,getrf,494875686,547763185,27392692,61536049,3.300200
invert,16384,256,48,5,gemm,494875686,547763185,27392692,61536049,3.300200
invert,16384,256,48,5,trsm,494875686,547763185,27392692,61536049,3.300200
invert,16384,256,48,5,getri,494875686,547763185,27392692,61536049,3.300200
invert,16384,256,48,6,getrf,504723378,550026973,25710365,63032328,3.386000
invert,16384,256,48,6,gemm,504723378,550026973,25710365,63032328,3.386000
invert,16384,256,48,6,trsm,504723378,550026973,25710365,63032328,3.386000
invert,16384,256,48,6,getri,504723378,550026973,25710365,63032328,3.386000
invert,16384,256,48,7,getrf,374910356,405915648,29283726,66470176,3.702800
invert,16384,256,48,7,gemm,374910356,405915648,29283726,66470176,3.702800
invert,16384,256,48,7,trsm,374910356,405915648,29283726,66470176,3.702800
invert,16384,256,48,7,getri,374910356,405915648,29283726,66470176,3.702800
invert,16384,256,48,8,getrf,370613797,408632376,29161800,66826483,3.710700
invert,16384,256,48,8,gemm,370613797,408632376,29161800,66826483,3.710700
invert,16384,256,48,8,trsm,370613797,408632376,29161800,66826483,3.710700
invert,16384,256,48,8,getri,370613797,408632376,29161800,66826483,3.710700
invert,16384,256,48,9,getrf,519474745,566468520,25877824,62903609,3.355100
invert,16384,256,48,9,gemm,519474745,566468520,25877824,62903609,3.355100
invert,16384,256,48,9,trsm,519474745,566468520,25877824,62903609,3.355100
invert,16384,256,48,9,getri,519474745,566468520,25877824,62903609,3.355100
invert,16384,256,48,10,getrf,515376793,565829423,26061837,62673222,3.349700
invert,16384,256,48,10,gemm,515376793,565829423,26061837,62673222,3.349700
invert,16384,256,48,10,trsm,515376793,565829423,26061837,62673222,3.349700
invert,16384,256,48,10,getri,515376793,565829423,26061837,62673222,3.349700
invert,16384,256,48,11,getrf,374201618,411418503,28101128,66651543,3.686100
invert,16384,256,48,11,gemm,374201618,411418503,28101128,66651543,3.686100
invert,16384,256,48,11,trsm,374201618,411418503,28101128,66651543,3.686100
invert,16384,256,48,11,getri,374201618,411418503,28101128,66651543,3.686100
invert,16384,256,48,12,getrf,371926050,405810180,27980289,65516926,3.629900
invert,16384,256,48,12,gemm,371926050,405810180,27980289,65516926,3.629900
invert,16384,256,48,12,trsm,371926050,405810180,27980289,65516926,3.629900
invert,16384,256,48,12,getri,371926050,405810180,27980289,65516926,3.629900
invert,16384,256,48,13,getrf,495051040,549988887,28375640,61715028,3.326800
invert,16384,256,48,13,gemm,495051040,549988887,28375640,61715028,3.326800
invert,16384,256,48,13,trsm,495051040,549988887,28375640,61715028,3.326800
invert,16384,256,48,13,getri,495051040,549988887,28375640,61715028,3.326800
invert,16384,256,48,14,getrf,502675654,549528073,26874863,63006104,3.409200
invert,16384,256,48,14,gemm,502675654,549528073,26874863,63006104,3.409200
invert,16384,256,48,14,trsm,502675654,549528073,26874863,63006104,3.409200
invert,16384,256,48,14,getri,502675654,549528073,26874863,63006104,3.409200
invert,16384,256,48,15,getrf,368315647,399786391,29118378,65161629,3.653300
invert,16384,256,48,15,gemm,368315647,399786391,29118378,65161629,3.653300
invert,16384,256,48,15,trsm,368315647,399786391,29118378,65161629,3.653300
invert,16384,256,48,15,getri,368315647,399786391,29118378,65161629,3.653300
invert,16384,256,48,16,getrf,368959566,398795183,30490574,64541933,3.635600
invert,16384,256,48,16,gemm,368959566,398795183,30490574,64541933,3.635600
invert,16384,256,48,16,trsm,368959566,398795183,30490574,64541933,3.635600
invert,16384,256,48,16,getri,368959566,398795183,30490574,64541933,3.635600
invert,16384,512,48,1,getrf,467022181,489796110,21283096,51586903,2.801000
invert,16384,512,48,1,gemm,467022181,489796110,21283096,51586903,2.801000
invert,16384,512,48,1,trsm,467022181,489796110,21283096,51586903,2.801000
invert,16384,512,48,1,getri,467022181,489796110,21283096,51586903,2.801000
invert,16384,512,48,2,getrf,479961051,503673576,22568418,53028316,2.915200
invert,16384,512,48,2,gemm,479961051,503673576,22568418,53028316,2.915200
invert,16384,512,48,2,trsm,479961051,503673576,22568418,53028316,2.915200
invert,16384,512,48,2,getri,479961051,503673576,22568418,53028316,2.915200
invert,16384,512,48,3,getrf,341831583,361892689,24109449,55710406,3.098600
invert,16384,512,48,3,gemm,341831583,361892689,24109449,55710406,3.098600
invert,16384,512,48,3,trsm,341831583,361892689,24109449,55710406,3.098600
invert,16384,512,48,3,getri,341831583,361892689,24109449,55710406,3.098600
invert,16384,512,48,4,getrf,347265225,366577065,25610165,56552564,3.189700
invert,16384,512,48,4,gemm,347265225,366577065,25610165,56552564,3.189700
invert,16384,512,48,4,trsm,347265225,366577065,25610165,56552564,3.189700
invert,16384,512,48,4,getri,347265225,366577065,25610165,56552564,3.189700
invert,16384,512,48,5,getrf,462526770,484539592,23452054,52615292,2.936400
invert,16384,512,48,5,gemm,462526770,484539592,23452054,52615292,2.936400
invert,16384,512,48,5,trsm,462526770,484539592,23452054,52615292,2.936400
invert,16384,512,48,5,getri,462526770,484539592,23452054,52615292,2.936400
