algorithm,task,matrix_size,tile_size,l3_cache_size,frequency,weight,PAPI_VEC_DP,
invert,getrf,8192,256,37486592,1000000,32,61246368,
invert,gemm,8192,256,37486592,1000000,10416,43858567872,
invert,trsm,8192,256,37486592,1000000,992,2608150528,
invert,getri,8192,256,37486592,1000000,32,112741888,
invert,getrf,8192,256,37486592,4000000,32,61246368,
invert,gemm,8192,256,37486592,4000000,10416,43858567872,
invert,trsm,8192,256,37486592,4000000,992,2608150528,
invert,getri,8192,256,37486592,4000000,32,112741888,
invert,getrf,8192,512,37486592,1000000,16,212683728,
invert,gemm,8192,512,37486592,1000000,1240,41770029920,
invert,trsm,8192,512,37486592,1000000,240,4541153280,
invert,getri,8192,512,37486592,1000000,16,396255744,
invert,getrf,8192,512,37486592,4000000,16,212683728,
invert,gemm,8192,512,37486592,4000000,1240,41770029920,
invert,trsm,8192,512,37486592,4000000,240,4541153280,
invert,getri,8192,512,37486592,4000000,16,396255744,
invert,getrf,8192,1024,37486592,1000000,8,783711208,
invert,gemm,8192,1024,37486592,1000000,140,37691064880,
invert,trsm,8192,1024,37486592,1000000,56,8005781504,
invert,getri,8192,1024,37486592,1000000,8,1493695744,
invert,getrf,8192,1024,37486592,4000000,8,783711208,
invert,gemm,8192,1024,37486592,4000000,140,37691064880,
invert,trsm,8192,1024,37486592,4000000,56,8005781504,
invert,getri,8192,1024,37486592,4000000,8,1493695744,
invert,getrf,8192,2048,37486592,1000000,4,3003394036,
invert,gemm,8192,2048,37486592,1000000,14,30152851512,
invert,trsm,8192,2048,37486592,1000000,12,13321052160,
invert,getri,8192,2048,37486592,1000000,4,5838893568,
invert,getrf,8192,2048,37486592,4000000,4,3003394036,
invert,gemm,8192,2048,37486592,4000000,14,30152851512,
invert,trsm,8192,2048,37486592,4000000,12,13321052160,
invert,getri,8192,2048,37486592,4000000,4,5838893568,
invert,getrf,10240,256,37486592,1000000,40,76557960,
invert,gemm,10240,256,37486592,1000000,20540,86487613680,
invert,trsm,10240,256,37486592,1000000,1560,4101527040,
invert,getri,10240,256,37486592,1000000,40,140927360,
invert,getrf,10240,256,37486592,4000000,40,76557960,
invert,gemm,10240,256,37486592,4000000,20540,86487613680,
invert,trsm,10240,256,37486592,4000000,1560,4101527040,
invert,getri,10240,256,37486592,4000000,40,140927360,
invert,getrf,10240,512,37486592,1000000,20,265854660,
invert,gemm,10240,512,37486592,1000000,2470,83203204760,
invert,trsm,10240,512,37486592,1000000,380,7190159360,
invert,getri,10240,512,37486592,1000000,20,495319680,
invert,getrf,10240,512,37486592,4000000,20,265854660,
invert,gemm,10240,512,37486592,4000000,2470,83203204760,
invert,trsm,10240,512,37486592,4000000,380,7190159360,
invert,getri,10240,512,37486592,4000000,20,495319680,
invert,getrf,10240,1024,37486592,1000000,10,979639010,
invert,gemm,10240,1024,37486592,1000000,285,76728239220,
invert,trsm,10240,1024,37486592,1000000,90,12866434560,
invert,getri,10240,1024,37486592,1000000,10,1867119680,
invert,getrf,10240,1024,37486592,4000000,10,979639010,
invert,gemm,10240,1024,37486592,4000000,285,76728239220,
invert,trsm,10240,1024,37486592,4000000,90,12866434560,
invert,getri,10240,1024,37486592,4000000,10,1867119680,
invert,getrf,10240,2048,37486592,1000000,5,3754242545,
invert,gemm,10240,2048,37486592,1000000,30,64613253240,
invert,trsm,10240,2048,37486592,1000000,20,22201753600,
invert,getri,10240,2048,37486592,1000000,5,7298616960,
invert,getrf,10240,2048,37486592,4000000,5,3754242545,
invert,gemm,10240,2048,37486592,4000000,30,64613253240,
invert,trsm,10240,2048,37486592,4000000,20,22201753600,
invert,getri,10240,2048,37486592,4000000,5,7298616960,
invert,getrf,12288,256,37486592,1000000,48,91869552,
invert,gemm,12288,256,37486592,1000000,35720,150405918240,
invert,trsm,12288,256,37486592,1000000,2256,5931439104,
invert,getri,12288,256,37486592,1000000,48,169112832,
invert,getrf,12288,256,37486592,4000000,48,91869552,
invert,gemm,12288,256,37486592,4000000,35720,150405918240,
invert,trsm,12288,256,37486592,4000000,2256,5931439104,
invert,getri,12288,256,37486592,4000000,48,169112832,
invert,getrf,12288,512,37486592,1000000,24,319025592,
invert,gemm,12288,512,37486592,1000000,4324,145656136592,
invert,trsm,12288,512,37486592,1000000,552,10444652544,
invert,getri,12288,512,37486592,1000000,24,594383616,
invert,getrf,12288,512,37486592,4000000,24,319025592,
invert,gemm,12288,512,37486592,4000000,4324,145656136592,
invert,trsm,12288,512,37486592,4000000,552,10444652544,
invert,getri,12288,512,37486592,4000000,24,594383616,
invert,getrf,12288,1024,37486592,1000000,12,1175566812,
invert,gemm,12288,1024,37486592,1000000,506,136226277352,
invert,trsm,12288,1024,37486592,1000000,132,18870770688,
invert,getri,12288,1024,37486592,1000000,12,2240543616,
