algorithm,task,matrix_size,tile_size,l3_cache_size,frequency,weight,PAPI_L3_TCR,PAPI_L3_TCW,
invert,getrf,18432,256,37486592,1000000,72,5827831,551710,
invert,gemm,18432,256,37486592,1000000,121836,6816886494,59480331,
invert,trsm,18432,256,37486592,1000000,5112,199083745,7861385,
invert,getri,18432,256,37486592,1000000,72,5730711,249748,
invert,getrf,18432,256,37486592,4000000,72,5789927,558762,
invert,gemm,18432,256,37486592,4000000,121836,6605843052,72393215,
invert,trsm,18432,256,37486592,4000000,5112,192222968,9473630,
invert,getri,18432,256,37486592,4000000,72,5754629,254122,
invert,getrf,18432,512,37486592,1000000,36,26414890,2492373,
invert,gemm,18432,512,37486592,1000000,14910,5423641387,27259251,
invert,trsm,18432,512,37486592,1000000,1260,284954815,8422027,
invert,getri,18432,512,37486592,1000000,36,46728946,2960966,
invert,getrf,18432,512,37486592,4000000,36,26382850,2511103,
invert,gemm,18432,512,37486592,4000000,14910,5298407006,34687688,
invert,trsm,18432,512,37486592,4000000,1260,272778695,15832729,
invert,getri,18432,512,37486592,4000000,36,45178938,3207728,
invert,getrf,18432,1024,37486592,1000000,18,60959772,4926537,
invert,gemm,18432,1024,37486592,1000000,1785,4058335640,15083673,
invert,trsm,18432,1024,37486592,1000000,306,420161489,6966808,
invert,getri,18432,1024,37486592,1000000,18,147115417,6985577,
invert,getrf,18432,1024,37486592,4000000,18,61178776,4979179,
invert,gemm,18432,1024,37486592,4000000,1785,3988578408,19840444,
invert,trsm,18432,1024,37486592,4000000,306,411784237,12746541,
invert,getri,18432,1024,37486592,4000000,18,145549384,7630231,
invert,getrf,18432,2048,37486592,1000000,9,146833596,6186201,
invert,gemm,18432,2048,37486592,1000000,204,3198646886,6298481,
invert,trsm,18432,2048,37486592,1000000,72,616675670,5645157,
invert,getri,18432,2048,37486592,1000000,9,388276066,10944694,
invert,getrf,18432,2048,37486592,4000000,9,146446129,6215596,
invert,gemm,18432,2048,37486592,4000000,204,3199007644,8139069,
invert,trsm,18432,2048,37486592,4000000,72,613365575,10206323,
invert,getri,18432,2048,37486592,4000000,9,375252575,12372207,
invert,getrf,20480,256,37486592,1000000,80,6598674,606742,
invert,gemm,20480,256,37486592,1000000,167480,9635495405,57577757,
invert,trsm,20480,256,37486592,1000000,6320,233716517,8551570,
invert,getri,20480,256,37486592,1000000,80,6553382,192500,
invert,getrf,20480,256,37486592,4000000,80,6563677,614290,
invert,gemm,20480,256,37486592,4000000,167480,9352916034,73808546,
invert,trsm,20480,256,37486592,4000000,6320,223288695,10101129,
invert,getri,20480,256,37486592,4000000,80,6501971,196333,
invert,getrf,20480,512,37486592,1000000,40,29283484,2771862,
invert,gemm,20480,512,37486592,1000000,20540,8795072014,28543663,
invert,trsm,20480,512,37486592,1000000,1560,362578049,9961864,
invert,getri,20480,512,37486592,1000000,40,51704056,3286123,
invert,getrf,20480,512,37486592,4000000,40,29289340,2788460,
invert,gemm,20480,512,37486592,4000000,20540,8688289964,36095684,
invert,trsm,20480,512,37486592,4000000,1560,349350629,18546694,
invert,getri,20480,512,37486592,4000000,40,50354685,3530909,
invert,getrf,20480,1024,37486592,1000000,20,67972948,5506332,
invert,gemm,20480,1024,37486592,1000000,2470,6399489556,16278264,
invert,trsm,20480,1024,37486592,1000000,380,551848651,8203155,
invert,getri,20480,1024,37486592,1000000,20,158249753,7896414,
invert,getrf,20480,1024,37486592,4000000,20,67914757,5557901,
invert,gemm,20480,1024,37486592,4000000,2470,6447276135,22778399,
invert,trsm,20480,1024,37486592,4000000,380,540986571,15471365,
invert,getri,20480,1024,37486592,4000000,20,161879882,8465364,
invert,getrf,20480,2048,37486592,1000000,10,163021707,6930983,
invert,gemm,20480,2048,37486592,1000000,285,5290911229,6827625,
invert,trsm,20480,2048,37486592,1000000,90,854790260,6547707,
invert,getri,20480,2048,37486592,1000000,10,431380492,12224584,
invert,getrf,20480,2048,37486592,4000000,10,163357028,7002310,
invert,gemm,20480,2048,37486592,4000000,285,5277005746,8673927,
invert,trsm,20480,2048,37486592,4000000,90,849378705,12890810,
invert,getri,20480,2048,37486592,4000000,10,417082364,13739840,
