algorithm,task,matrix_size,tile_size,l3_cache_size,frequency,weight,PAPI_VEC_DP,
invert,getrf,18432,256,37486592,1000000,72,111003924,
invert,gemm,18432,256,37486592,1000000,121836,513013870512,
invert,trsm,18432,256,37486592,1000000,5112,13440388608,
invert,getri,18432,256,37486592,1000000,72,200821488,
invert,getrf,18432,256,37486592,4000000,72,111003924,
invert,gemm,18432,256,37486592,4000000,121836,513013870512,
invert,trsm,18432,256,37486592,4000000,5112,13440388608,
invert,getri,18432,256,37486592,4000000,72,200821488,
invert,getrf,18432,512,37486592,1000000,36,478538388,
invert,gemm,18432,512,37486592,1000000,14910,502250924280,
invert,trsm,18432,512,37486592,1000000,1260,23841054720,
invert,getri,18432,512,37486592,1000000,36,891575424,
invert,getrf,18432,512,37486592,4000000,36,478538388,
invert,gemm,18432,512,37486592,4000000,14910,502250924280,
invert,trsm,18432,512,37486592,4000000,1260,23841054720,
invert,getri,18432,512,37486592,4000000,36,891575424,
invert,getrf,18432,1024,37486592,1000000,18,1763350218,
invert,gemm,18432,1024,37486592,1000000,1785,480561077220,
invert,trsm,18432,1024,37486592,1000000,306,43745877504,
invert,getri,18432,1024,37486592,1000000,18,3360815424,
invert,getrf,18432,1024,37486592,4000000,18,1763350218,
invert,gemm,18432,1024,37486592,4000000,1785,480561077220,
invert,trsm,18432,1024,37486592,4000000,306,43745877504,
invert,getri,18432,1024,37486592,4000000,18,3360815424,
invert,getrf,18432,2048,37486592,1000000,9,6757636581,
invert,gemm,18432,2048,37486592,1000000,204,439370122032,
invert,trsm,18432,2048,37486592,1000000,72,79926312960,
invert,getri,18432,2048,37486592,1000000,9,13137510528,
invert,getrf,18432,2048,37486592,4000000,9,6757636581,
invert,gemm,18432,2048,37486592,4000000,204,439370122032,
invert,trsm,18432,2048,37486592,4000000,72,79926312960,
invert,getri,18432,2048,37486592,4000000,9,13137510528,
invert,getrf,20480,256,37486592,1000000,80,126315516,
invert,gemm,20480,256,37486592,1000000,167480,705206696160,
invert,trsm,20480,256,37486592,1000000,6320,16616442880,
invert,getri,20480,256,37486592,1000000,80,229006960,
invert,getrf,20480,256,37486592,4000000,80,126315516,
invert,gemm,20480,256,37486592,4000000,167480,705206696160,
invert,trsm,20480,256,37486592,4000000,6320,16616442880,
invert,getri,20480,256,37486592,4000000,80,229006960,
invert,getrf,20480,512,37486592,1000000,40,531709320,
invert,gemm,20480,512,37486592,1000000,20540,691900334320,
invert,trsm,20480,512,37486592,1000000,1560,29517496320,
invert,getri,20480,512,37486592,1000000,40,990639360,
invert,getrf,20480,512,37486592,4000000,40,531709320,
invert,gemm,20480,512,37486592,4000000,20540,691900334320,
invert,trsm,20480,512,37486592,4000000,1560,29517496320,
invert,getri,20480,512,37486592,4000000,40,990639360,
invert,getrf,20480,1024,37486592,1000000,20,1959278020,
invert,gemm,20480,1024,37486592,1000000,2470,664978073240,
invert,trsm,20480,1024,37486592,1000000,380,54324945920,
invert,getri,20480,1024,37486592,1000000,20,3734239360,
invert,getrf,20480,1024,37486592,4000000,20,1959278020,
invert,gemm,20480,1024,37486592,4000000,2470,664978073240,
invert,trsm,20480,1024,37486592,4000000,380,54324945920,
invert,getri,20480,1024,37486592,4000000,20,3734239360,
invert,getrf,20480,2048,37486592,1000000,10,7508485090,
invert,gemm,20480,2048,37486592,1000000,285,613825905780,
invert,trsm,20480,2048,37486592,1000000,90,99907891200,
invert,getri,20480,2048,37486592,1000000,10,14597233920,
invert,getrf,20480,2048,37486592,4000000,10,7508485090,
invert,gemm,20480,2048,37486592,4000000,285,613825905780,
invert,trsm,20480,2048,37486592,4000000,90,99907891200,
invert,getri,20480,2048,37486592,4000000,10,14597233920,
