algorithm,task,matrix_size,tile_size,l3_cache_size,frequency,weight,PAPI_L3_TCM,PAPI_TOT_INS,PAPI_TOT_CYC,PAPI_RES_STL,
invert,getrf,22528,256,37486592,1000000,88,3863906,374363619,169762416,64122612,
invert,gemm,22528,256,37486592,1000000,223300,7355119602,886643445761,314221549632,83297702222,
invert,trsm,22528,256,37486592,1000000,7656,136518450,47742223149,22353295062,8849633026,
invert,getri,22528,256,37486592,1000000,88,3240392,620976829,305027092,122243159,
invert,getrf,22528,256,37486592,4000000,88,4316258,374363892,221188444,114637607,
invert,gemm,22528,256,37486592,4000000,223300,7346412484,886643260892,341643271482,110870102667,
invert,trsm,22528,256,37486592,4000000,7656,136237745,47742226084,23337927191,9860638950,
invert,getri,22528,256,37486592,4000000,88,3370940,620977224,343903537,161080508,
invert,getrf,22528,512,37486592,1000000,44,11419550,1312660743,665586561,310671088,
invert,gemm,22528,512,37486592,1000000,27434,4337341787,845537432965,282777340915,64623395539,
invert,trsm,22528,512,37486592,1000000,1892,143311884,64214482417,29689821755,11785542699,
invert,getri,22528,512,37486592,1000000,44,10035157,2073080194,1131662845,531281605,
invert,getrf,22528,512,37486592,4000000,44,11496432,1312660526,860966463,504450340,
invert,gemm,22528,512,37486592,4000000,27434,4308133144,845537254551,296800613921,78732271521,
invert,trsm,22528,512,37486592,4000000,1892,143957909,64214508376,30258846130,12371231446,
invert,getri,22528,512,37486592,4000000,44,10291027,2073083327,1371040354,768498389,
invert,getrf,22528,1024,37486592,1000000,22,26156531,3604947567,1728766417,768072449,
invert,gemm,22528,1024,37486592,1000000,3311,2442241010,802576679470,251931673610,47771318218,
invert,trsm,22528,1024,37486592,1000000,462,194305039,91731243760,38785915125,13824763447,
invert,getri,22528,1024,37486592,1000000,22,17400992,5702031950,2904408232,1330585077,
invert,getrf,22528,1024,37486592,4000000,22,22730571,3604947306,2129176571,1169707559,
invert,gemm,22528,1024,37486592,4000000,3311,2623721378,802576688462,260906012837,56709000522,
invert,trsm,22528,1024,37486592,4000000,462,212841776,91731237349,39721354581,14787407357,
invert,getri,22528,1024,37486592,4000000,22,16321994,5702031648,3375386152,1802529214,
invert,getrf,22528,2048,37486592,1000000,11,67835976,10769136080,5560497848,2677043290,
invert,gemm,22528,2048,37486592,1000000,385,2000670833,740894228690,228512219362,40652746368,
invert,trsm,22528,2048,37486592,1000000,110,273869270,140480045668,53242847484,16053517790,
invert,getri,22528,2048,37486592,1000000,11,62946435,18348539231,9313994614,4354047198,
invert,getrf,22528,2048,37486592,4000000,11,66718763,10769134855,6704557633,3824637353,
invert,gemm,22528,2048,37486592,4000000,385,1886433920,740894187569,234508065431,46547083385,
invert,trsm,22528,2048,37486592,4000000,110,266757683,140480030667,54358339805,17156013913,
invert,getri,22528,2048,37486592,4000000,11,61381240,18348537732,10665408774,5704305525,
invert,getrf,24576,256,37486592,1000000,96,2423497,344189381,151374366,54107634,
invert,gemm,24576,256,37486592,1000000,290320,10740261105,1152756073743,412413150118,111707431487,
invert,trsm,24576,256,37486592,1000000,9120,186503059,56871572379,26744650988,10686395715,
invert,getri,24576,256,37486592,1000000,96,2092661,570091844,274588724,107145694,
invert,getrf,24576,256,37486592,4000000,96,2420831,344187521,176826109,79283395,
invert,gemm,24576,256,37486592,4000000,290320,10462586177,1152754547825,452680267906,151848253662,
invert,trsm,24576,256,37486592,4000000,9120,181533317,56871591510,28141660654,12086581986,
invert,getri,24576,256,37486592,4000000,96,2139501,570090058,296363299,129498046,
invert,getrf,24576,512,37486592,1000000,48,8763540,1432037972,713141475,325937542,
invert,gemm,24576,512,37486592,1000000,35720,7930803773,1100918507364,374614597739,89959043350,
invert,trsm,24576,512,37486592,1000000,2256,235363074,76568672020,35568398780,14212870499,
invert,getri,24576,512,37486592,1000000,48,6949289,2261500883,1219241562,564760442,
invert,getrf,24576,512,37486592,4000000,48,9354732,1432037291,894483782,505426489,
invert,gemm,24576,512,37486592,4000000,35720,7412612997,1100918410714,400747983760,115717178382,
invert,trsm,24576,512,37486592,4000000,2256,228052388,76568663597,36934588548,15604578009,
invert,getri,24576,512,37486592,4000000,48,7066463,2261500738,1419301377,764781473,
invert,getrf,24576,1024,37486592,1000000,24,29967644,3932586462,1898373654,854658584,
invert,gemm,24576,1024,37486592,1000000,4324,6159437811,1048124891886,332983347631,65830949298,
invert,trsm,24576,1024,37486592,1000000,552,365965222,109600944995,46628374213,16821747046,
invert,getri,24576,1024,37486592,1000000,24,26157788,6220376214,3180677747,1466673159,
invert,getrf,24576,1024,37486592,4000000,24,30991531,3932586082,2493518117,1448134628,
invert,gemm,24576,1024,37486592,4000000,4324,5839837344,1048124647478,348943824111,81454712757,
invert,trsm,24576,1024,37486592,4000000,552,349777719,109600940710,48277998593,18452743181,
invert,getri,24576,1024,37486592,4000000,24,26093240,6220376087,3883516480,2165954053,
invert,getrf,24576,2048,37486592,1000000,12,73740165,11748380951,6108008666,2963159629,
invert,gemm,24576,2048,37486592,1000000,506,5499917730,973746695700,303929621532,56556459456,
invert,trsm,24576,2048,37486592,1000000,132,663028309,168576053333,64466409059,19793301777,
invert,getri,24576,2048,37486592,1000000,12,70027144,20016590099,10207400133,4794220493,
invert,getrf,24576,2048,37486592,4000000,12,76093516,11748379539,7859895883,4720575598,
invert,gemm,24576,2048,37486592,4000000,506,5209171389,973746646424,314723100984,66960757677,
invert,trsm,24576,2048,37486592,4000000,132,633897527,168576040994,66662258104,21947100916,
invert,getri,24576,2048,37486592,4000000,12,70959523,20016587857,12177230806,6766802606,
