algorithm,matrix_size,tile_size,threads,case,task,PKG1,PKG2,DRAM1,DRAM2,time
invert,18432,256,48,1,getrf,705085841,635018638,78447843,43387526,4.085900
invert,18432,256,48,1,gemm,705085841,635018638,78447843,43387526,4.085900
invert,18432,256,48,1,trsm,705085841,635018638,78447843,43387526,4.085900
invert,18432,256,48,1,getri,705085841,635018638,78447843,43387526,4.085900
invert,18432,256,48,2,getrf,698119429,631749725,77731497,42561739,4.039800
invert,18432,256,48,2,gemm,698119429,631749725,77731497,42561739,4.039800
invert,18432,256,48,2,trsm,698119429,631749725,77731497,42561739,4.039800
invert,18432,256,48,2,getri,698119429,631749725,77731497,42561739,4.039800
invert,18432,256,48,3,getrf,544213328,460806011,85442743,45382294,4.655600
invert,18432,256,48,3,gemm,544213328,460806011,85442743,45382294,4.655600
invert,18432,256,48,3,trsm,544213328,460806011,85442743,45382294,4.655600
invert,18432,256,48,3,getri,544213328,460806011,85442743,45382294,4.655600
invert,18432,256,48,4,getrf,543927807,462793859,84368484,47657007,4.658200
invert,18432,256,48,4,gemm,543927807,462793859,84368484,47657007,4.658200
invert,18432,256,48,4,trsm,543927807,462793859,84368484,47657007,4.658200
invert,18432,256,48,4,getri,543927807,462793859,84368484,47657007,4.658200
invert,18432,256,48,5,getrf,700619301,606260045,78329299,42497387,4.081500
invert,18432,256,48,5,gemm,700619301,606260045,78329299,42497387,4.081500
invert,18432,256,48,5,trsm,700619301,606260045,78329299,42497387,4.081500
invert,18432,256,48,5,getri,700619301,606260045,78329299,42497387,4.081500
invert,18432,256,48,6,getrf,682077965,595122194,75942575,43397716,3.965100
invert,18432,256,48,6,gemm,682077965,595122194,75942575,43397716,3.965100
invert,18432,256,48,6,trsm,682077965,595122194,75942575,43397716,3.965100
invert,18432,256,48,6,getri,682077965,595122194,75942575,43397716,3.965100
invert,18432,256,48,7,getrf,545369454,461708779,85276677,47424156,4.770400
invert,18432,256,48,7,gemm,545369454,461708779,85276677,47424156,4.770400
invert,18432,256,48,7,trsm,545369454,461708779,85276677,47424156,4.770400
invert,18432,256,48,7,getri,545369454,461708779,85276677,47424156,4.770400
invert,18432,256,48,8,getrf,542139298,460576092,86414156,46316099,4.783100
invert,18432,256,48,8,gemm,542139298,460576092,86414156,46316099,4.783100
invert,18432,256,48,8,trsm,542139298,460576092,86414156,46316099,4.783100
invert,18432,256,48,8,getri,542139298,460576092,86414156,46316099,4.783100
invert,18432,256,48,9,getrf,705643275,635861165,79222773,43117297,4.114800
invert,18432,256,48,9,gemm,705643275,635861165,79222773,43117297,4.114800
invert,18432,256,48,9,trsm,705643275,635861165,79222773,43117297,4.114800
invert,18432,256,48,9,getri,705643275,635861165,79222773,43117297,4.114800
invert,18432,256,48,10,getrf,687785044,620885617,76177476,45040813,3.995200
invert,18432,256,48,10,gemm,687785044,620885617,76177476,45040813,3.995200
invert,18432,256,48,10,trsm,687785044,620885617,76177476,45040813,3.995200
invert,18432,256,48,10,getri,687785044,620885617,76177476,45040813,3.995200
invert,18432,256,48,11,getrf,538851343,462780554,83725900,48383389,4.657000
invert,18432,256,48,11,gemm,538851343,462780554,83725900,48383389,4.657000
invert,18432,256,48,11,trsm,538851343,462780554,83725900,48383389,4.657000
invert,18432,256,48,11,getri,538851343,462780554,83725900,48383389,4.657000
invert,18432,256,48,12,getrf,545398629,460403118,85670728,45589088,4.685600
invert,18432,256,48,12,gemm,545398629,460403118,85670728,45589088,4.685600
invert,18432,256,48,12,trsm,545398629,460403118,85670728,45589088,4.685600
invert,18432,256,48,12,getri,545398629,460403118,85670728,45589088,4.685600
invert,18432,256,48,13,getrf,699809854,606659030,78901091,43028480,4.121500
invert,18432,256,48,13,gemm,699809854,606659030,78901091,43028480,4.121500
invert,18432,256,48,13,trsm,699809854,606659030,78901091,43028480,4.121500
invert,18432,256,48,13,getri,699809854,606659030,78901091,43028480,4.121500
invert,18432,256,48,14,getrf,687375438,599968984,76942598,42976629,4.038000
invert,18432,256,48,14,gemm,687375438,599968984,76942598,42976629,4.038000
invert,18432,256,48,14,trsm,687375438,599968984,76942598,42976629,4.038000
invert,18432,256,48,14,getri,687375438,599968984,76942598,42976629,4.038000
invert,18432,256,48,15,getrf,538751306,458632432,86582578,46880102,4.781400
invert,18432,256,48,15,gemm,538751306,458632432,86582578,46880102,4.781400
invert,18432,256,48,15,trsm,538751306,458632432,86582578,46880102,4.781400
invert,18432,256,48,15,getri,538751306,458632432,86582578,46880102,4.781400
invert,18432,256,48,16,getrf,537718777,456098198,85947720,46245505,4.755900
invert,18432,256,48,16,gemm,537718777,456098198,85947720,46245505,4.755900
invert,18432,256,48,16,trsm,537718777,456098198,85947720,46245505,4.755900
invert,18432,256,48,16,getri,537718777,456098198,85947720,46245505,4.755900
invert,18432,512,48,1,getrf,639552562,598980827,70369137,35603100,3.681900
invert,18432,512,48,1,gemm,639552562,598980827,70369137,35603100,3.681900
invert,18432,512,48,1,trsm,639552562,598980827,70369137,35603100,3.681900
invert,18432,512,48,1,getri,639552562,598980827,70369137,35603100,3.681900
invert,18432,512,48,2,getrf,643008730,604348855,69996123,36263264,3.726500
invert,18432,512,48,2,gemm,643008730,604348855,69996123,36263264,3.726500
invert,18432,512,48,2,trsm,643008730,604348855,69996123,36263264,3.726500
invert,18432,512,48,2,getri,643008730,604348855,69996123,36263264,3.726500
invert,18432,512,48,3,getrf,492570699,423573256,75720113,39256404,4.126800
invert,18432,512,48,3,gemm,492570699,423573256,75720113,39256404,4.126800
invert,18432,512,48,3,trsm,492570699,423573256,75720113,39256404,4.126800
invert,18432,512,48,3,getri,492570699,423573256,75720113,39256404,4.126800
invert,18432,512,48,4,getrf,495529676,428290407,76164119,40604226,4.205300
invert,18432,512,48,4,gemm,495529676,428290407,76164119,40604226,4.205300
invert,18432,512,48,4,trsm,495529676,428290407,76164119,40604226,4.205300
invert,18432,512,48,4,getri,495529676,428290407,76164119,40604226,4.205300
invert,18432,512,48,5,getrf,634677514,580748452,68427552,37344898,3.736100
invert,18432,512,48,5,gemm,634677514,580748452,68427552,37344898,3.736100
invert,18432,512,48,5,trsm,634677514,580748452,68427552,37344898,3.736100
invert,18432,512,48,5,getri,634677514,580748452,68427552,37344898,3.736100
invert,18432,512,48,6,getrf,644352232,587841513,70344168,37636577,3.852300
invert,18432,512,48,6,gemm,644352232,587841513,70344168,37636577,3.852300
invert,18432,512,48,6,trsm,644352232,587841513,70344168,37636577,3.852300
invert,18432,512,48,6,getri,644352232,587841513,70344168,37636577,3.852300
invert,18432,512,48,7,getrf,494328630,425771432,77807140,41653577,4.394600
invert,18432,512,48,7,gemm,494328630,425771432,77807140,41653577,4.394600
invert,18432,512,48,7,trsm,494328630,425771432,77807140,41653577,4.394600
invert,18432,512,48,7,getri,494328630,425771432,77807140,41653577,4.394600
invert,18432,512,48,8,getrf,498626776,432981680,78460098,42709414,4.494500
invert,18432,512,48,8,gemm,498626776,432981680,78460098,42709414,4.494500
invert,18432,512,48,8,trsm,498626776,432981680,78460098,42709414,4.494500
invert,18432,512,48,8,getri,498626776,432981680,78460098,42709414,4.494500
invert,18432,512,48,9,getrf,628848122,593410835,68825565,35536102,3.644200
