algorithm,task,matrix_size,tile_size,l3_cache_size,frequency,weight,PAPI_L3_TCM,PAPI_TOT_INS,PAPI_TOT_CYC,PAPI_RES_STL,PAPI_L2_TCR,PAPI_L2_TCW,PAPI_L3_TCR,PAPI_L3_TCW,PAPI_VEC_DP
lu,getrfpiv,8192,256,37486592,1000000,32,17764991,1656157618,846053442,399084528,54253093,36391710,51002581,5105062,1164420087
lu,gemm,8192,256,37486592,1000000,10416,126181926,41358257956,13798429279,3069921958,322604163,336705404,498654200,1010704,43858567872
lu,trsmswp,8192,256,37486592,1000000,496,34644363,4082714672,2332779836,1177737304,260473855,143603481,50559107,1295690,1502887936
lu,geswp,8192,256,37486592,1000000,31,5587078,212231074,636711583,554118481,65834633,129292100,26938200,256277,0
lu,getrfpiv,8192,256,37486592,4000000,32,17537086,1656156359,1069417512,621521336,53544911,36309594,50353482,5054484,1164420087
lu,gemm,8192,256,37486592,4000000,10416,126242959,41358279690,14291392877,3560176860,312667953,334565196,494805748,1302481,43858567872
lu,trsmswp,8192,256,37486592,4000000,496,34858187,4082692016,2719967975,1554043132,257903926,137433499,50548877,1212111,1502887936
lu,geswp,8192,256,37486592,4000000,31,5668514,212231779,736716059,651050733,65601685,127953530,26830541,228234,0
lu,getrfpiv,8192,512,37486592,1000000,16,25964901,2774957166,1235999451,499724805,69856051,43819496,61948314,5577490,2290836471
lu,gemm,8192,512,37486592,1000000,1240,121406885,38217755079,12546536982,2699695008,300326227,244009596,421239891,1979612,41770029920
lu,trsmswp,8192,512,37486592,1000000,120,44041626,5005959493,2942788824,1553901701,315155461,144215764,86751328,1038242,2463006720
lu,geswp,8192,512,37486592,1000000,15,8482388,200781347,833999927,760916452,80311135,124747864,62590116,372896,0
lu,getrfpiv,8192,512,37486592,4000000,16,26043903,2774956943,1505655396,768335991,69349698,42700635,61001501,5597367,2290836471
lu,gemm,8192,512,37486592,4000000,1240,118261604,38217728257,12929435885,3083697236,296822375,243398090,414673122,2405130,41770029920
lu,trsmswp,8192,512,37486592,4000000,120,43710066,5005957988,3562549891,2157699686,306519300,139555304,86425371,1351267,2463006720
lu,geswp,8192,512,37486592,4000000,15,8425117,200781089,1008497958,930119244,69174211,124198198,62667903,289799,0
lu,getrfpiv,8192,1024,37486592,1000000,8,38753622,5071626282,2001649695,681860738,97499150,52685482,86256031,5254759,4604662775
lu,gemm,8192,1024,37486592,1000000,140,76434450,33935589337,10522455112,1892137240,152405565,128004488,294491837,1777620,37691064880
lu,trsmswp,8192,1024,37486592,1000000,28,41115712,6415517475,3405598473,1648325034,321260151,80803812,93771881,954511,4182556672
lu,geswp,8192,1024,37486592,1000000,7,11385026,185246999,854135462,779710923,68652010,52797824,58407707,431232,0
lu,getrfpiv,8192,1024,37486592,4000000,8,38658472,5071625557,2316541041,995537424,96656119,52829248,85500434,5314029,4604662775
lu,gemm,8192,1024,37486592,4000000,140,71185307,33935579941,10733011776,2102116479,151880512,127588656,290079356,2220848,37691064880
lu,trsmswp,8192,1024,37486592,4000000,28,40836257,6415515195,3975335468,2220649071,321905609,123903144,92855012,1507690,4182556672
lu,geswp,8192,1024,37486592,4000000,7,11410390,185246546,1047020408,969427348,66917621,81432360,58413575,496544,0
lu,getrfpiv,8192,2048,37486592,1000000,4,51262428,9836269819,3600695179,1033793578,154361596,58240668,113384122,11084265,9507684343
lu,gemm,8192,2048,37486592,1000000,14,64067977,26941608529,8245884526,1412962455,116992327,77914596,212230678,376299,30152851512
lu,trsmswp,8192,2048,37486592,1000000,6,51910468,8390010979,3885620198,1654947813,309881872,63855702,98742078,784524,6814531584
lu,geswp,8192,2048,37486592,1000000,3,22677565,157862066,818207078,753070416,73805167,46197650,50114887,985118,0
lu,getrfpiv,8192,2048,37486592,4000000,4,50133420,9836269192,4014210590,1424681447,154633142,57276898,111647082,11149816,9507684343
lu,gemm,8192,2048,37486592,4000000,14,61027908,26941607309,8413013823,1575679699,118241235,77851720,211536115,517171,30152851512
lu,trsmswp,8192,2048,37486592,4000000,6,50103894,8390010081,4510135399,2273714054,312108962,107559814,98949775,2892067,6814531584
lu,geswp,8192,2048,37486592,4000000,3,21676807,157861837,1177791013,1108681243,76402241,82384200,50069965,2504985,0
lu,getrfpiv,10240,256,37486592,1000000,40,27266205,2548821930,1278928096,593095702,83314763,56546974,78163183,7858866,1811388149
lu,gemm,10240,256,37486592,1000000,20540,274959060,81557025356,27233455015,6075200038,646460642,664568260,977481193,1928637,86487613680
lu,trsmswp,10240,256,37486592,1000000,780,57093412,6420307269,3702475400,1884936992,409752087,225038676,80376072,2144104,2363412480
lu,geswp,10240,256,37486592,1000000,39,9004233,334237492,1007111288,876837237,104019287,203592730,44748470,466469,0
lu,getrfpiv,10240,256,37486592,4000000,40,27581724,2548822043,1634745959,947813435,82303745,56455518,77259516,7791517,1811388149
lu,gemm,10240,256,37486592,4000000,20540,274711801,81557114271,28411167037,7238439499,604684104,660208162,975482395,2462201,86487613680
lu,trsmswp,10240,256,37486592,4000000,780,56981758,6420312164,4364457721,2527015874,406977056,215230505,80177984,1923640,2363412480
lu,geswp,10240,256,37486592,4000000,39,9134838,334236815,1177088102,1041728427,103691276,201247960,44622301,408404,0
lu,getrfpiv,10240,512,37486592,1000000,20,40952662,4248869928,1862148285,737635025,105351671,67054608,93399716,8586657,3556263669
lu,gemm,10240,512,37486592,1000000,2470,256084995,76127282653,24994280449,5377707627,593542838,485659128,838527727,3778409,83203204760
lu,trsmswp,10240,512,37486592,1000000,190,75325626,7926019995,4676004454,2471089245,499858591,227662432,137493043,1676171,3899760640
lu,geswp,10240,512,37486592,1000000,19,14255751,318371391,1326222292,1210166854,128950357,197016292,99393113,639275,0
lu,getrfpiv,10240,512,37486592,4000000,20,41076404,4248869574,2295375937,1169139405,104387907,66307626,92154455,8544623,3556263669
lu,gemm,10240,512,37486592,4000000,2470,248884728,76127259167,25807300061,6189633780,590181188,485669727,825327928,4645272,83203204760
lu,trsmswp,10240,512,37486592,4000000,190,74596488,7926017558,5724622450,3503196340,485265976,219655616,136974369,2173483,3899760640
lu,geswp,10240,512,37486592,4000000,19,14022826,318371118,1613569637,1489019562,110343593,196868788,99528088,492818,0
lu,getrfpiv,10240,1024,37486592,1000000,10,60029546,7713696405,2993182608,992569499,141633856,81889396,128560869,7915138,7120454389
lu,gemm,10240,1024,37486592,1000000,285,152286947,69083144945,21418175345,3848951985,310975086,260679270,598068095,3546563,76728239220
lu,trsmswp,10240,1024,37486592,1000000,45,69606808,10310580465,5473560441,2657236918,516365930,131536554,150555581,1542689,6721966080
lu,geswp,10240,1024,37486592,1000000,9,21199470,298152000,1391592590,1270996158,110042453,80115246,94123833,685118,0
lu,getrfpiv,10240,1024,37486592,4000000,10,57608944,7713695380,3482155751,1477890597,140523305,80662316,126972392,7971160,7120454389
lu,gemm,10240,1024,37486592,4000000,285,148443610,69083141236,21845438741,4275466925,309973285,259263032,590631182,4495855,76728239220
lu,trsmswp,10240,1024,37486592,4000000,45,71496548,10310577545,6491217888,3666264813,517868086,199363754,149441953,2358836,6721966080
lu,geswp,10240,1024,37486592,4000000,9,20762310,298151538,1731710000,1605677512,108173068,126624500,94139874,788741,0
lu,getrfpiv,10240,2048,37486592,1000000,5,73130022,14845462595,5361794407,1487144809,217618544,88445040,162202913,16522811,14594726389
lu,gemm,10240,2048,37486592,1000000,30,146476671,57732016835,17678292882,3038746063,252498472,167048334,461698511,799889,64613253240
lu,trsmswp,10240,2048,37486592,1000000,10,90046026,13983286935,6529487578,2776905228,517510436,105106466,165020801,1272295,11357552640
lu,geswp,10240,2048,37486592,1000000,4,41144530,263489044,1383483974,1274436077,121644565,72749204,83710212,1481257,0
lu,getrfpiv,10240,2048,37486592,4000000,5,72382478,14845461445,5966773133,2066649422,217152940,87787840,160501981,16648834,14594726389
lu,gemm,10240,2048,37486592,4000000,30,139323473,57732012978,18036829651,3386194039,251526475,167112168,457146149,1082539,64613253240
lu,trsmswp,10240,2048,37486592,4000000,10,86751577,13983285951,7587369442,3847423308,518082918,180095032,164207007,4774022,11357552640
lu,geswp,10240,2048,37486592,4000000,4,38608524,263488846,2011341666,1895539314,122152425,135713332,83670755,4245715,0
lu,getrfpiv,12288,256,37486592,1000000,48,43016576,3634365297,1863950031,886264911,120505804,81309198,119226127,11297770,2600701427
lu,gemm,12288,256,37486592,1000000,35720,517871128,141831642046,47575018369,10745977876,1098781856,1157347273,1697938779,3230802,150405918240
lu,trsmswp,12288,256,37486592,1000000,1128,86219693,9284839411,5343309085,2716155657,591766006,324201092,117195975,3117508,3417858048
lu,geswp,12288,256,37486592,1000000,47,13387831,482948730,1464436410,1275837810,150781879,293965877,67241868,744717,0
lu,getrfpiv,12288,256,37486592,4000000,48,43472305,3634363761,2410260375,1429234944,118877213,80780258,117484312,11113816,2600701427
lu,gemm,12288,256,37486592,4000000,35720,517137397,141831459806,49673830703,12830389941,1044371367,1150621082,1694776109,4081492,150405918240
lu,trsmswp,12288,256,37486592,4000000,1128,86290795,9284833528,6329839596,3672688983,586851501,309193280,117068249,2834695,3417858048
