algorithm,task,matrix_size,tile_size,l3_cache_size,frequency,weight,PAPI_VEC_DP,
lu,getrfpiv,16384,256,37486592,1000000,64,4606363631,
lu,gemm,16384,256,37486592,1000000,85344,359357298048,
lu,trsmswp,16384,256,37486592,1000000,2016,6108512256,
lu,geswp,16384,256,37486592,1000000,63,0,
lu,getrfpiv,16384,256,37486592,4000000,64,4606363631,
lu,gemm,16384,256,37486592,4000000,85344,359357298048,
lu,trsmswp,16384,256,37486592,4000000,2016,6108512256,
lu,geswp,16384,256,37486592,4000000,63,0,
lu,getrfpiv,16384,512,37486592,1000000,32,9015068655,
lu,gemm,16384,512,37486592,1000000,10416,350868251328,
lu,trsmswp,16384,512,37486592,1000000,496,10180427776,
lu,geswp,16384,512,37486592,1000000,31,0,
lu,getrfpiv,16384,512,37486592,4000000,32,9015068655,
lu,gemm,16384,512,37486592,4000000,10416,350868251328,
lu,trsmswp,16384,512,37486592,4000000,496,10180427776,
lu,geswp,16384,512,37486592,4000000,31,0,
lu,getrfpiv,16384,1024,37486592,1000000,16,17942931439,
lu,gemm,16384,1024,37486592,1000000,1240,333835146080,
lu,trsmswp,16384,1024,37486592,1000000,120,17925242880,
lu,geswp,16384,1024,37486592,1000000,15,0,
lu,getrfpiv,16384,1024,37486592,4000000,16,17942931439,
lu,gemm,16384,1024,37486592,4000000,1240,333835146080,
lu,trsmswp,16384,1024,37486592,4000000,120,17925242880,
lu,geswp,16384,1024,37486592,4000000,15,0,
lu,getrfpiv,16384,2048,37486592,1000000,8,36360142831,
lu,gemm,16384,2048,37486592,1000000,140,301528515120,
lu,trsmswp,16384,2048,37486592,1000000,28,31801147392,
lu,geswp,16384,2048,37486592,1000000,7,0,
lu,getrfpiv,16384,2048,37486592,4000000,8,36360142831,
lu,gemm,16384,2048,37486592,4000000,140,301528515120,
lu,trsmswp,16384,2048,37486592,4000000,28,31801147392,
lu,geswp,16384,2048,37486592,4000000,7,0,
lu,getrfpiv,18432,256,37486592,1000000,72,5822712557,
lu,gemm,18432,256,37486592,1000000,121836,513013870512,
lu,trsmswp,18432,256,37486592,1000000,2556,7744720896,
lu,geswp,18432,256,37486592,1000000,71,0,
lu,getrfpiv,18432,256,37486592,4000000,72,5822712557,
lu,gemm,18432,256,37486592,4000000,121836,513013870512,
lu,trsmswp,18432,256,37486592,4000000,2556,7744720896,
lu,geswp,18432,256,37486592,4000000,71,0,
lu,getrfpiv,18432,512,37486592,1000000,36,11388844781,
lu,gemm,18432,512,37486592,1000000,14910,502250924280,
lu,trsmswp,18432,512,37486592,1000000,630,12930785280,
lu,geswp,18432,512,37486592,1000000,35,0,
lu,getrfpiv,18432,512,37486592,4000000,36,11388844781,
lu,gemm,18432,512,37486592,4000000,14910,502250924280,
lu,trsmswp,18432,512,37486592,4000000,630,12930785280,
lu,geswp,18432,512,37486592,4000000,35,0,
lu,getrfpiv,18432,1024,37486592,1000000,18,22642124525,
lu,gemm,18432,1024,37486592,1000000,1785,480561077220,
lu,trsmswp,18432,1024,37486592,1000000,153,22854684672,
lu,geswp,18432,1024,37486592,1000000,17,0,
lu,getrfpiv,18432,1024,37486592,4000000,18,22642124525,
lu,gemm,18432,1024,37486592,4000000,1785,480561077220,
lu,trsmswp,18432,1024,37486592,4000000,153,22854684672,
lu,geswp,18432,1024,37486592,4000000,17,0,
lu,getrfpiv,18432,2048,37486592,1000000,9,45783378413,
lu,gemm,18432,2048,37486592,1000000,204,439370122032,
lu,trsmswp,18432,2048,37486592,1000000,36,40887189504,
lu,geswp,18432,2048,37486592,1000000,8,0,
lu,getrfpiv,18432,2048,37486592,4000000,9,45783378413,
lu,gemm,18432,2048,37486592,4000000,204,439370122032,
lu,trsmswp,18432,2048,37486592,4000000,36,40887189504,
lu,geswp,18432,2048,37486592,4000000,8,0,
