algorithm,matrix_size,tile_size,threads,case,task,PKG1,PKG2,DRAM1,DRAM2,time
lu,8192,256,48,1,getrfpiv,115963266,115183360,5828337,11457313,0.802600
lu,8192,256,48,1,gemm,115963266,115183360,5828337,11457313,0.802600
lu,8192,256,48,1,trsmswp,115963266,115183360,5828337,11457313,0.802600
lu,8192,256,48,1,geswp,115963266,115183360,5828337,11457313,0.802600
lu,8192,256,48,2,getrfpiv,113837416,109734521,5784057,11424479,0.796400
lu,8192,256,48,2,gemm,113837416,109734521,5784057,11424479,0.796400
lu,8192,256,48,2,trsmswp,113837416,109734521,5784057,11424479,0.796400
lu,8192,256,48,2,geswp,113837416,109734521,5784057,11424479,0.796400
lu,8192,256,48,3,getrfpiv,141892948,138416332,11027842,18228496,1.538400
lu,8192,256,48,3,gemm,141892948,138416332,11027842,18228496,1.538400
lu,8192,256,48,3,trsmswp,141892948,138416332,11027842,18228496,1.538400
lu,8192,256,48,3,geswp,141892948,138416332,11027842,18228496,1.538400
lu,8192,256,48,4,getrfpiv,139513620,137291153,11337789,18459664,1.569700
lu,8192,256,48,4,gemm,139513620,137291153,11337789,18459664,1.569700
lu,8192,256,48,4,trsmswp,139513620,137291153,11337789,18459664,1.569700
lu,8192,256,48,4,geswp,139513620,137291153,11337789,18459664,1.569700
lu,8192,256,48,5,getrfpiv,94175174,95520019,6498278,12250832,0.891300
lu,8192,256,48,5,gemm,94175174,95520019,6498278,12250832,0.891300
lu,8192,256,48,5,trsmswp,94175174,95520019,6498278,12250832,0.891300
lu,8192,256,48,5,geswp,94175174,95520019,6498278,12250832,0.891300
lu,8192,256,48,6,getrfpiv,101178024,91998178,6632641,12195554,0.898300
lu,8192,256,48,6,gemm,101178024,91998178,6632641,12195554,0.898300
lu,8192,256,48,6,trsmswp,101178024,91998178,6632641,12195554,0.898300
lu,8192,256,48,6,geswp,101178024,91998178,6632641,12195554,0.898300
lu,8192,256,48,7,getrfpiv,116102486,115872384,11507375,18535537,1.607300
lu,8192,256,48,7,gemm,116102486,115872384,11507375,18535537,1.607300
lu,8192,256,48,7,trsmswp,116102486,115872384,11507375,18535537,1.607300
lu,8192,256,48,7,geswp,116102486,115872384,11507375,18535537,1.607300
lu,8192,256,48,8,getrfpiv,118725099,116150948,11610115,18892701,1.633100
lu,8192,256,48,8,gemm,118725099,116150948,11610115,18892701,1.633100
lu,8192,256,48,8,trsmswp,118725099,116150948,11610115,18892701,1.633100
lu,8192,256,48,8,geswp,118725099,116150948,11610115,18892701,1.633100
lu,8192,256,48,9,getrfpiv,117140874,103126079,10391974,7362987,0.786700
lu,8192,256,48,9,gemm,117140874,103126079,10391974,7362987,0.786700
lu,8192,256,48,9,trsmswp,117140874,103126079,10391974,7362987,0.786700
lu,8192,256,48,9,geswp,117140874,103126079,10391974,7362987,0.786700
lu,8192,256,48,10,getrfpiv,120520626,103447428,10766028,7530492,0.811900
lu,8192,256,48,10,gemm,120520626,103447428,10766028,7530492,0.811900
lu,8192,256,48,10,trsmswp,120520626,103447428,10766028,7530492,0.811900
lu,8192,256,48,10,geswp,120520626,103447428,10766028,7530492,0.811900
lu,8192,256,48,11,getrfpiv,141267278,127374918,16369088,13762243,1.549300
lu,8192,256,48,11,gemm,141267278,127374918,16369088,13762243,1.549300
lu,8192,256,48,11,trsmswp,141267278,127374918,16369088,13762243,1.549300
lu,8192,256,48,11,geswp,141267278,127374918,16369088,13762243,1.549300
lu,8192,256,48,12,getrfpiv,148598130,126324689,16636822,14069085,1.582900
lu,8192,256,48,12,gemm,148598130,126324689,16636822,14069085,1.582900
lu,8192,256,48,12,trsmswp,148598130,126324689,16636822,14069085,1.582900
lu,8192,256,48,12,geswp,148598130,126324689,16636822,14069085,1.582900
lu,8192,256,48,13,getrfpiv,97990838,82232760,11028761,7860788,0.859000
lu,8192,256,48,13,gemm,97990838,82232760,11028761,7860788,0.859000
lu,8192,256,48,13,trsmswp,97990838,82232760,11028761,7860788,0.859000
