algorithm,task,matrix_size,tile_size,l3_cache_size,frequency,weight,PAPI_L3_TCR,PAPI_L3_TCW,
lu,getrfpiv,8192,256,37486592,1000000,32,51002581,5105062,
lu,gemm,8192,256,37486592,1000000,10416,498654200,1010704,
lu,trsmswp,8192,256,37486592,1000000,496,50559107,1295690,
lu,geswp,8192,256,37486592,1000000,31,26938200,256277,
lu,getrfpiv,8192,256,37486592,4000000,32,50353482,5054484,
lu,gemm,8192,256,37486592,4000000,10416,494805748,1302481,
lu,trsmswp,8192,256,37486592,4000000,496,50548877,1212111,
lu,geswp,8192,256,37486592,4000000,31,26830541,228234,
lu,getrfpiv,8192,512,37486592,1000000,16,61948314,5577490,
lu,gemm,8192,512,37486592,1000000,1240,421239891,1979612,
lu,trsmswp,8192,512,37486592,1000000,120,86751328,1038242,
lu,geswp,8192,512,37486592,1000000,15,62590116,372896,
lu,getrfpiv,8192,512,37486592,4000000,16,61001501,5597367,
lu,gemm,8192,512,37486592,4000000,1240,414673122,2405130,
lu,trsmswp,8192,512,37486592,4000000,120,86425371,1351267,
lu,geswp,8192,512,37486592,4000000,15,62667903,289799,
lu,getrfpiv,8192,1024,37486592,1000000,8,86256031,5254759,
lu,gemm,8192,1024,37486592,1000000,140,294491837,1777620,
lu,trsmswp,8192,1024,37486592,1000000,28,93771881,954511,
lu,geswp,8192,1024,37486592,1000000,7,58407707,431232,
lu,getrfpiv,8192,1024,37486592,4000000,8,85500434,5314029,
lu,gemm,8192,1024,37486592,4000000,140,290079356,2220848,
lu,trsmswp,8192,1024,37486592,4000000,28,92855012,1507690,
lu,geswp,8192,1024,37486592,4000000,7,58413575,496544,
lu,getrfpiv,8192,2048,37486592,1000000,4,113384122,11084265,
lu,gemm,8192,2048,37486592,1000000,14,212230678,376299,
lu,trsmswp,8192,2048,37486592,1000000,6,98742078,784524,
lu,geswp,8192,2048,37486592,1000000,3,50114887,985118,
lu,getrfpiv,8192,2048,37486592,4000000,4,111647082,11149816,
lu,gemm,8192,2048,37486592,4000000,14,211536115,517171,
lu,trsmswp,8192,2048,37486592,4000000,6,98949775,2892067,
lu,geswp,8192,2048,37486592,4000000,3,50069965,2504985,
lu,getrfpiv,10240,256,37486592,1000000,40,78163183,7858866,
lu,gemm,10240,256,37486592,1000000,20540,977481193,1928637,
lu,trsmswp,10240,256,37486592,1000000,780,80376072,2144104,
lu,geswp,10240,256,37486592,1000000,39,44748470,466469,
lu,getrfpiv,10240,256,37486592,4000000,40,77259516,7791517,
lu,gemm,10240,256,37486592,4000000,20540,975482395,2462201,
lu,trsmswp,10240,256,37486592,4000000,780,80177984,1923640,
lu,geswp,10240,256,37486592,4000000,39,44622301,408404,
lu,getrfpiv,10240,512,37486592,1000000,20,93399716,8586657,
lu,gemm,10240,512,37486592,1000000,2470,838527727,3778409,
lu,trsmswp,10240,512,37486592,1000000,190,137493043,1676171,
lu,geswp,10240,512,37486592,1000000,19,99393113,639275,
lu,getrfpiv,10240,512,37486592,4000000,20,92154455,8544623,
lu,gemm,10240,512,37486592,4000000,2470,825327928,4645272,
lu,trsmswp,10240,512,37486592,4000000,190,136974369,2173483,
lu,geswp,10240,512,37486592,4000000,19,99528088,492818,
lu,getrfpiv,10240,1024,37486592,1000000,10,128560869,7915138,
lu,gemm,10240,1024,37486592,1000000,285,598068095,3546563,
lu,trsmswp,10240,1024,37486592,1000000,45,150555581,1542689,
lu,geswp,10240,1024,37486592,1000000,9,94123833,685118,
lu,getrfpiv,10240,1024,37486592,4000000,10,126972392,7971160,
lu,gemm,10240,1024,37486592,4000000,285,590631182,4495855,
lu,trsmswp,10240,1024,37486592,4000000,45,149441953,2358836,
lu,geswp,10240,1024,37486592,4000000,9,94139874,788741,
lu,getrfpiv,10240,2048,37486592,1000000,5,162202913,16522811,
lu,gemm,10240,2048,37486592,1000000,30,461698511,799889,
lu,trsmswp,10240,2048,37486592,1000000,10,165020801,1272295,
lu,geswp,10240,2048,37486592,1000000,4,83710212,1481257,
lu,getrfpiv,10240,2048,37486592,4000000,5,160501981,16648834,
lu,gemm,10240,2048,37486592,4000000,30,457146149,1082539,
lu,trsmswp,10240,2048,37486592,4000000,10,164207007,4774022,
lu,geswp,10240,2048,37486592,4000000,4,83670755,4245715,
lu,getrfpiv,12288,256,37486592,1000000,48,119226127,11297770,
lu,gemm,12288,256,37486592,1000000,35720,1697938779,3230802,
lu,trsmswp,12288,256,37486592,1000000,1128,117195975,3117508,
lu,geswp,12288,256,37486592,1000000,47,67241868,744717,
lu,getrfpiv,12288,256,37486592,4000000,48,117484312,11113816,
lu,gemm,12288,256,37486592,4000000,35720,1694776109,4081492,
lu,trsmswp,12288,256,37486592,4000000,1128,117068249,2834695,
lu,geswp,12288,256,37486592,4000000,47,67138661,664448,
lu,getrfpiv,12288,512,37486592,1000000,24,141135887,12118324,
lu,gemm,12288,512,37486592,1000000,4324,1468125560,6460368,
lu,trsmswp,12288,512,37486592,1000000,276,200094674,2431670,
lu,geswp,12288,512,37486592,1000000,23,144460498,976951,
lu,getrfpiv,12288,512,37486592,4000000,24,139556900,12126500,
lu,gemm,12288,512,37486592,4000000,4324,1444529999,8057749,
lu,trsmswp,12288,512,37486592,4000000,276,199308912,3198876,
lu,geswp,12288,512,37486592,4000000,23,144680322,743220,
lu,getrfpiv,12288,1024,37486592,1000000,12,195660987,11035388,
lu,gemm,12288,1024,37486592,1000000,506,1059811761,6534451,
lu,trsmswp,12288,1024,37486592,1000000,66,221160833,2249927,
lu,geswp,12288,1024,37486592,1000000,11,138104289,998470,
lu,getrfpiv,12288,1024,37486592,4000000,12,192979708,11024529,
lu,gemm,12288,1024,37486592,4000000,506,1050605476,7948428,
lu,trsmswp,12288,1024,37486592,4000000,66,219568725,3434678,
lu,geswp,12288,1024,37486592,4000000,11,138119303,1162811,
lu,getrfpiv,12288,2048,37486592,1000000,6,249666069,23018528,
lu,gemm,12288,2048,37486592,1000000,55,829015896,1508453,
lu,trsmswp,12288,2048,37486592,1000000,15,248225525,1858981,
lu,geswp,12288,2048,37486592,1000000,5,125570807,2001629,
lu,getrfpiv,12288,2048,37486592,4000000,6,246315719,23085390,
lu,gemm,12288,2048,37486592,4000000,55,837924232,2035394,
lu,trsmswp,12288,2048,37486592,4000000,15,247595690,7063707,
lu,geswp,12288,2048,37486592,4000000,5,125533883,6475602,
lu,getrfpiv,14336,256,37486592,1000000,56,160552126,15359373,
lu,gemm,14336,256,37486592,1000000,56980,2708156590,5082470,
lu,trsmswp,14336,256,37486592,1000000,1540,160815534,4393790,
lu,geswp,14336,256,37486592,1000000,55,94003738,1096939,
lu,getrfpiv,14336,256,37486592,4000000,56,158399501,15077641,
lu,gemm,14336,256,37486592,4000000,56980,2705857879,6384634,
lu,trsmswp,14336,256,37486592,4000000,1540,161118858,3947093,
lu,geswp,14336,256,37486592,4000000,55,93880198,982478,
lu,getrfpiv,14336,512,37486592,1000000,28,186835246,16519264,
lu,gemm,14336,512,37486592,1000000,6930,2356125230,10586279,
lu,trsmswp,14336,512,37486592,1000000,378,274371177,3383905,
lu,geswp,14336,512,37486592,1000000,27,197993420,1399433,
lu,getrfpiv,14336,512,37486592,4000000,28,183824930,16452135,
lu,gemm,14336,512,37486592,4000000,6930,2314752491,13006065,
lu,trsmswp,14336,512,37486592,4000000,378,273212006,4429135,
lu,geswp,14336,512,37486592,4000000,27,198324789,1050871,
lu,getrfpiv,14336,1024,37486592,1000000,14,252501402,14884952,
lu,gemm,14336,1024,37486592,1000000,819,1716547263,10577169,
lu,trsmswp,14336,1024,37486592,1000000,91,304889701,3116744,
lu,geswp,14336,1024,37486592,1000000,13,190543925,1372116,
lu,getrfpiv,14336,1024,37486592,4000000,14,249775254,14949670,
lu,gemm,14336,1024,37486592,4000000,819,1695713094,12857657,
lu,trsmswp,14336,1024,37486592,4000000,91,302487954,4752053,
lu,geswp,14336,1024,37486592,4000000,13,190601968,1600504,
lu,getrfpiv,14336,2048,37486592,1000000,7,313867369,30783336,
lu,gemm,14336,2048,37486592,1000000,91,1393572273,2418107,
lu,trsmswp,14336,2048,37486592,1000000,21,346453942,2522253,
lu,geswp,14336,2048,37486592,1000000,6,175886663,2617231,
lu,getrfpiv,14336,2048,37486592,4000000,7,310688332,30963242,
lu,gemm,14336,2048,37486592,4000000,91,1391435396,3328335,
lu,trsmswp,14336,2048,37486592,4000000,21,345213239,9689999,
lu,geswp,14336,2048,37486592,4000000,6,175848220,8775159,
lu,getrfpiv,16384,256,37486592,1000000,64,233840039,20204319,
lu,gemm,16384,256,37486592,1000000,85344,4057892863,7326422,
lu,trsmswp,16384,256,37486592,1000000,2016,211505392,5837725,
lu,geswp,16384,256,37486592,1000000,63,125428730,1546800,
lu,getrfpiv,16384,256,37486592,4000000,64,230078835,19789804,
lu,gemm,16384,256,37486592,4000000,85344,4043432428,9419540,
lu,trsmswp,16384,256,37486592,4000000,2016,211444373,5193952,
lu,geswp,16384,256,37486592,4000000,63,125282396,1405834,
lu,getrfpiv,16384,512,37486592,1000000,32,273552109,21563170,
