algorithm,task,matrix_size,tile_size,l3_cache_size,frequency,weight,PAPI_L3_TCM,PAPI_TOT_INS,PAPI_TOT_CYC,PAPI_RES_STL,
cholesky,potrf,8192,512,37486592,1000000,16,804072,267298437,95940714,23090770,
cholesky,trsm,8192,512,37486592,1000000,120,6807627,4826041325,2004674487,688259169,
cholesky,syrk,8192,512,37486592,1000000,120,11399317,2121781297,726115678,170147581,
cholesky,gemm,8192,512,37486592,1000000,560,49864732,17538804982,5636317879,1100129177,
cholesky,potrf,8192,512,37486592,4000000,16,825037,267298466,100742688,27012324,
cholesky,trsm,8192,512,37486592,4000000,120,6982250,4826045430,2048325058,718832785,
cholesky,syrk,8192,512,37486592,4000000,120,11317356,2121781316,766947560,210789888,
cholesky,gemm,8192,512,37486592,4000000,560,47651444,17538808126,5736858420,1198229561,
cholesky,potrf,8192,1024,37486592,1000000,8,1757651,736205409,273495965,73950301,
cholesky,trsm,8192,1024,37486592,1000000,28,8126501,6253273823,2447810172,771054079,
cholesky,syrk,8192,1024,37486592,1000000,28,12506377,3650874550,1155849472,218639904,
cholesky,gemm,8192,1024,37486592,1000000,56,32026526,13685531854,4174169763,688298152,
cholesky,potrf,8192,1024,37486592,4000000,8,1700006,736205340,281179508,80898331,
cholesky,trsm,8192,1024,37486592,4000000,28,8416813,6253273210,2486715668,800562824,
cholesky,syrk,8192,1024,37486592,4000000,28,12037531,3650873006,1199708053,263007050,
cholesky,gemm,8192,1024,37486592,4000000,56,32630470,13685529943,4252700817,767704446,
cholesky,potrf,8192,2048,37486592,1000000,4,3643453,2193115732,823058143,235568364,
cholesky,trsm,8192,2048,37486592,1000000,6,13293942,8253707150,2972015438,803501973,
cholesky,syrk,8192,2048,37486592,1000000,6,14795959,5997669413,1840186583,312829790,
cholesky,gemm,8192,2048,37486592,1000000,4,17481318,7729465253,2320201431,359785072,
cholesky,potrf,8192,2048,37486592,4000000,4,3624134,2193115583,840019822,253220111,
cholesky,trsm,8192,2048,37486592,4000000,6,13119438,8253706911,3010263806,841787627,
cholesky,syrk,8192,2048,37486592,4000000,6,14721212,5997669163,1898260398,370648480,
cholesky,gemm,8192,2048,37486592,4000000,4,18197169,7729464996,2363563809,402161831,
cholesky,potrf,10240,512,37486592,1000000,20,1062853,334118079,120567986,29318176,
cholesky,trsm,10240,512,37486592,1000000,190,11545275,7641230222,3179076715,1095182201,
cholesky,syrk,10240,512,37486592,1000000,190,19247513,3359487178,1150373318,270046229,
cholesky,gemm,10240,512,37486592,1000000,1140,105464665,35703973592,11474405233,2240639725,
cholesky,potrf,10240,512,37486592,4000000,20,1034728,334117979,126160949,33783598,
cholesky,trsm,10240,512,37486592,4000000,190,11441881,7641227394,3250704634,1138357832,
cholesky,syrk,10240,512,37486592,4000000,190,18969498,3359483511,1216722055,336973953,
cholesky,gemm,10240,512,37486592,4000000,1140,104695343,35703961131,11701748087,2467686392,
cholesky,potrf,10240,1024,37486592,1000000,10,2471992,920251628,341879999,91789268,
cholesky,trsm,10240,1024,37486592,1000000,45,13083770,10049905729,3945973145,1235511460,
cholesky,syrk,10240,1024,37486592,1000000,45,21167470,5867476568,1858141827,352093872,
cholesky,gemm,10240,1024,37486592,1000000,120,69961912,29326140604,8947233221,1478258510,
cholesky,potrf,10240,1024,37486592,4000000,10,2273848,920249336,349919721,101122679,
cholesky,trsm,10240,1024,37486592,4000000,45,13692975,10049905300,3977656737,1284804726,
cholesky,syrk,10240,1024,37486592,4000000,45,20343543,5867474006,1929737862,424207870,
cholesky,gemm,10240,1024,37486592,4000000,120,69582004,29326133878,9116716848,1647354881,
cholesky,potrf,10240,2048,37486592,1000000,5,4753376,2741389296,1028664134,294663414,
cholesky,trsm,10240,2048,37486592,1000000,10,22034831,13756179112,4950894369,1336529702,
cholesky,syrk,10240,2048,37486592,1000000,10,24747585,9996115274,3066772690,521697868,
cholesky,gemm,10240,2048,37486592,1000000,10,43671980,19323662672,5800815755,900633228,
cholesky,potrf,10240,2048,37486592,4000000,5,4609366,2741388988,1052671800,317251547,
cholesky,trsm,10240,2048,37486592,4000000,10,21761603,13756177880,5028727507,1404243244,
cholesky,syrk,10240,2048,37486592,4000000,10,23808797,9996115146,3164196613,618037285,
cholesky,gemm,10240,2048,37486592,4000000,10,43691416,19323661173,5906694501,1002977177,
cholesky,potrf,12288,512,37486592,1000000,24,1333456,400937562,143404186,34222407,
cholesky,trsm,12288,512,37486592,1000000,276,17093750,11099897346,4599451439,1575770742,
cholesky,syrk,12288,512,37486592,1000000,276,29589616,4880096286,1672360902,393568866,
cholesky,gemm,12288,512,37486592,1000000,2024,197406936,63390237494,20377091939,3983309717,
cholesky,potrf,12288,512,37486592,4000000,24,1287879,400937279,151502582,42297586,
cholesky,trsm,12288,512,37486592,4000000,276,17024285,11099890509,4712369502,1688699987,
cholesky,syrk,12288,512,37486592,4000000,276,28422915,4880095798,1771773588,494023704,
cholesky,gemm,12288,512,37486592,4000000,2024,197643427,63390193546,20817397593,4424632444,
cholesky,potrf,12288,1024,37486592,1000000,12,2795148,1104295146,408713210,109848036,
cholesky,trsm,12288,1024,37486592,1000000,66,21383228,14739859433,5763868554,1811057773,
cholesky,syrk,12288,1024,37486592,1000000,66,31532210,8605630548,2726453402,517538234,
cholesky,gemm,12288,1024,37486592,1000000,220,136176556,53764591257,16403758271,2708999260,
cholesky,potrf,12288,1024,37486592,4000000,12,2879915,1104296792,422253477,122095679,
cholesky,trsm,12288,1024,37486592,4000000,66,19421407,14739857622,5843916677,1879175082,
cholesky,syrk,12288,1024,37486592,4000000,66,32056197,8605630424,2836677212,628621672,
cholesky,gemm,12288,1024,37486592,4000000,220,129943004,53764591815,16710994206,3019017837,
cholesky,potrf,12288,2048,37486592,1000000,6,6069962,3289662702,1235197631,353703950,
cholesky,trsm,12288,2048,37486592,1000000,15,33794869,20634268023,7425659907,2003742232,
cholesky,syrk,12288,2048,37486592,1000000,15,38661841,14994173311,4600404168,781999882,
cholesky,gemm,12288,2048,37486592,1000000,20,89531878,38647324345,11603234104,1801150577,
cholesky,potrf,12288,2048,37486592,4000000,6,5734039,3289662628,1263768534,381242230,
cholesky,trsm,12288,2048,37486592,4000000,15,32658959,20634266211,7526924341,2103255038,
cholesky,syrk,12288,2048,37486592,4000000,15,36954117,14994172245,4747359123,928904298,
cholesky,gemm,12288,2048,37486592,4000000,20,87339051,38647320953,11812787661,2008685760,
cholesky,potrf,14336,512,37486592,1000000,28,1593192,467757057,167112550,39905031,
cholesky,trsm,14336,512,37486592,1000000,378,23359411,15202045507,6299109490,2157896859,
cholesky,syrk,14336,512,37486592,1000000,378,40623465,6683618071,2290830287,539317020,
cholesky,gemm,14336,512,37486592,1000000,3276,332056705,102602026259,32990208334,6456870914,
cholesky,potrf,14336,512,37486592,4000000,28,1569255,467757103,174558522,47440086,
cholesky,trsm,14336,512,37486592,4000000,378,23905747,15202037626,6400034261,2262691940,
cholesky,syrk,14336,512,37486592,4000000,378,40101039,6683609780,2428572689,678195563,
cholesky,gemm,14336,512,37486592,4000000,3276,331085791,102602008076,33729422640,7190859304,
cholesky,potrf,14336,1024,37486592,1000000,14,3462246,1288344064,477563846,128945883,
cholesky,trsm,14336,1024,37486592,1000000,91,29621770,20323137336,7949803812,2499198325,
cholesky,syrk,14336,1024,37486592,1000000,91,44052428,11865340139,3761344708,715539801,
cholesky,gemm,14336,1024,37486592,1000000,364,221454820,88955954646,27141877268,4482205237,
