algorithm,task,matrix_size,tile_size,l3_cache_size,frequency,weight,PAPI_L3_TCR,PAPI_L3_TCW,
cholesky,potrf,18432,512,37486592,1000000,36,5212715,91647,
cholesky,trsm,18432,512,37486592,1000000,630,124408282,2286444,
cholesky,syrk,18432,512,37486592,1000000,630,140862773,1920303,
cholesky,gemm,18432,512,37486592,1000000,7140,2358006413,2880264,
cholesky,potrf,18432,512,37486592,4000000,36,5102834,130950,
cholesky,trsm,18432,512,37486592,4000000,630,117543038,8049706,
cholesky,syrk,18432,512,37486592,4000000,630,137740091,3123649,
cholesky,gemm,18432,512,37486592,4000000,7140,2349672861,5075729,
cholesky,potrf,18432,1024,37486592,1000000,18,12417336,211836,
cholesky,trsm,18432,1024,37486592,1000000,153,189236060,2250400,
cholesky,syrk,18432,1024,37486592,1000000,153,196477911,1933243,
cholesky,gemm,18432,1024,37486592,1000000,816,1678699211,3796518,
cholesky,potrf,18432,1024,37486592,4000000,18,12062842,370199,
cholesky,trsm,18432,1024,37486592,4000000,153,182823606,6641197,
cholesky,syrk,18432,1024,37486592,4000000,153,191971268,5598379,
cholesky,gemm,18432,1024,37486592,4000000,816,1674081377,7820335,
cholesky,potrf,18432,2048,37486592,1000000,9,32197326,338884,
cholesky,trsm,18432,2048,37486592,1000000,36,290646170,1748523,
cholesky,syrk,18432,2048,37486592,1000000,36,319622937,1920089,
cholesky,gemm,18432,2048,37486592,1000000,84,1274689269,1338923,
cholesky,potrf,18432,2048,37486592,4000000,9,31715843,732976,
cholesky,trsm,18432,2048,37486592,4000000,36,286046270,5030259,
cholesky,syrk,18432,2048,37486592,4000000,36,316703015,4658978,
cholesky,gemm,18432,2048,37486592,4000000,84,1267895718,2568652,
cholesky,potrf,20480,512,37486592,1000000,40,5700721,98315,
cholesky,trsm,20480,512,37486592,1000000,780,153961489,2848009,
cholesky,syrk,20480,512,37486592,1000000,780,174539132,2494920,
cholesky,gemm,20480,512,37486592,1000000,9880,3269038635,4900034,
cholesky,potrf,20480,512,37486592,4000000,40,5654247,142281,
cholesky,trsm,20480,512,37486592,4000000,780,145855372,9892727,
cholesky,syrk,20480,512,37486592,4000000,780,170892283,4034303,
cholesky,gemm,20480,512,37486592,4000000,9880,3262306844,9201640,
cholesky,potrf,20480,1024,37486592,1000000,20,13752312,227883,
cholesky,trsm,20480,1024,37486592,1000000,190,234817982,2716526,
cholesky,syrk,20480,1024,37486592,1000000,190,244650414,2412971,
cholesky,gemm,20480,1024,37486592,1000000,1140,2350353717,5114579,
cholesky,potrf,20480,1024,37486592,4000000,20,13365439,409403,
cholesky,trsm,20480,1024,37486592,4000000,190,227930644,8073708,
cholesky,syrk,20480,1024,37486592,4000000,190,238876658,7036545,
