algorithm,matrix_size,tile_size,threads,case,task,PKG1,PKG2,DRAM1,DRAM2,time
cholesky,12288,512,48,1,potrf,98153740,82873628,9597858,5624249,0.597000
cholesky,12288,512,48,1,gemm,98153740,82873628,9597858,5624249,0.597000
cholesky,12288,512,48,1,trsm,98153740,82873628,9597858,5624249,0.597000
cholesky,12288,512,48,1,syrk,98153740,82873628,9597858,5624249,0.597000
cholesky,12288,512,48,2,potrf,101245591,86564903,9430828,6089920,0.609600
cholesky,12288,512,48,2,gemm,101245591,86564903,9430828,6089920,0.609600
cholesky,12288,512,48,2,trsm,101245591,86564903,9430828,6089920,0.609600
cholesky,12288,512,48,2,syrk,101245591,86564903,9430828,6089920,0.609600
cholesky,12288,512,48,3,potrf,80955603,66321302,11118387,6783438,0.735600
cholesky,12288,512,48,3,gemm,80955603,66321302,11118387,6783438,0.735600
cholesky,12288,512,48,3,trsm,80955603,66321302,11118387,6783438,0.735600
cholesky,12288,512,48,3,syrk,80955603,66321302,11118387,6783438,0.735600
cholesky,12288,512,48,4,potrf,82102878,68284372,11494462,6986989,0.773900
cholesky,12288,512,48,4,gemm,82102878,68284372,11494462,6986989,0.773900
cholesky,12288,512,48,4,trsm,82102878,68284372,11494462,6986989,0.773900
cholesky,12288,512,48,4,syrk,82102878,68284372,11494462,6986989,0.773900
cholesky,12288,512,48,5,potrf,112549273,95851256,10863994,7009083,0.758300
cholesky,12288,512,48,5,gemm,112549273,95851256,10863994,7009083,0.758300
cholesky,12288,512,48,5,trsm,112549273,95851256,10863994,7009083,0.758300
cholesky,12288,512,48,5,syrk,112549273,95851256,10863994,7009083,0.758300
cholesky,12288,512,48,6,potrf,113114090,98339959,10729615,7384392,0.776900
cholesky,12288,512,48,6,gemm,113114090,98339959,10729615,7384392,0.776900
cholesky,12288,512,48,6,trsm,113114090,98339959,10729615,7384392,0.776900
cholesky,12288,512,48,6,syrk,113114090,98339959,10729615,7384392,0.776900
cholesky,12288,512,48,7,potrf,89011125,72987240,12441868,7983892,0.902900
cholesky,12288,512,48,7,gemm,89011125,72987240,12441868,7983892,0.902900
cholesky,12288,512,48,7,trsm,89011125,72987240,12441868,7983892,0.902900
cholesky,12288,512,48,7,syrk,89011125,72987240,12441868,7983892,0.902900
cholesky,12288,512,48,8,potrf,87298909,73506342,12395601,8165044,0.912600
cholesky,12288,512,48,8,gemm,87298909,73506342,12395601,8165044,0.912600
cholesky,12288,512,48,8,trsm,87298909,73506342,12395601,8165044,0.912600
cholesky,12288,512,48,8,syrk,87298909,73506342,12395601,8165044,0.912600
cholesky,12288,512,48,9,potrf,98152031,82273654,9765914,5930999,0.624500
cholesky,12288,512,48,9,gemm,98152031,82273654,9765914,5930999,0.624500
cholesky,12288,512,48,9,trsm,98152031,82273654,9765914,5930999,0.624500
cholesky,12288,512,48,9,syrk,98152031,82273654,9765914,5930999,0.624500
cholesky,12288,512,48,10,potrf,101863509,86169640,10105207,6213911,0.677500
cholesky,12288,512,48,10,gemm,101863509,86169640,10105207,6213911,0.677500
cholesky,12288,512,48,10,trsm,101863509,86169640,10105207,6213911,0.677500
cholesky,12288,512,48,10,syrk,101863509,86169640,10105207,6213911,0.677500
cholesky,12288,512,48,11,potrf,80200844,64577044,11274295,7012433,0.758800
cholesky,12288,512,48,11,gemm,80200844,64577044,11274295,7012433,0.758800
cholesky,12288,512,48,11,trsm,80200844,64577044,11274295,7012433,0.758800
cholesky,12288,512,48,11,syrk,80200844,64577044,11274295,7012433,0.758800
cholesky,12288,512,48,12,potrf,81018835,64220050,11390238,6886132,0.768300
cholesky,12288,512,48,12,gemm,81018835,64220050,11390238,6886132,0.768300
cholesky,12288,512,48,12,trsm,81018835,64220050,11390238,6886132,0.768300
cholesky,12288,512,48,12,syrk,81018835,64220050,11390238,6886132,0.768300
cholesky,12288,512,48,13,potrf,108575039,93230901,10906804,7435830,0.787400
cholesky,12288,512,48,13,gemm,108575039,93230901,10906804,7435830,0.787400
cholesky,12288,512,48,13,trsm,108575039,93230901,10906804,7435830,0.787400
cholesky,12288,512,48,13,syrk,108575039,93230901,10906804,7435830,0.787400
cholesky,12288,512,48,14,potrf,112072101,97585138,11131714,8136984,0.836900
cholesky,12288,512,48,14,gemm,112072101,97585138,11131714,8136984,0.836900
cholesky,12288,512,48,14,trsm,112072101,97585138,11131714,8136984,0.836900
cholesky,12288,512,48,14,syrk,112072101,97585138,11131714,8136984,0.836900
cholesky,12288,512,48,15,potrf,87566060,71894714,12816366,8333099,0.946500
cholesky,12288,512,48,15,gemm,87566060,71894714,12816366,8333099,0.946500
cholesky,12288,512,48,15,trsm,87566060,71894714,12816366,8333099,0.946500
cholesky,12288,512,48,15,syrk,87566060,71894714,12816366,8333099,0.946500
cholesky,12288,512,48,16,potrf,88440631,73849115,12868004,8890677,0.985200
cholesky,12288,512,48,16,gemm,88440631,73849115,12868004,8890677,0.985200
cholesky,12288,512,48,16,trsm,88440631,73849115,12868004,8890677,0.985200
cholesky,12288,512,48,16,syrk,88440631,73849115,12868004,8890677,0.985200
cholesky,12288,1024,48,1,potrf,139803170,128040565,11194887,9370470,0.934800
cholesky,12288,1024,48,1,gemm,139803170,128040565,11194887,9370470,0.934800
cholesky,12288,1024,48,1,trsm,139803170,128040565,11194887,9370470,0.934800
cholesky,12288,1024,48,1,syrk,139803170,128040565,11194887,9370470,0.934800
cholesky,12288,1024,48,2,potrf,160918229,152661536,12098612,11247856,1.113000
cholesky,12288,1024,48,2,gemm,160918229,152661536,12098612,11247856,1.113000
cholesky,12288,1024,48,2,trsm,160918229,152661536,12098612,11247856,1.113000
cholesky,12288,1024,48,2,syrk,160918229,152661536,12098612,11247856,1.113000
cholesky,12288,1024,48,3,potrf,130620943,126194562,13983925,12990587,1.330400
cholesky,12288,1024,48,3,gemm,130620943,126194562,13983925,12990587,1.330400
cholesky,12288,1024,48,3,trsm,130620943,126194562,13983925,12990587,1.330400
cholesky,12288,1024,48,3,syrk,130620943,126194562,13983925,12990587,1.330400
cholesky,12288,1024,48,4,potrf,129860141,127130473,14685322,13028791,1.384600
cholesky,12288,1024,48,4,gemm,129860141,127130473,14685322,13028791,1.384600
cholesky,12288,1024,48,4,trsm,129860141,127130473,14685322,13028791,1.384600
cholesky,12288,1024,48,4,syrk,129860141,127130473,14685322,13028791,1.384600
cholesky,12288,1024,48,5,potrf,194630056,178080843,15467566,14871218,1.546900
cholesky,12288,1024,48,5,gemm,194630056,178080843,15467566,14871218,1.546900
cholesky,12288,1024,48,5,trsm,194630056,178080843,15467566,14871218,1.546900
cholesky,12288,1024,48,5,syrk,194630056,178080843,15467566,14871218,1.546900
cholesky,12288,1024,48,6,potrf,222094097,195220264,16271137,16469272,1.697700
cholesky,12288,1024,48,6,gemm,222094097,195220264,16271137,16469272,1.697700
cholesky,12288,1024,48,6,trsm,222094097,195220264,16271137,16469272,1.697700
cholesky,12288,1024,48,6,syrk,222094097,195220264,16271137,16469272,1.697700
cholesky,12288,1024,48,7,potrf,169790581,142723512,18097177,17345182,1.885900
cholesky,12288,1024,48,7,gemm,169790581,142723512,18097177,17345182,1.885900
cholesky,12288,1024,48,7,trsm,169790581,142723512,18097177,17345182,1.885900
cholesky,12288,1024,48,7,syrk,169790581,142723512,18097177,17345182,1.885900
cholesky,12288,1024,48,8,potrf,163877999,148470872,18869200,18039190,1.973000
cholesky,12288,1024,48,8,gemm,163877999,148470872,18869200,18039190,1.973000
cholesky,12288,1024,48,8,trsm,163877999,148470872,18869200,18039190,1.973000
cholesky,12288,1024,48,8,syrk,163877999,148470872,18869200,18039190,1.973000
cholesky,12288,1024,48,9,potrf,149018967,132714382,12495021,10736056,1.105000
cholesky,12288,1024,48,9,gemm,149018967,132714382,12495021,10736056,1.105000
cholesky,12288,1024,48,9,trsm,149018967,132714382,12495021,10736056,1.105000
cholesky,12288,1024,48,9,syrk,149018967,132714382,12495021,10736056,1.105000
cholesky,12288,1024,48,10,potrf,170531057,160325883,14166117,13260908,1.382200
cholesky,12288,1024,48,10,gemm,170531057,160325883,14166117,13260908,1.382200
cholesky,12288,1024,48,10,trsm,170531057,160325883,14166117,13260908,1.382200
cholesky,12288,1024,48,10,syrk,170531057,160325883,14166117,13260908,1.382200
cholesky,12288,1024,48,11,potrf,124800034,112529924,14987252,12751494,1.373400
cholesky,12288,1024,48,11,gemm,124800034,112529924,14987252,12751494,1.373400
cholesky,12288,1024,48,11,trsm,124800034,112529924,14987252,12751494,1.373400
cholesky,12288,1024,48,11,syrk,124800034,112529924,14987252,12751494,1.373400
cholesky,12288,1024,48,12,potrf,126432233,115094798,15427112,13390697,1.442600
cholesky,12288,1024,48,12,gemm,126432233,115094798,15427112,13390697,1.442600
cholesky,12288,1024,48,12,trsm,126432233,115094798,15427112,13390697,1.442600
cholesky,12288,1024,48,12,syrk,126432233,115094798,15427112,13390697,1.442600
cholesky,12288,1024,48,13,potrf,193325799,180514186,16830444,16033391,1.715600
cholesky,12288,1024,48,13,gemm,193325799,180514186,16830444,16033391,1.715600
cholesky,12288,1024,48,13,trsm,193325799,180514186,16830444,16033391,1.715600
cholesky,12288,1024,48,13,syrk,193325799,180514186,16830444,16033391,1.715600
cholesky,12288,1024,48,14,potrf,197536909,184586807,18074104,17510835,1.879300
cholesky,12288,1024,48,14,gemm,197536909,184586807,18074104,17510835,1.879300
cholesky,12288,1024,48,14,trsm,197536909,184586807,18074104,17510835,1.879300
cholesky,12288,1024,48,14,syrk,197536909,184586807,18074104,17510835,1.879300
cholesky,12288,1024,48,15,potrf,152048012,130508699,18750318,17666741,1.941100
cholesky,12288,1024,48,15,gemm,152048012,130508699,18750318,17666741,1.941100
cholesky,12288,1024,48,15,trsm,152048012,130508699,18750318,17666741,1.941100
cholesky,12288,1024,48,15,syrk,152048012,130508699,18750318,17666741,1.941100
cholesky,12288,1024,48,16,potrf,150379376,132248624,19407790,17935517,2.012400
cholesky,12288,1024,48,16,gemm,150379376,132248624,19407790,17935517,2.012400
cholesky,12288,1024,48,16,trsm,150379376,132248624,19407790,17935517,2.012400
cholesky,12288,1024,48,16,syrk,150379376,132248624,19407790,17935517,2.012400
cholesky,12288,2048,48,1,potrf,258026805,367358435,28849649,30792015,3.513700
cholesky,12288,2048,48,1,gemm,258026805,367358435,28849649,30792015,3.513700
cholesky,12288,2048,48,1,trsm,258026805,367358435,28849649,30792015,3.513700
cholesky,12288,2048,48,1,syrk,258026805,367358435,28849649,30792015,3.513700
cholesky,12288,2048,48,2,potrf,353662303,403830082,27977091,31229472,3.387700
cholesky,12288,2048,48,2,gemm,353662303,403830082,27977091,31229472,3.387700
cholesky,12288,2048,48,2,trsm,353662303,403830082,27977091,31229472,3.387700
cholesky,12288,2048,48,2,syrk,353662303,403830082,27977091,31229472,3.387700
cholesky,12288,2048,48,3,potrf,381707091,415491368,32715607,37184753,4.064200
cholesky,12288,2048,48,3,gemm,381707091,415491368,32715607,37184753,4.064200
cholesky,12288,2048,48,3,trsm,381707091,415491368,32715607,37184753,4.064200
cholesky,12288,2048,48,3,syrk,381707091,415491368,32715607,37184753,4.064200
cholesky,12288,2048,48,4,potrf,392262790,391296423,34938238,38957075,4.355400
cholesky,12288,2048,48,4,gemm,392262790,391296423,34938238,38957075,4.355400
cholesky,12288,2048,48,4,trsm,392262790,391296423,34938238,38957075,4.355400
cholesky,12288,2048,48,4,syrk,392262790,391296423,34938238,38957075,4.355400
cholesky,12288,2048,48,5,potrf,411371323,455515435,36635560,41256205,4.637600
cholesky,12288,2048,48,5,gemm,411371323,455515435,36635560,41256205,4.637600
cholesky,12288,2048,48,5,trsm,411371323,455515435,36635560,41256205,4.637600
cholesky,12288,2048,48,5,syrk,411371323,455515435,36635560,41256205,4.637600
cholesky,12288,2048,48,6,potrf,473278574,446315752,36939922,41902677,4.656500
cholesky,12288,2048,48,6,gemm,473278574,446315752,36939922,41902677,4.656500
cholesky,12288,2048,48,6,trsm,473278574,446315752,36939922,41902677,4.656500
cholesky,12288,2048,48,6,syrk,473278574,446315752,36939922,41902677,4.656500
cholesky,12288,2048,48,7,potrf,511718416,468182151,44904261,51446678,5.750100
cholesky,12288,2048,48,7,gemm,511718416,468182151,44904261,51446678,5.750100
cholesky,12288,2048,48,7,trsm,511718416,468182151,44904261,51446678,5.750100
cholesky,12288,2048,48,7,syrk,511718416,468182151,44904261,51446678,5.750100
cholesky,12288,2048,48,8,potrf,506248154,462934545,50538990,58297284,6.544300
cholesky,12288,2048,48,8,gemm,506248154,462934545,50538990,58297284,6.544300
cholesky,12288,2048,48,8,trsm,506248154,462934545,50538990,58297284,6.544300
cholesky,12288,2048,48,8,syrk,506248154,462934545,50538990,58297284,6.544300
cholesky,12288,2048,48,9,potrf,325958821,362235340,31758363,33809542,3.829400
cholesky,12288,2048,48,9,gemm,325958821,362235340,31758363,33809542,3.829400
cholesky,12288,2048,48,9,trsm,325958821,362235340,31758363,33809542,3.829400
cholesky,12288,2048,48,9,syrk,325958821,362235340,31758363,33809542,3.829400
cholesky,12288,2048,48,10,potrf,369118257,410365100,33460105,37411192,4.129800
cholesky,12288,2048,48,10,gemm,369118257,410365100,33460105,37411192,4.129800
cholesky,12288,2048,48,10,trsm,369118257,410365100,33460105,37411192,4.129800
cholesky,12288,2048,48,10,syrk,369118257,410365100,33460105,37411192,4.129800
cholesky,12288,2048,48,11,potrf,356010868,370212798,36367151,40113969,4.476400
cholesky,12288,2048,48,11,gemm,356010868,370212798,36367151,40113969,4.476400
cholesky,12288,2048,48,11,trsm,356010868,370212798,36367151,40113969,4.476400
cholesky,12288,2048,48,11,syrk,356010868,370212798,36367151,40113969,4.476400
cholesky,12288,2048,48,12,potrf,369584198,330420357,36522507,39831821,4.506900
cholesky,12288,2048,48,12,gemm,369584198,330420357,36522507,39831821,4.506900
cholesky,12288,2048,48,12,trsm,369584198,330420357,36522507,39831821,4.506900
cholesky,12288,2048,48,12,syrk,369584198,330420357,36522507,39831821,4.506900
cholesky,12288,2048,48,13,potrf,407165217,449185617,40677743,45788432,5.154500
cholesky,12288,2048,48,13,gemm,407165217,449185617,40677743,45788432,5.154500
cholesky,12288,2048,48,13,trsm,407165217,449185617,40677743,45788432,5.154500
cholesky,12288,2048,48,13,syrk,407165217,449185617,40677743,45788432,5.154500
cholesky,12288,2048,48,14,potrf,458486559,432071099,42021466,48397113,5.406200
cholesky,12288,2048,48,14,gemm,458486559,432071099,42021466,48397113,5.406200
cholesky,12288,2048,48,14,trsm,458486559,432071099,42021466,48397113,5.406200
cholesky,12288,2048,48,14,syrk,458486559,432071099,42021466,48397113,5.406200
cholesky,12288,2048,48,15,potrf,404808289,385321646,44857320,49889231,5.693700
cholesky,12288,2048,48,15,gemm,404808289,385321646,44857320,49889231,5.693700
cholesky,12288,2048,48,15,trsm,404808289,385321646,44857320,49889231,5.693700
cholesky,12288,2048,48,15,syrk,404808289,385321646,44857320,49889231,5.693700
cholesky,12288,2048,48,16,potrf,436584148,416289340,51467319,59091063,6.749900
cholesky,12288,2048,48,16,gemm,436584148,416289340,51467319,59091063,6.749900
cholesky,12288,2048,48,16,trsm,436584148,416289340,51467319,59091063,6.749900
cholesky,12288,2048,48,16,syrk,436584148,416289340,51467319,59091063,6.749900
