algorithm,matrix_size,tile_size,threads,case,task,PKG1,PKG2,DRAM1,DRAM2,time
cholesky,8192,512,48,1,potrf,39104636,37086270,3629083,2557701,0.260200
cholesky,8192,512,48,1,gemm,39104636,37086270,3629083,2557701,0.260200
cholesky,8192,512,48,1,trsm,39104636,37086270,3629083,2557701,0.260200
cholesky,8192,512,48,1,syrk,39104636,37086270,3629083,2557701,0.260200
cholesky,8192,512,48,2,potrf,45487372,42732679,4140807,2971382,0.308500
cholesky,8192,512,48,2,gemm,45487372,42732679,4140807,2971382,0.308500
cholesky,8192,512,48,2,trsm,45487372,42732679,4140807,2971382,0.308500
cholesky,8192,512,48,2,syrk,45487372,42732679,4140807,2971382,0.308500
cholesky,8192,512,48,3,potrf,33397010,32649757,4535976,3279800,0.353100
cholesky,8192,512,48,3,gemm,33397010,32649757,4535976,3279800,0.353100
cholesky,8192,512,48,3,trsm,33397010,32649757,4535976,3279800,0.353100
cholesky,8192,512,48,3,syrk,33397010,32649757,4535976,3279800,0.353100
cholesky,8192,512,48,4,potrf,32618508,29950607,4391605,3240739,0.334100
cholesky,8192,512,48,4,gemm,32618508,29950607,4391605,3240739,0.334100
cholesky,8192,512,48,4,trsm,32618508,29950607,4391605,3240739,0.334100
cholesky,8192,512,48,4,syrk,32618508,29950607,4391605,3240739,0.334100
cholesky,8192,512,48,5,potrf,54375654,49851679,5074398,3853060,0.409800
cholesky,8192,512,48,5,gemm,54375654,49851679,5074398,3853060,0.409800
cholesky,8192,512,48,5,trsm,54375654,49851679,5074398,3853060,0.409800
cholesky,8192,512,48,5,syrk,54375654,49851679,5074398,3853060,0.409800
cholesky,8192,512,48,6,potrf,56752541,54867962,5398437,4330787,0.456600
cholesky,8192,512,48,6,gemm,56752541,54867962,5398437,4330787,0.456600
cholesky,8192,512,48,6,trsm,56752541,54867962,5398437,4330787,0.456600
cholesky,8192,512,48,6,syrk,56752541,54867962,5398437,4330787,0.456600
cholesky,8192,512,48,7,potrf,40110432,36200408,5516170,4371256,0.468900
cholesky,8192,512,48,7,gemm,40110432,36200408,5516170,4371256,0.468900
cholesky,8192,512,48,7,trsm,40110432,36200408,5516170,4371256,0.468900
cholesky,8192,512,48,7,syrk,40110432,36200408,5516170,4371256,0.468900
cholesky,8192,512,48,8,potrf,39585653,36542448,5571999,4446333,0.465200
cholesky,8192,512,48,8,gemm,39585653,36542448,5571999,4446333,0.465200
cholesky,8192,512,48,8,trsm,39585653,36542448,5571999,4446333,0.465200
cholesky,8192,512,48,8,syrk,39585653,36542448,5571999,4446333,0.465200
cholesky,8192,512,48,9,potrf,40961565,37890895,4022676,2976952,0.305300
cholesky,8192,512,48,9,gemm,40961565,37890895,4022676,2976952,0.305300
cholesky,8192,512,48,9,trsm,40961565,37890895,4022676,2976952,0.305300
cholesky,8192,512,48,9,syrk,40961565,37890895,4022676,2976952,0.305300
cholesky,8192,512,48,10,potrf,45189459,40626666,4347954,3252168,0.337500
cholesky,8192,512,48,10,gemm,45189459,40626666,4347954,3252168,0.337500
cholesky,8192,512,48,10,trsm,45189459,40626666,4347954,3252168,0.337500
cholesky,8192,512,48,10,syrk,45189459,40626666,4347954,3252168,0.337500
