algorithm,matrix_size,tile_size,threads,case,task,PKG1,PKG2,DRAM1,DRAM2,time
cholesky,8192,512,48,1,potrf,1570553,2009638,207116,179606,0.019400
cholesky,8192,512,48,1,gemm,1570553,2009638,207116,179606,0.019400
cholesky,8192,512,48,1,trsm,1570553,2009638,207116,179606,0.019400
cholesky,8192,512,48,1,syrk,1570553,2009638,207116,179606,0.019400
cholesky,8192,512,48,2,potrf,2152827,2314813,253230,228751,0.023200
cholesky,8192,512,48,2,gemm,2152827,2314813,253230,228751,0.023200
cholesky,8192,512,48,2,trsm,2152827,2314813,253230,228751,0.023200
cholesky,8192,512,48,2,syrk,2152827,2314813,253230,228751,0.023200
cholesky,8192,512,48,3,potrf,1690181,1720821,188740,152908,0.019800
cholesky,8192,512,48,3,gemm,1690181,1720821,188740,152908,0.019800
cholesky,8192,512,48,3,trsm,1690181,1720821,188740,152908,0.019800
cholesky,8192,512,48,3,syrk,1690181,1720821,188740,152908,0.019800
cholesky,8192,512,48,4,potrf,2193110,2460992,270091,242428,0.024900
cholesky,8192,512,48,4,gemm,2193110,2460992,270091,242428,0.024900
cholesky,8192,512,48,4,trsm,2193110,2460992,270091,242428,0.024900
cholesky,8192,512,48,4,syrk,2193110,2460992,270091,242428,0.024900
cholesky,8192,512,48,5,potrf,3994740,3584341,533235,445123,0.037200
cholesky,8192,512,48,5,gemm,3994740,3584341,533235,445123,0.037200
cholesky,8192,512,48,5,trsm,3994740,3584341,533235,445123,0.037200
cholesky,8192,512,48,5,syrk,3994740,3584341,533235,445123,0.037200
cholesky,8192,512,48,6,potrf,2794671,2487909,376410,350171,0.037100
cholesky,8192,512,48,6,gemm,2794671,2487909,376410,350171,0.037100
cholesky,8192,512,48,6,trsm,2794671,2487909,376410,350171,0.037100
cholesky,8192,512,48,6,syrk,2794671,2487909,376410,350171,0.037100
cholesky,8192,512,48,7,potrf,2788018,2471063,353599,314828,0.034300
cholesky,8192,512,48,7,gemm,2788018,2471063,353599,314828,0.034300
cholesky,8192,512,48,7,trsm,2788018,2471063,353599,314828,0.034300
cholesky,8192,512,48,7,syrk,2788018,2471063,353599,314828,0.034300
cholesky,8192,512,48,8,potrf,3145011,2920219,444863,424498,0.044300
cholesky,8192,512,48,8,gemm,3145011,2920219,444863,424498,0.044300
cholesky,8192,512,48,8,trsm,3145011,2920219,444863,424498,0.044300
cholesky,8192,512,48,8,syrk,3145011,2920219,444863,424498,0.044300
cholesky,8192,512,48,9,potrf,1882198,2005915,227909,192658,0.022100
cholesky,8192,512,48,9,gemm,1882198,2005915,227909,192658,0.022100
cholesky,8192,512,48,9,trsm,1882198,2005915,227909,192658,0.022100
cholesky,8192,512,48,9,syrk,1882198,2005915,227909,192658,0.022100
cholesky,8192,512,48,10,potrf,2055842,2434991,257667,235650,0.022800
cholesky,8192,512,48,10,gemm,2055842,2434991,257667,235650,0.022800
cholesky,8192,512,48,10,trsm,2055842,2434991,257667,235650,0.022800
cholesky,8192,512,48,10,syrk,2055842,2434991,257667,235650,0.022800
cholesky,8192,512,48,11,potrf,1764828,2364557,224084,198946,0.026100
cholesky,8192,512,48,11,gemm,1764828,2364557,224084,198946,0.026100
cholesky,8192,512,48,11,trsm,1764828,2364557,224084,198946,0.026100
cholesky,8192,512,48,11,syrk,1764828,2364557,224084,198946,0.026100
cholesky,8192,512,48,12,potrf,2812432,3137565,340088,271483,0.032400
cholesky,8192,512,48,12,gemm,2812432,3137565,340088,271483,0.032400
cholesky,8192,512,48,12,trsm,2812432,3137565,340088,271483,0.032400
cholesky,8192,512,48,12,syrk,2812432,3137565,340088,271483,0.032400
cholesky,8192,512,48,13,potrf,2870720,2567010,378216,337411,0.035400
cholesky,8192,512,48,13,gemm,2870720,2567010,378216,337411,0.035400
cholesky,8192,512,48,13,trsm,2870720,2567010,378216,337411,0.035400
cholesky,8192,512,48,13,syrk,2870720,2567010,378216,337411,0.035400
cholesky,8192,512,48,14,potrf,2586969,2594415,369036,358694,0.038600
cholesky,8192,512,48,14,gemm,2586969,2594415,369036,358694,0.038600
