algorithm,task,matrix_size,tile_size,l3_cache_size,frequency,weight,PAPI_L2_TCR,PAPI_L2_TCW,
qr,geqrt,22528,256,37486592,1000000,88,133325159,9866266,
qr,ormqr,22528,256,37486592,1000000,3828,850833089,955846288,
qr,tsmqr,22528,256,37486592,1000000,223300,24164216675,20096998760,
qr,tsqrt,22528,256,37486592,1000000,3828,9846741346,352460372,
qr,geqrt,22528,256,37486592,4000000,88,132880630,10698736,
qr,ormqr,22528,256,37486592,4000000,3828,840766317,940692038,
qr,tsmqr,22528,256,37486592,4000000,223300,23264468825,19294879627,
qr,tsqrt,22528,256,37486592,4000000,3828,9840410319,352272945,
qr,geqrt,22528,512,37486592,1000000,44,507487205,23196638,
qr,ormqr,22528,512,37486592,1000000,946,885494556,1023458832,
qr,tsmqr,22528,512,37486592,1000000,27434,21844377423,17558171235,
qr,tsqrt,22528,512,37486592,1000000,946,22968563859,338877415,
qr,geqrt,22528,512,37486592,4000000,44,519620603,21371618,
qr,ormqr,22528,512,37486592,4000000,946,863374675,1013923196,
qr,tsmqr,22528,512,37486592,4000000,27434,19757548483,15048029482,
qr,tsqrt,22528,512,37486592,4000000,946,23643445667,339965354,
qr,geqrt,22528,1024,37486592,1000000,22,2077406198,42934934,
qr,ormqr,22528,1024,37486592,1000000,231,1026599188,1049413554,
qr,tsmqr,22528,1024,37486592,1000000,3311,10542853952,8149456629,
qr,tsqrt,22528,1024,37486592,1000000,231,44088276470,241927768,
qr,geqrt,22528,1024,37486592,4000000,22,2184902755,41274080,
qr,ormqr,22528,1024,37486592,4000000,231,1010560181,1044048586,
qr,tsmqr,22528,1024,37486592,4000000,3311,11451060315,8972236148,
qr,tsqrt,22528,1024,37486592,4000000,231,47330727605,229844874,
qr,geqrt,22528,2048,37486592,1000000,11,9044921512,419844002,
qr,ormqr,22528,2048,37486592,1000000,55,1435626326,1088611090,
qr,tsmqr,22528,2048,37486592,1000000,385,8738077386,5832400883,
qr,tsqrt,22528,2048,37486592,1000000,55,88761881950,1219454050,
qr,geqrt,22528,2048,37486592,4000000,11,8832815411,322386598,
qr,ormqr,22528,2048,37486592,4000000,55,1290358468,796863408,
qr,tsmqr,22528,2048,37486592,4000000,385,8593619842,5738346012,
qr,tsqrt,22528,2048,37486592,4000000,55,83148476156,936924784,
qr,geqrt,24576,256,37486592,1000000,96,145378976,11105400,
qr,ormqr,24576,256,37486592,1000000,4560,1009634111,1135082823,
qr,tsmqr,24576,256,37486592,1000000,290320,30900858103,26130709021,
qr,tsqrt,24576,256,37486592,1000000,4560,11747016680,422221638,
qr,geqrt,24576,256,37486592,4000000,96,143623208,13184438,
qr,ormqr,24576,256,37486592,4000000,4560,1004090381,1121987476,
qr,tsmqr,24576,256,37486592,4000000,290320,29791327259,25180219806,
qr,tsqrt,24576,256,37486592,4000000,4560,11743259455,421561054,
qr,geqrt,24576,512,37486592,1000000,48,556278498,18686574,
qr,ormqr,24576,512,37486592,1000000,1128,1056515213,1215258558,
qr,tsmqr,24576,512,37486592,1000000,35720,28275368685,22811153026,
qr,tsqrt,24576,512,37486592,1000000,1128,27365979721,399499760,
qr,geqrt,24576,512,37486592,4000000,48,567362912,22848936,
qr,ormqr,24576,512,37486592,4000000,1128,1028516848,1213334064,
qr,tsmqr,24576,512,37486592,4000000,35720,25656063388,19618640756,
qr,tsqrt,24576,512,37486592,4000000,1128,28231210316,398363587,
qr,geqrt,24576,1024,37486592,1000000,24,2274276329,40765338,
qr,ormqr,24576,1024,37486592,1000000,276,1226942712,1249425330,
qr,tsmqr,24576,1024,37486592,1000000,4324,13823453040,10637019279,
qr,tsqrt,24576,1024,37486592,1000000,276,52709617878,299370196,
qr,geqrt,24576,1024,37486592,4000000,24,2373614224,39620524,
qr,ormqr,24576,1024,37486592,4000000,276,1203971897,1247003752,
qr,tsmqr,24576,1024,37486592,4000000,4324,13500407822,10166213248,
qr,tsqrt,24576,1024,37486592,4000000,276,56521967480,290013372,
qr,geqrt,24576,2048,37486592,1000000,12,9868850024,473888548,
qr,ormqr,24576,2048,37486592,1000000,66,1717065782,1318786822,
qr,tsmqr,24576,2048,37486592,1000000,506,11471916893,7747037696,
qr,tsqrt,24576,2048,37486592,1000000,66,106890232879,1475114702,
qr,geqrt,24576,2048,37486592,4000000,12,9622438159,372550284,
qr,ormqr,24576,2048,37486592,4000000,66,1725259611,1180357324,
qr,tsmqr,24576,2048,37486592,4000000,506,9970833164,6204490210,
qr,tsqrt,24576,2048,37486592,4000000,66,99812110755,1130406274,
