algorithm,task,matrix_size,tile_size,l3_cache_size,frequency,weight,PAPI_L3_TCM,PAPI_TOT_INS,PAPI_TOT_CYC,PAPI_RES_STL,PAPI_L2_TCR,PAPI_L2_TCW,PAPI_L3_TCR,PAPI_L3_TCW,PAPI_VEC_DP
qr,geqrt,8192,256,37486592,1000000,32,247964,562053739,346782830,138293674,48273473,4101060,586530,9849,249829991
qr,ormqr,8192,256,37486592,1000000,496,7006836,3609358905,1679667262,675113969,107360494,118274092,65641301,3289370,3189637120
qr,tsmqr,8192,256,37486592,1000000,10416,247032621,110252287437,39276694634,10380926012,1132887326,940989842,1688991984,105709356,111608960736
qr,tsqrt,8192,256,37486592,1000000,496,6854496,10397808027,6583527783,2488912787,1280123120,44776509,95524663,488291,6014392832
qr,geqrt,8192,256,37486592,4000000,32,246072,562052495,351244686,142462431,48455398,3654690,572043,9418,249829991
qr,ormqr,8192,256,37486592,4000000,496,7055553,3609357507,1776088194,777450261,109794735,121280316,66998309,3382610,3189637120
qr,tsmqr,8192,256,37486592,4000000,10416,245886255,110252362295,42153792630,13235733003,1079762181,909578356,1663216400,110678525,111608960736
qr,tsqrt,8192,256,37486592,4000000,496,6396584,10397804458,6844298348,2771799384,1273558657,45201246,96603678,469692,6014392832
qr,geqrt,8192,512,37486592,1000000,16,1020760,1584603263,1593385460,934815398,184819884,8147594,209853834,2764879,908367031
qr,ormqr,8192,512,37486592,1000000,120,5373928,6104052090,2680576891,1052357038,113611737,129183432,154727171,7136186,6116474880
qr,tsmqr,8192,512,37486592,1000000,1240,151211129,98601037038,33546277004,7995554852,999755647,793852606,1326950091,49002469,105379934320
qr,tsqrt,8192,512,37486592,1000000,120,9983173,15823675366,18131336127,11159172123,2878081801,43317596,3190676832,3437466,11235068160
qr,geqrt,8192,512,37486592,4000000,16,976350,1584602628,1833248372,1171465031,189069605,7480960,204231412,2949465,908367031
qr,ormqr,8192,512,37486592,4000000,120,4819638,6104052770,2867422095,1237574259,104630774,113517306,147664565,7923074,6116474880
qr,tsmqr,8192,512,37486592,4000000,1240,149359583,98601077993,34924891908,9391879956,971171807,764742636,1279941104,56649377,105379934320
qr,tsqrt,8192,512,37486592,4000000,120,9659742,15823669777,22625003694,15545505236,2973255479,41845974,3159376677,3479106,11235068160
qr,geqrt,8192,1024,37486592,1000000,8,2973417,5037024943,6648354321,4359230528,770519755,12057202,1125008974,15614854,3450180063
qr,ormqr,8192,1024,37486592,1000000,28,15813045,10659497124,4032734835,1267453752,126194716,125583564,184399495,6172958,11357782016
qr,tsmqr,8192,1024,37486592,1000000,140,132266266,86126810471,27316598729,5380393525,446496208,343360072,854809923,21800331,94654301560
qr,tsqrt,8192,1024,37486592,1000000,28,15777082,25606559521,34929800529,22910531208,5360114785,29862616,6400791074,7773785,20587828352
qr,geqrt,8192,1024,37486592,4000000,8,2954117,5037023797,8057188349,5736024034,800071260,14610524,1104716368,21687504,3450180063
qr,ormqr,8192,1024,37486592,4000000,28,15602930,10659496403,4347839877,1582612602,123994171,124627480,182845819,6497035,11357782016
qr,tsmqr,8192,1024,37486592,4000000,140,129370675,86126805701,28288057413,6338614073,487992128,373632725,853019742,25693489,94654301560
qr,tsqrt,8192,1024,37486592,4000000,28,15745616,25606553733,43939467117,31319759803,5746490788,29781320,6373784256,6194689,20587828352
qr,geqrt,8192,2048,37486592,1000000,4,282863165,17578069093,27055970310,18630187428,3321613481,146709584,4454846993,65369220,13432754291
qr,ormqr,8192,2048,37486592,1000000,6,67171407,17701528398,6190643131,1673246267,158928741,117650700,227169460,5015702,19426050048
qr,tsmqr,8192,2048,37486592,1000000,14,179220624,67862356921,21035547378,3847444961,321945824,211044304,616133232,8436390,75555537036
qr,tsqrt,8192,2048,37486592,1000000,6,1963572030,40585975917,62640813352,43352038792,9806687738,134050868,10976542290,13343968,34961602368
qr,geqrt,8192,2048,37486592,4000000,4,289386678,17578061610,35453131021,27088854248,3245341052,127711642,4405751594,94238071,13432754291
qr,ormqr,8192,2048,37486592,4000000,6,63971565,17701527204,7024162563,2505564610,161528884,115456420,231533944,7344623,19426050048
qr,tsmqr,8192,2048,37486592,4000000,14,171043711,67862352919,21431343524,4250865149,320084722,202880678,624507496,9417938,75555537036
qr,tsqrt,8192,2048,37486592,4000000,6,1952607523,40585966956,95238199624,75790057721,8995058483,102772727,10948850461,9578956,34961602368
qr,geqrt,10240,256,37486592,1000000,40,316176,702428317,435780312,174511900,60624779,4726488,700955,10402,312273471
qr,ormqr,10240,256,37486592,1000000,780,11224664,5676003963,2641113305,1059691444,174087616,193400943,107413289,5465401,5015961600
qr,tsmqr,10240,256,37486592,1000000,20540,529392038,217413891579,77603091144,20546871956,2242660644,1828104484,3344047607,214239592,220089098840
qr,tsqrt,10240,256,37486592,1000000,780,11311178,16351357162,10369413795,3950812216,2013163684,70864791,105825996,716793,9458117760
qr,geqrt,10240,256,37486592,4000000,40,316372,702427532,439275879,178257065,60530647,4743068,698088,10390,312273471
qr,ormqr,10240,256,37486592,4000000,780,11334219,5676000434,2763422009,1194811337,168147394,184375634,104556249,5821612,5015961600
qr,tsmqr,10240,256,37486592,4000000,20540,534792277,217413673258,83577186606,26520026409,2187367454,1808675937,3340632548,208691937,220089098840
qr,tsqrt,10240,256,37486592,4000000,780,11466464,16351383610,10649497472,4226816460,2001145147,70984685,99696473,616202,9458117760
qr,geqrt,10240,512,37486592,1000000,20,1313777,1980615629,1986721823,1165246362,230915554,10482118,265134124,3147869,1135444771
qr,ormqr,10240,512,37486592,1000000,190,7468222,9664745700,4165193561,1591989575,169473861,183780366,244665238,11365549,9684418560
qr,tsmqr,10240,512,37486592,1000000,2470,305844792,196406981649,66851083164,15938550600,1932863331,1584286506,2613983002,96126373,209910030460
qr,tsqrt,10240,512,37486592,1000000,190,16388624,25054152417,28794838589,17760130455,4592243226,68350610,5067940771,5956890,17788857920
qr,geqrt,10240,512,37486592,4000000,20,1358071,1980614732,2293634702,1466606710,237499814,8631244,255947059,4082474,1135444771
qr,ormqr,10240,512,37486592,4000000,190,7826504,9664744827,4639197379,2053018002,175413099,202136636,233543718,12188253,9684418560
qr,tsmqr,10240,512,37486592,4000000,2470,305608627,196406970067,69615797524,18798371310,1920083431,1524478378,2591546750,110423125,209910030460
qr,tsqrt,10240,512,37486592,4000000,190,15963430,25054149797,35946429395,24728559950,4713127465,66282662,5031958882,5473654,17788857920
qr,geqrt,10240,1024,37486592,1000000,10,4287174,6296142221,8303953778,5447239684,951212084,20752410,1413661293,16867836,4312711061
qr,ormqr,10240,1024,37486592,1000000,45,26622385,17131327377,6385662462,1946558104,204608557,201721610,296283665,9579867,18253578240
qr,tsmqr,10240,1024,37486592,1000000,285,264968310,175329567989,55753077011,11071029396,1017596313,796244436,1760330498,44273736,192689113890
qr,tsqrt,10240,1024,37486592,1000000,45,26786910,41153400335,55991311400,36680185909,8595513435,48580056,10285035346,11003487,33087581280
qr,geqrt,10240,1024,37486592,4000000,10,3798748,6296132831,10104527140,7207885980,992426169,17882012,1385437102,23529488,4312711061
qr,ormqr,10240,1024,37486592,4000000,45,25182739,17131325714,7068374386,2622503460,199311228,200664496,295834869,10743282,18253578240
qr,tsmqr,10240,1024,37486592,4000000,285,269898989,175329553188,56636642243,12036047164,895442780,665956770,1734468058,52015916,192689113890
qr,tsqrt,10240,1024,37486592,4000000,45,26335639,41153391432,70353636251,50357387973,9220811678,46742432,10246361876,9399973,33087581280
qr,geqrt,10240,2048,37486592,1000000,5,379870095,21972446164,33942635786,23406427259,4163352306,194050434,5575985600,75723716,16790928846
qr,ormqr,10240,2048,37486592,1000000,10,109947454,29502534768,10300996953,2779640711,265620507,193516410,370424831,8918689,32376750080
qr,tsmqr,10240,2048,37486592,1000000,30,357951160,145419328541,44962381495,8136183300,684497307,447734646,1263673319,18008978,161904722220
qr,tsqrt,10240,2048,37486592,1000000,10,3287695714,67643297312,104452320653,72292395958,16287094587,221960688,18289767516,22927856,58269337280
qr,geqrt,10240,2048,37486592,4000000,5,368232164,21972440418,44483869285,34025539596,4042325799,159290816,5508741463,116959177,16790928846
qr,ormqr,10240,2048,37486592,4000000,10,105602786,29502532520,11555257741,4048277289,268624685,191336790,367309998,13794568,32376750080
qr,tsmqr,10240,2048,37486592,4000000,30,356529781,145419319797,46483655908,9635615796,678498103,440866292,1258642764,19972415,161904722220
qr,tsqrt,10240,2048,37486592,4000000,10,3371505276,67643282151,158746120524,126670799824,14936448073,170877172,18251361006,15450511,58269337280
qr,geqrt,12288,256,37486592,1000000,48,397023,842803248,519812041,207226537,72654263,5818494,818377,11760,374716951
qr,ormqr,12288,256,37486592,1000000,1128,16201107,8208372383,3815059018,1524430065,251580117,280207164,150221591,7412182,7253852160
qr,tsmqr,12288,256,37486592,1000000,35720,982268686,378092824626,135280281710,36089184025,3903027183,3223055192,5852454138,370865613,382745015120
qr,tsqrt,12288,256,37486592,1000000,1128,15967893,23646600461,14753317994,5464691210,2908368594,103310771,101718619,875329,13677893376
qr,geqrt,12288,256,37486592,4000000,48,392540,842768534,525806935,212300936,72325205,6244192,826889,13303,374716951
qr,ormqr,12288,256,37486592,4000000,1128,16224373,8208366432,4040146369,1767805847,249400282,278153820,150088851,7686940,7253852160
qr,tsmqr,12288,256,37486592,4000000,35720,976652762,378092505041,144551931261,45446918965,3723974082,3070223482,5858377023,384493338,382745015120
qr,tsqrt,12288,256,37486592,4000000,1128,16047620,23646630390,15096137828,5816083490,2904679690,102538274,100295798,830375,13677893376
qr,geqrt,12288,512,37486592,1000000,24,1718281,2376627732,2389991708,1402376050,276584146,12892986,319656523,3792735,1362522511
qr,ormqr,12288,512,37486592,1000000,276,11261535,14039309985,6169642761,2424851647,260298068,298593952,345828373,15846861,14067892224
qr,tsmqr,12288,512,37486592,1000000,4324,540783491,343831465334,117110107193,28033856940,3208809421,2474634129,4609373092,169493371,367470029032
qr,tsqrt,12288,512,37486592,1000000,276,24608479,36394453973,41920122400,25866525284,6702500217,96988578,7384438540,7765537,25840656768
qr,geqrt,12288,512,37486592,4000000,24,1584854,2376608070,2758792392,1767911463,285742604,7926204,307726771,4368261,1362522511
qr,ormqr,12288,512,37486592,4000000,276,11322990,14039308672,6721656108,2966104524,254234070,294155806,338214007,18432656,14067892224
qr,tsmqr,12288,512,37486592,4000000,4324,538759317,343831469331,119795915065,30921996239,3332011637,2670427885,4442241731,194159099,367470029032
qr,tsqrt,12288,512,37486592,4000000,276,23962958,36394444101,52340309031,36047768961,6877631619,95932716,7333984524,8887073,25840656768
qr,geqrt,12288,1024,37486592,1000000,12,4689142,7555258930,9966139043,6534802292,1145017946,22074758,1693909424,18342275,5175242059
qr,ormqr,12288,1024,37486592,1000000,66,38339148,25125941599,9498215648,2982328863,298138868,297094216,423063338,14312425,26771914752
qr,tsmqr,12288,1024,37486592,1000000,506,469985736,311286897414,98649426557,19369550902,1794130877,1421843186,3027306999,78983849,342107689924
qr,tsqrt,12288,1024,37486592,1000000,66,38130797,60358322138,82486851065,53713666106,12665892621,72181536,15084319814,16652498,48528452544
qr,geqrt,12288,1024,37486592,4000000,12,5029813,7555257514,12102491773,8618621342,1189407899,21039270,1667241011,23822423,5175242059
qr,ormqr,12288,1024,37486592,4000000,66,38128385,25125939345,10420795350,3901349601,269068899,260073352,420622577,15298768,26771914752
qr,tsmqr,12288,1024,37486592,4000000,506,463270094,311286860998,101654212896,22383731046,1759000743,1363509004,3023008866,91625130,342107689924
qr,tsqrt,12288,1024,37486592,4000000,66,36907612,60358310375,103205512438,73885615681,13523647758,66746715,15027481420,13549879,48528452544
qr,geqrt,12288,2048,37486592,1000000,6,489244678,26366822945,40797391745,28169829459,4964096212,214323240,6677760517,103470672,20149103401
qr,ormqr,12288,2048,37486592,1000000,15,171604457,44253792796,15437911484,4161432503,397127085,293455152,544158679,13076049,48565125120
qr,tsmqr,12288,2048,37486592,1000000,55,679693304,266602096414,82499841613,14987544866,1102225848,691330512,2320344402,33013117,296825324070
qr,tsqrt,12288,2048,37486592,1000000,15,4773701432,101464945865,156468326298,108217985836,24247821952,334066520,27430708260,35312618,87404005920
qr,geqrt,12288,2048,37486592,4000000,6,438686209,26366816017,53355340075,40790882408,4835866883,190760646,6614881492,138405421,20149103401
qr,ormqr,12288,2048,37486592,4000000,15,161822189,44253789789,17718795382,6438455131,403714269,285045846,550383588,20351616,48565125120
qr,tsmqr,12288,2048,37486592,4000000,55,660531283,266602079253,85229392298,17668540051,1244654402,801673826,2305268598,36444406,296825324070
qr,tsqrt,12288,2048,37486592,4000000,15,4729796824,101464923067,235713092144,187551390587,22399842474,256893492,27366067868,24994247,87404005920
qr,geqrt,14336,256,37486592,1000000,56,469322,983177886,605690937,240878260,82593272,11137242,1018105,16212,437160431
qr,ormqr,14336,256,37486592,1000000,1540,22730254,11206464941,5208051218,2089308652,332997275,368110297,207389872,9461576,9903308800
qr,tsmqr,14336,256,37486592,1000000,56980,1693874519,603127803385,215640112964,57427386442,6136069637,5123600714,9376432008,589041727,610549019080
qr,tsqrt,14336,256,37486592,1000000,1540,22080910,32283491084,20129814937,7432149386,3974186482,140920748,114379948,1155158,18673719680
qr,geqrt,14336,256,37486592,4000000,56,467841,983177026,609764140,245390594,84731775,6811660,947228,15630,437160431
qr,ormqr,14336,256,37486592,4000000,1540,22277767,11206436445,5439461775,2340657474,340288399,377288416,201800330,10495910,9903308800
