algorithm,matrix_size,tile_size,threads,case,task,PKG1,PKG2,DRAM1,DRAM2,time
qr,8192,256,48,1,geqrt,157348596,168486446,9021508,16457093,1.074100
qr,8192,256,48,1,ormqr,157348596,168486446,9021508,16457093,1.074100
qr,8192,256,48,1,tsmqr,157348596,168486446,9021508,16457093,1.074100
qr,8192,256,48,1,tsqrt,157348596,168486446,9021508,16457093,1.074100
qr,8192,256,48,2,geqrt,158311485,170820424,8689635,17011381,1.106700
qr,8192,256,48,2,ormqr,158311485,170820424,8689635,17011381,1.106700
qr,8192,256,48,2,tsmqr,158311485,170820424,8689635,17011381,1.106700
qr,8192,256,48,2,tsqrt,158311485,170820424,8689635,17011381,1.106700
qr,8192,256,48,3,geqrt,157282557,168156003,8338102,15928341,1.002300
qr,8192,256,48,3,ormqr,157282557,168156003,8338102,15928341,1.002300
qr,8192,256,48,3,tsmqr,157282557,168156003,8338102,15928341,1.002300
qr,8192,256,48,3,tsqrt,157282557,168156003,8338102,15928341,1.002300
qr,8192,256,48,4,geqrt,157101588,163190134,8364020,15852070,0.991300
qr,8192,256,48,4,ormqr,157101588,163190134,8364020,15852070,0.991300
qr,8192,256,48,4,tsmqr,157101588,163190134,8364020,15852070,0.991300
qr,8192,256,48,4,tsqrt,157101588,163190134,8364020,15852070,0.991300
qr,8192,256,48,5,geqrt,131128693,139690743,11422016,19240301,1.308900
qr,8192,256,48,5,ormqr,131128693,139690743,11422016,19240301,1.308900
qr,8192,256,48,5,tsmqr,131128693,139690743,11422016,19240301,1.308900
qr,8192,256,48,5,tsqrt,131128693,139690743,11422016,19240301,1.308900
qr,8192,256,48,6,geqrt,125171493,133028346,10935369,18642469,1.230100
qr,8192,256,48,6,ormqr,125171493,133028346,10935369,18642469,1.230100
qr,8192,256,48,6,tsmqr,125171493,133028346,10935369,18642469,1.230100
qr,8192,256,48,6,tsqrt,125171493,133028346,10935369,18642469,1.230100
qr,8192,256,48,7,geqrt,122700919,133656702,9502662,19462809,1.240200
qr,8192,256,48,7,ormqr,122700919,133656702,9502662,19462809,1.240200
qr,8192,256,48,7,tsmqr,122700919,133656702,9502662,19462809,1.240200
qr,8192,256,48,7,tsqrt,122700919,133656702,9502662,19462809,1.240200
qr,8192,256,48,8,geqrt,122799552,130771516,10372559,18895286,1.225300
qr,8192,256,48,8,ormqr,122799552,130771516,10372559,18895286,1.225300
qr,8192,256,48,8,tsmqr,122799552,130771516,10372559,18895286,1.225300
qr,8192,256,48,8,tsqrt,122799552,130771516,10372559,18895286,1.225300
qr,8192,256,48,9,geqrt,176142860,186656993,11887611,17773627,1.310900
qr,8192,256,48,9,ormqr,176142860,186656993,11887611,17773627,1.310900
qr,8192,256,48,9,tsmqr,176142860,186656993,11887611,17773627,1.310900
qr,8192,256,48,9,tsqrt,176142860,186656993,11887611,17773627,1.310900
qr,8192,256,48,10,geqrt,218213003,217649468,13708219,21936314,1.736700
qr,8192,256,48,10,ormqr,218213003,217649468,13708219,21936314,1.736700
qr,8192,256,48,10,tsmqr,218213003,217649468,13708219,21936314,1.736700
qr,8192,256,48,10,tsqrt,218213003,217649468,13708219,21936314,1.736700
qr,8192,256,48,11,geqrt,243010364,247378212,15068129,24373145,1.994100
qr,8192,256,48,11,ormqr,243010364,247378212,15068129,24373145,1.994100
qr,8192,256,48,11,tsmqr,243010364,247378212,15068129,24373145,1.994100
qr,8192,256,48,11,tsqrt,243010364,247378212,15068129,24373145,1.994100
qr,8192,256,48,12,geqrt,178482026,184121233,12071700,19048240,1.429700
qr,8192,256,48,12,ormqr,178482026,184121233,12071700,19048240,1.429700
qr,8192,256,48,12,tsmqr,178482026,184121233,12071700,19048240,1.429700
qr,8192,256,48,12,tsqrt,178482026,184121233,12071700,19048240,1.429700
qr,8192,256,48,13,geqrt,134124596,143663939,11066796,21447830,1.471100
qr,8192,256,48,13,ormqr,134124596,143663939,11066796,21447830,1.471100
qr,8192,256,48,13,tsmqr,134124596,143663939,11066796,21447830,1.471100
qr,8192,256,48,13,tsqrt,134124596,143663939,11066796,21447830,1.471100
qr,8192,256,48,14,geqrt,162694957,167407897,15099723,25103307,2.012600
qr,8192,256,48,14,ormqr,162694957,167407897,15099723,25103307,2.012600
qr,8192,256,48,14,tsmqr,162694957,167407897,15099723,25103307,2.012600
qr,8192,256,48,14,tsqrt,162694957,167407897,15099723,25103307,2.012600
qr,8192,256,48,15,geqrt,141117070,148346177,13330370,21887889,1.621800
