algorithm,task,matrix_size,tile_size,l3_cache_size,frequency,weight,PAPI_L3_TCM,PAPI_TOT_INS,PAPI_TOT_CYC,PAPI_RES_STL,
qr,geqrt,8192,256,37486592,1000000,32,245358,562053590,349456513,140301190,
qr,ormqr,8192,256,37486592,1000000,496,7003465,3609359847,1658279053,654961295,
qr,tsmqr,8192,256,37486592,1000000,10416,244372901,110252341049,39328242861,10404913976,
qr,tsqrt,8192,256,37486592,1000000,496,6699002,10397804924,6606684135,2509800095,
qr,geqrt,8192,256,37486592,4000000,32,239959,562053262,351234758,142287418,
qr,ormqr,8192,256,37486592,4000000,496,7094460,3609357153,1779504613,780312771,
qr,tsmqr,8192,256,37486592,4000000,10416,246528187,110252278364,42294626330,13368083881,
qr,tsqrt,8192,256,37486592,4000000,496,6718993,10397791535,6779222468,2695503943,
qr,geqrt,8192,512,37486592,1000000,16,991450,1584590898,1597143296,937924673,
qr,ormqr,8192,512,37486592,1000000,120,4720888,6104053528,2677340081,1048534438,
qr,tsmqr,8192,512,37486592,1000000,1240,149858768,98601084427,32980285377,7489453488,
qr,tsqrt,8192,512,37486592,1000000,120,9917208,15823676011,18148189672,11170038450,
qr,geqrt,8192,512,37486592,4000000,16,1009186,1584602659,1829960945,1169269233,
qr,ormqr,8192,512,37486592,4000000,120,5988020,6104052929,2940800311,1307021777,
qr,tsmqr,8192,512,37486592,4000000,1240,150311545,98601075066,34983382379,9419833966,
qr,tsqrt,8192,512,37486592,4000000,120,9697344,15823667440,22594665101,15529278202,
qr,geqrt,8192,1024,37486592,1000000,8,2941152,5037018734,6641492938,4354222232,
qr,ormqr,8192,1024,37486592,1000000,28,16394976,10659497074,4037179476,1272124180,
qr,tsmqr,8192,1024,37486592,1000000,140,132735800,86126809929,26989044475,5075568181,
qr,tsqrt,8192,1024,37486592,1000000,28,16723476,25606559548,34874515471,22880816987,
qr,geqrt,8192,1024,37486592,4000000,8,3626320,5037023843,8070298361,5752155093,
qr,ormqr,8192,1024,37486592,4000000,28,15332377,10659496424,4409607707,1640022066,
qr,tsmqr,8192,1024,37486592,4000000,140,127501555,86126802061,28179872647,6234761390,
qr,tsqrt,8192,1024,37486592,4000000,28,16641891,25606553633,43828635263,31399335757,
qr,geqrt,8192,2048,37486592,1000000,4,276085790,17578066061,27051756749,18622917780,
qr,ormqr,8192,2048,37486592,1000000,6,66837542,17701528451,6303440024,1778698324,
qr,tsmqr,8192,2048,37486592,1000000,14,176110483,67862357106,20743894498,3576898014,
qr,tsqrt,8192,2048,37486592,1000000,6,1908864323,40585975913,62508740727,43211023780,
qr,geqrt,8192,2048,37486592,4000000,4,288030785,17578064633,35438051759,27066504279,
qr,ormqr,8192,2048,37486592,4000000,6,64321681,17701527189,7044265058,2526402878,
qr,tsmqr,8192,2048,37486592,4000000,14,170874871,67862352809,21757870199,4553077678,
qr,tsqrt,8192,2048,37486592,4000000,6,1924589844,40585966812,94777102669,75543357864,
qr,geqrt,10240,256,37486592,1000000,40,319672,702428296,434855951,174028899,
