algorithm,task,matrix_size,tile_size,l3_cache_size,frequency,weight,PAPI_L3_TCM,PAPI_TOT_INS,PAPI_TOT_CYC,PAPI_RES_STL,PAPI_L2_TCR,PAPI_L2_TCW,PAPI_L3_TCR,PAPI_L3_TCW,PAPI_VEC_DP
sylsvd,trsyl,8192,256,37486592,1000000,32,1289708,3781276615,2023093044,627793495,546593615,3345866,12636098,201123,1123573415
sylsvd,gesvd,8192,256,37486592,1000000,32,55126,3849037737,2498083540,1270187113,232235602,238797822,9107598,324168,1784051195
sylsvd,geev,8192,256,37486592,1000000,32,49471,7398613278,3399727509,1111838390,226113817,101271756,6354719,435807,3279379259
sylsvd,gemm,8192,256,37486592,1000000,32,49431,127066030,50437222,11607884,1248923,933444,1608783,45575,134742144
sylsvd,trsyl,8192,256,37486592,4000000,32,1276483,3781276189,2052049686,656703822,546420554,3307024,8424479,186436,1123573415
sylsvd,gesvd,8192,256,37486592,4000000,32,35551,3849042665,2506606880,1280379476,230838104,240960588,7922634,351859,1784051195
sylsvd,geev,8192,256,37486592,4000000,32,25075,7398618383,3351448592,1068070828,227944464,87864174,6134362,450897,3279379259
sylsvd,gemm,8192,256,37486592,4000000,32,43522,127067565,51844846,13009973,1337144,900774,1606694,58934,134742144
sylsvd,trsyl,8192,512,37486592,1000000,16,4265727,11593239464,15551559141,11252660870,2175134404,3324000,1462585914,2540615,4394605783
sylsvd,gesvd,8192,512,37486592,1000000,16,79251,20287232730,17409600952,10965878980,1234357623,1555341102,1143856212,6072026,10555773292
sylsvd,geev,8192,512,37486592,1000000,16,53737,24828723705,14639799198,6523572043,687750184,463730544,454349814,9524631,12254313510
sylsvd,gemm,8192,512,37486592,1000000,16,475447,493142157,178175576,39248990,5048232,3060464,5570675,57169,538968128
sylsvd,trsyl,8192,512,37486592,4000000,16,4402734,11593236076,18586428982,14270425795,2177811232,2382686,1482398954,2612335,4394605783
sylsvd,gesvd,8192,512,37486592,4000000,16,54117,20287231339,18218783553,11816225824,1159952092,1474826196,1135511459,6222875,10555773292
sylsvd,geev,8192,512,37486592,4000000,16,51222,24828722622,15130200801,7019576629,683452212,413537344,444190670,9594026,12254313510
sylsvd,gemm,8192,512,37486592,4000000,16,416559,493142038,183702062,44567314,4805330,3043770,5401170,64929,538968128
sylsvd,trsyl,8192,1024,37486592,1000000,8,19947498,39300985085,80566471539,65718667487,9048916819,11604206,8488818506,5403809,17380170778
sylsvd,gesvd,8192,1024,37486592,1000000,8,5843499,52333467107,55236082893,30515761708,3466911750,4054022823,3466876318,35832886,29630055974
sylsvd,geev,8192,1024,37486592,1000000,8,4325008,87799527580,62541880253,26788150604,2785356996,1721425806,2666309529,38455145,45260942421
sylsvd,gemm,8192,1024,37486592,1000000,8,4201124,1939194262,1905072034,126576965,9231388,7179392,17125510,116836,2153775136
sylsvd,trsyl,8192,1024,37486592,4000000,8,16686632,39300967668,96699639511,81665271402,9067609686,14004246,8425616737,5258154,17380170778
sylsvd,gesvd,8192,1024,37486592,4000000,8,5849911,52333454249,57954305639,33185492543,3256974012,3873124188,3421308762,26156802,29630055974
sylsvd,geev,8192,1024,37486592,4000000,8,4331827,87799514050,65508560520,29771357269,2739445966,1303085932,2646544806,35834453,45260942421
sylsvd,gemm,8192,1024,37486592,4000000,8,4316116,1939193676,1933307924,153944787,8994786,7131892,17220244,139659,2153775136
sylsvd,trsyl,8192,2048,37486592,1000000,4,6598772794,143050788490,571351500549,471867549178,49815548320,198399348,34521939568,6222290,69124250562
sylsvd,gesvd,8192,2048,37486592,1000000,4,222812358,37023302929,65558400622,21951304451,4115497743,943509968,4308733452,24080354,30420141384
sylsvd,geev,8192,2048,37486592,1000000,4,323024829,73396418322,107550593368,68156761269,7252074255,1417949816,5979466422,62719934,31731827612
sylsvd,gemm,8192,2048,37486592,1000000,4,16795845,7697638249,6864455238,469076200,35536105,21569472,62590851,137218,8615100432
sylsvd,trsyl,8192,2048,37486592,4000000,4,6530279797,143050662270,674812077196,577406583562,50512379798,166656002,34530320530,6091143,69124250562
sylsvd,gesvd,8192,2048,37486592,4000000,4,210464657,37023289739,72736551463,29141580775,3968563676,866899268,4278163061,26989537,30420141384
sylsvd,geev,8192,2048,37486592,4000000,4,337555219,73396277248,120462947103,81143409414,7206315008,1104804166,5947523532,70545129,31731827612
sylsvd,gemm,8192,2048,37486592,4000000,4,16282384,7697636702,6899827031,507957228,35248910,21528874,70195618,165674,8615100432
sylsvd,trsyl,10240,256,37486592,1000000,40,1610632,4726369019,2534567823,789965708,683106863,4353354,10132973,237567,1404452751
sylsvd,gesvd,10240,256,37486592,1000000,40,65632,4702024830,3046389802,1543396800,284855336,290032950,11827194,415687,2179231879
sylsvd,geev,10240,256,37486592,1000000,40,49764,9255714246,4191024850,1340249154,284168207,119578442,8908203,552342,4105994653
sylsvd,gemm,10240,256,37486592,1000000,40,60180,158834670,63591961,14955884,1677416,1174448,2027632,57390,168427680
sylsvd,trsyl,10240,256,37486592,4000000,40,1603522,4726368124,2564142940,821580397,683281235,4169494,10264347,227868,1404452751
sylsvd,gesvd,10240,256,37486592,4000000,40,44645,4702012500,3049268764,1547960175,281811414,293831548,11219882,440734,2179231879
sylsvd,geev,10240,256,37486592,4000000,40,33701,9255760684,4190180887,1334329098,283814674,99008290,8521515,581371,4105994653
sylsvd,gemm,10240,256,37486592,4000000,40,56526,158833344,64614140,16162421,1517212,1121464,1990934,75815,168427680
sylsvd,trsyl,10240,512,37486592,1000000,20,5511591,14489970441,19562749964,14190526861,2719207253,3619598,1842363814,3045832,5493243211
sylsvd,gesvd,10240,512,37486592,1000000,20,80046,24937479982,21406117483,13506392148,1510843087,1923225316,1410124579,8027065,12983397486
sylsvd,geev,10240,512,37486592,1000000,20,71380,31109093074,18375999479,8194145240,857787322,583359644,564415003,11919247,15361743570
sylsvd,gemm,10240,512,37486592,1000000,20,536381,616427647,221241516,47990180,6312664,3840280,6987527,70236,673710160
sylsvd,trsyl,10240,512,37486592,4000000,20,5458583,14489966193,23462492435,18079829030,2719460528,3038270,1853605983,3192928,5493243211
sylsvd,gesvd,10240,512,37486592,4000000,20,68355,24937481383,22394439449,14482647071,1430230523,1811699838,1396904730,7727585,12983397486
sylsvd,geev,10240,512,37486592,4000000,20,51328,31109094074,19021731118,8876484223,854401294,512233236,555959934,11827661,15361743570
sylsvd,gemm,10240,512,37486592,4000000,20,517497,616427544,228789526,55043436,5659599,3803806,6761470,85393,673710160
sylsvd,trsyl,10240,1024,37486592,1000000,10,24917315,49126049622,100576079262,82005311448,11316050452,14525858,10459189753,7047575,21725199455
sylsvd,gesvd,10240,1024,37486592,1000000,10,6818456,56015756561,60410604635,32631041242,3802382269,4204356430,3827550354,33175522,32127421757
sylsvd,geev,10240,1024,37486592,1000000,10,5786533,109892703059,81060415365,33893990519,3489166219,2087904304,3431233294,44307076,56467020060
sylsvd,gemm,10240,1024,37486592,1000000,10,5241860,2423993241,2517317956,159120191,11600722,8994058,21624159,147183,2692218920
sylsvd,trsyl,10240,1024,37486592,4000000,10,23442568,49126027994,120954508110,102156041564,11363847915,16891892,10608531720,6717639,21725199455
sylsvd,gesvd,10240,1024,37486592,4000000,10,6539127,56015741788,63427462706,35618480865,3583506133,4025402744,3776526600,26618353,32127421757
sylsvd,geev,10240,1024,37486592,4000000,10,6228019,109892707212,85245883552,38120261011,3461305893,1578148260,3397510000,44285729,56467020060
sylsvd,gemm,10240,1024,37486592,4000000,10,5266220,2423992355,2545626951,186710242,11332927,8945630,22025541,176198,2692218920
sylsvd,trsyl,10240,2048,37486592,1000000,5,8161498068,178814430659,715479347815,588993222410,62307579896,224952894,43149589620,7921617,86405299185
sylsvd,gesvd,10240,2048,37486592,1000000,5,294339834,67609009448,112311466782,41564102429,6746695880,2102754306,6561087434,38480656,49401683686
