algorithm,task,matrix_size,tile_size,l3_cache_size,frequency,weight,PAPI_L3_TCM,PAPI_TOT_INS,PAPI_TOT_CYC,PAPI_RES_STL,
sylsvd,trsyl,16384,256,37486592,1000000,64,2650523,7561412960,4049880569,1250552304,
sylsvd,gesvd,16384,256,37486592,1000000,64,99217,7223164868,4662042105,2346618210,
sylsvd,geev,16384,256,37486592,1000000,64,87523,14940560069,6732747919,2129150693,
sylsvd,gemm,16384,256,37486592,1000000,64,97589,254132850,100387286,23019777,
sylsvd,trsyl,16384,256,37486592,4000000,64,2550095,7561412254,4113851459,1317906329,
sylsvd,gesvd,16384,256,37486592,4000000,64,80900,7223161114,4684861066,2371023288,
sylsvd,geev,16384,256,37486592,4000000,64,55702,14940548097,6806860602,2190884779,
sylsvd,gemm,16384,256,37486592,4000000,64,93071,254132153,103873505,26301411,
sylsvd,trsyl,16384,512,37486592,1000000,32,8596532,23183363388,31257127643,22615456047,
sylsvd,gesvd,16384,512,37486592,1000000,32,112668,34207884214,29274013436,18325667681,
sylsvd,geev,16384,512,37486592,1000000,32,104023,50026249384,29953174320,13633126403,
sylsvd,gemm,16384,512,37486592,1000000,32,894059,986284020,355434449,78379137,
sylsvd,trsyl,16384,512,37486592,4000000,32,8676360,23183356821,36968980980,28297233680,
sylsvd,gesvd,16384,512,37486592,4000000,32,96953,34207882149,30633536265,19737700264,
sylsvd,geev,16384,512,37486592,4000000,32,90924,50026204873,31263903742,14974291650,
sylsvd,gemm,16384,512,37486592,4000000,32,891004,986283682,363670612,86765936,
sylsvd,trsyl,16384,1024,37486592,1000000,16,47668300,78598518742,160834703762,130920027807,
sylsvd,gesvd,16384,1024,37486592,1000000,16,12033425,66464221399,75068683404,38063100747,
sylsvd,geev,16384,1024,37486592,1000000,16,11040695,175532619216,127166321408,53202142738,
sylsvd,gemm,16384,1024,37486592,1000000,16,8983792,3878388386,4059703148,262578923,
sylsvd,trsyl,16384,1024,37486592,4000000,16,40136403,78598484254,192891300748,162651818104,
sylsvd,gesvd,16384,1024,37486592,4000000,16,13802442,66464202716,79419199002,42421979918,
sylsvd,geev,16384,1024,37486592,4000000,16,10624948,175532643825,134551531577,60620105179,
sylsvd,gemm,16384,1024,37486592,4000000,16,8607658,3878387326,4105132434,306319286,
sylsvd,trsyl,16384,2048,37486592,1000000,8,13309300862,286092116184,1145803578927,941660474355,
sylsvd,gesvd,16384,2048,37486592,1000000,8,465836051,129851703749,240286219458,81124514654,
sylsvd,geev,16384,2048,37486592,1000000,8,656652308,154546429041,225859438590,138569505140,
sylsvd,gemm,16384,2048,37486592,1000000,8,33900129,15395275291,15244815674,938452605,
sylsvd,trsyl,16384,2048,37486592,4000000,8,13095224458,286091863862,1352466706760,1152705395989,
sylsvd,gesvd,16384,2048,37486592,4000000,8,487505601,129851651661,257446801059,98318682375,
sylsvd,geev,16384,2048,37486592,4000000,8,705241830,154546221148,252913026612,165800334054,
sylsvd,gemm,16384,2048,37486592,4000000,8,33190896,15395272435,15339591704,1034751180,
sylsvd,trsyl,18432,256,37486592,1000000,72,2858793,8506916177,4550543677,1400237844,
sylsvd,gesvd,18432,256,37486592,1000000,72,81241,7831017606,5051531533,2531942746,
