algorithm,task,matrix_size,tile_size,l3_cache_size,frequency,weight,PAPI_L3_TCR,PAPI_L3_TCW,
sylsvd,trsyl,22528,256,37486592,1000000,88,11252516,616842,
sylsvd,gesvd,22528,256,37486592,1000000,88,21089929,884610,
sylsvd,geev,22528,256,37486592,1000000,88,15635165,1196223,
sylsvd,gemm,22528,256,37486592,1000000,88,4447735,137400,
sylsvd,trsyl,22528,256,37486592,4000000,88,11357195,596596,
sylsvd,gesvd,22528,256,37486592,4000000,88,22815301,982160,
sylsvd,geev,22528,256,37486592,4000000,88,15775806,1198037,
sylsvd,gemm,22528,256,37486592,4000000,88,4375976,165989,
sylsvd,trsyl,22528,512,37486592,1000000,44,3947657079,7124630,
sylsvd,gesvd,22528,512,37486592,1000000,44,2698401336,14977506,
sylsvd,geev,22528,512,37486592,1000000,44,1337809528,28230960,
sylsvd,gemm,22528,512,37486592,1000000,44,15066431,157384,
sylsvd,trsyl,22528,512,37486592,4000000,44,3889654314,6747489,
sylsvd,gesvd,22528,512,37486592,4000000,44,2657474487,16493112,
sylsvd,geev,22528,512,37486592,4000000,44,1287744180,27581770,
sylsvd,gemm,22528,512,37486592,4000000,44,14806376,187641,
sylsvd,trsyl,22528,1024,37486592,1000000,22,23289725777,15963847,
sylsvd,gesvd,22528,1024,37486592,1000000,22,7950806870,37224496,
sylsvd,geev,22528,1024,37486592,1000000,22,7107944511,125025757,
sylsvd,gemm,22528,1024,37486592,1000000,22,45979561,316087,
sylsvd,trsyl,22528,1024,37486592,4000000,22,23302538684,15945309,
sylsvd,gesvd,22528,1024,37486592,4000000,22,7840263273,40879122,
sylsvd,geev,22528,1024,37486592,4000000,22,6861738823,111431884,
sylsvd,gemm,22528,1024,37486592,4000000,22,45467655,359728,
sylsvd,trsyl,22528,2048,37486592,1000000,11,94938562882,17036707,
sylsvd,gesvd,22528,2048,37486592,1000000,11,15907742661,96840388,
sylsvd,geev,22528,2048,37486592,1000000,11,16925672598,195032482,
sylsvd,gemm,22528,2048,37486592,1000000,11,168110389,363362,
sylsvd,trsyl,22528,2048,37486592,4000000,11,94953409645,16633807,
sylsvd,gesvd,22528,2048,37486592,4000000,11,15837374214,109345179,
sylsvd,geev,22528,2048,37486592,4000000,11,16867871577,229222737,
sylsvd,gemm,22528,2048,37486592,4000000,11,166829343,421213,
sylsvd,trsyl,24576,256,37486592,1000000,96,29116284,775400,
sylsvd,gesvd,24576,256,37486592,1000000,96,46865837,1054392,
sylsvd,geev,24576,256,37486592,1000000,96,18933836,1226865,
sylsvd,gemm,24576,256,37486592,1000000,96,4855440,139346,
sylsvd,trsyl,24576,256,37486592,4000000,96,30889791,702146,
sylsvd,gesvd,24576,256,37486592,4000000,96,29059825,1064967,
sylsvd,geev,24576,256,37486592,4000000,96,17808923,1270864,
sylsvd,gemm,24576,256,37486592,4000000,96,4779702,193845,
sylsvd,trsyl,24576,512,37486592,1000000,48,4363839165,7820563,
sylsvd,gesvd,24576,512,37486592,1000000,48,2966313201,16641917,
sylsvd,geev,24576,512,37486592,1000000,48,1498152667,31215658,
sylsvd,gemm,24576,512,37486592,1000000,48,16586243,187716,
sylsvd,trsyl,24576,512,37486592,4000000,48,4378574800,8113918,
sylsvd,gesvd,24576,512,37486592,4000000,48,2923600157,18170197,
sylsvd,geev,24576,512,37486592,4000000,48,1462756762,30663871,
sylsvd,gemm,24576,512,37486592,4000000,48,16150817,209672,
sylsvd,trsyl,24576,1024,37486592,1000000,24,25426770209,17545561,
sylsvd,gesvd,24576,1024,37486592,1000000,24,9667174568,44694819,
sylsvd,geev,24576,1024,37486592,1000000,24,8106527303,145969353,
sylsvd,gemm,24576,1024,37486592,1000000,24,50015703,349639,
sylsvd,trsyl,24576,1024,37486592,4000000,24,25414490151,17466262,
sylsvd,gesvd,24576,1024,37486592,4000000,24,9541604622,48488098,
sylsvd,geev,24576,1024,37486592,4000000,24,7858536055,135188621,
sylsvd,gemm,24576,1024,37486592,4000000,24,49517462,398736,
sylsvd,trsyl,24576,2048,37486592,1000000,12,103570241134,18659748,
sylsvd,gesvd,24576,2048,37486592,1000000,12,17001000967,100288813,
sylsvd,geev,24576,2048,37486592,1000000,12,18574592354,221958961,
sylsvd,gemm,24576,2048,37486592,1000000,12,182766277,392349,
sylsvd,trsyl,24576,2048,37486592,4000000,12,103586917928,19132401,
sylsvd,gesvd,24576,2048,37486592,4000000,12,16929825364,116807505,
sylsvd,geev,24576,2048,37486592,4000000,12,18519497205,252548466,
sylsvd,gemm,24576,2048,37486592,4000000,12,181855279,469763,
