algorithm,matrix_size,tile_size,threads,case,task,PKG1,PKG2,DRAM1,DRAM2,time
sylsvd,24576,256,48,1,trsyl,103329387,115849068,7389227,7922157,0.940600
sylsvd,24576,256,48,1,gesvd,103329387,115849068,7389227,7922157,0.940600
sylsvd,24576,256,48,1,geev,103329387,115849068,7389227,7922157,0.940600
sylsvd,24576,256,48,1,gemm,103329387,115849068,7389227,7922157,0.940600
sylsvd,24576,256,48,2,trsyl,103029155,103837075,8179763,8449334,1.016200
sylsvd,24576,256,48,2,gesvd,103029155,103837075,8179763,8449334,1.016200
sylsvd,24576,256,48,2,geev,103029155,103837075,8179763,8449334,1.016200
sylsvd,24576,256,48,2,gemm,103029155,103837075,8179763,8449334,1.016200
sylsvd,24576,256,48,3,trsyl,125377364,131347747,10837341,11902420,1.404800
sylsvd,24576,256,48,3,gesvd,125377364,131347747,10837341,11902420,1.404800
sylsvd,24576,256,48,3,geev,125377364,131347747,10837341,11902420,1.404800
sylsvd,24576,256,48,3,gemm,125377364,131347747,10837341,11902420,1.404800
sylsvd,24576,256,48,4,trsyl,125901900,122435172,11692352,12521979,1.491500
sylsvd,24576,256,48,4,gesvd,125901900,122435172,11692352,12521979,1.491500
sylsvd,24576,256,48,4,geev,125901900,122435172,11692352,12521979,1.491500
sylsvd,24576,256,48,4,gemm,125901900,122435172,11692352,12521979,1.491500
sylsvd,24576,256,48,5,trsyl,97267329,99778980,9762012,10551385,1.257900
sylsvd,24576,256,48,5,gesvd,97267329,99778980,9762012,10551385,1.257900
sylsvd,24576,256,48,5,geev,97267329,99778980,9762012,10551385,1.257900
sylsvd,24576,256,48,5,gemm,97267329,99778980,9762012,10551385,1.257900
sylsvd,24576,256,48,6,trsyl,102348492,95415100,11476132,12084108,1.472000
sylsvd,24576,256,48,6,gesvd,102348492,95415100,11476132,12084108,1.472000
sylsvd,24576,256,48,6,geev,102348492,95415100,11476132,12084108,1.472000
sylsvd,24576,256,48,6,gemm,102348492,95415100,11476132,12084108,1.472000
sylsvd,24576,256,48,7,trsyl,114822155,114626538,13572737,14473127,1.744600
sylsvd,24576,256,48,7,gesvd,114822155,114626538,13572737,14473127,1.744600
sylsvd,24576,256,48,7,geev,114822155,114626538,13572737,14473127,1.744600
sylsvd,24576,256,48,7,gemm,114822155,114626538,13572737,14473127,1.744600
sylsvd,24576,256,48,8,trsyl,110264977,109656213,14538228,15564094,1.884100
sylsvd,24576,256,48,8,gesvd,110264977,109656213,14538228,15564094,1.884100
sylsvd,24576,256,48,8,geev,110264977,109656213,14538228,15564094,1.884100
sylsvd,24576,256,48,8,gemm,110264977,109656213,14538228,15564094,1.884100
sylsvd,24576,256,48,9,trsyl,104166664,118238406,7715728,8213162,0.991300
sylsvd,24576,256,48,9,gesvd,104166664,118238406,7715728,8213162,0.991300
sylsvd,24576,256,48,9,geev,104166664,118238406,7715728,8213162,0.991300
sylsvd,24576,256,48,9,gemm,104166664,118238406,7715728,8213162,0.991300
sylsvd,24576,256,48,10,trsyl,105758213,103344828,8427133,8761147,1.067400
sylsvd,24576,256,48,10,gesvd,105758213,103344828,8427133,8761147,1.067400
sylsvd,24576,256,48,10,geev,105758213,103344828,8427133,8761147,1.067400
sylsvd,24576,256,48,10,gemm,105758213,103344828,8427133,8761147,1.067400
sylsvd,24576,256,48,11,trsyl,132265714,125738325,10963613,12042630,1.436900
sylsvd,24576,256,48,11,gesvd,132265714,125738325,10963613,12042630,1.436900
sylsvd,24576,256,48,11,geev,132265714,125738325,10963613,12042630,1.436900
sylsvd,24576,256,48,11,gemm,132265714,125738325,10963613,12042630,1.436900
sylsvd,24576,256,48,12,trsyl,123067373,119467529,11591234,12499243,1.488700
sylsvd,24576,256,48,12,gesvd,123067373,119467529,11591234,12499243,1.488700
sylsvd,24576,256,48,12,geev,123067373,119467529,11591234,12499243,1.488700
sylsvd,24576,256,48,12,gemm,123067373,119467529,11591234,12499243,1.488700
sylsvd,24576,256,48,13,trsyl,99838795,98130608,10116069,10796644,1.303600
sylsvd,24576,256,48,13,gesvd,99838795,98130608,10116069,10796644,1.303600
sylsvd,24576,256,48,13,geev,99838795,98130608,10116069,10796644,1.303600
sylsvd,24576,256,48,13,gemm,99838795,98130608,10116069,10796644,1.303600
sylsvd,24576,256,48,14,trsyl,94532167,95615600,11237375,11655356,1.429300
sylsvd,24576,256,48,14,gesvd,94532167,95615600,11237375,11655356,1.429300
sylsvd,24576,256,48,14,geev,94532167,95615600,11237375,11655356,1.429300
sylsvd,24576,256,48,14,gemm,94532167,95615600,11237375,11655356,1.429300
sylsvd,24576,256,48,15,trsyl,109881982,116442817,13737900,14825455,1.787300
sylsvd,24576,256,48,15,gesvd,109881982,116442817,13737900,14825455,1.787300
sylsvd,24576,256,48,15,geev,109881982,116442817,13737900,14825455,1.787300
sylsvd,24576,256,48,15,gemm,109881982,116442817,13737900,14825455,1.787300
sylsvd,24576,256,48,16,trsyl,113982435,113653884,15451807,16420159,1.989600
sylsvd,24576,256,48,16,gesvd,113982435,113653884,15451807,16420159,1.989600
sylsvd,24576,256,48,16,geev,113982435,113653884,15451807,16420159,1.989600
sylsvd,24576,256,48,16,gemm,113982435,113653884,15451807,16420159,1.989600
