algorithm,task,matrix_size,tile_size,l3_cache_size,frequency,weight,PAPI_L3_TCR,PAPI_L3_TCW,
sylsvd,trsyl,8192,256,37486592,1000000,32,12636098,201123,
sylsvd,gesvd,8192,256,37486592,1000000,32,9107598,324168,
sylsvd,geev,8192,256,37486592,1000000,32,6354719,435807,
sylsvd,gemm,8192,256,37486592,1000000,32,1608783,45575,
sylsvd,trsyl,8192,256,37486592,4000000,32,8424479,186436,
sylsvd,gesvd,8192,256,37486592,4000000,32,7922634,351859,
sylsvd,geev,8192,256,37486592,4000000,32,6134362,450897,
sylsvd,gemm,8192,256,37486592,4000000,32,1606694,58934,
sylsvd,trsyl,8192,512,37486592,1000000,16,1462585914,2540615,
sylsvd,gesvd,8192,512,37486592,1000000,16,1143856212,6072026,
sylsvd,geev,8192,512,37486592,1000000,16,454349814,9524631,
sylsvd,gemm,8192,512,37486592,1000000,16,5570675,57169,
sylsvd,trsyl,8192,512,37486592,4000000,16,1482398954,2612335,
sylsvd,gesvd,8192,512,37486592,4000000,16,1135511459,6222875,
sylsvd,geev,8192,512,37486592,4000000,16,444190670,9594026,
sylsvd,gemm,8192,512,37486592,4000000,16,5401170,64929,
sylsvd,trsyl,8192,1024,37486592,1000000,8,8488818506,5403809,
sylsvd,gesvd,8192,1024,37486592,1000000,8,3466876318,35832886,
sylsvd,geev,8192,1024,37486592,1000000,8,2666309529,38455145,
sylsvd,gemm,8192,1024,37486592,1000000,8,17125510,116836,
sylsvd,trsyl,8192,1024,37486592,4000000,8,8425616737,5258154,
sylsvd,gesvd,8192,1024,37486592,4000000,8,3421308762,26156802,
sylsvd,geev,8192,1024,37486592,4000000,8,2646544806,35834453,
sylsvd,gemm,8192,1024,37486592,4000000,8,17220244,139659,
sylsvd,trsyl,8192,2048,37486592,1000000,4,34521939568,6222290,
sylsvd,gesvd,8192,2048,37486592,1000000,4,4308733452,24080354,
sylsvd,geev,8192,2048,37486592,1000000,4,5979466422,62719934,
sylsvd,gemm,8192,2048,37486592,1000000,4,62590851,137218,
sylsvd,trsyl,8192,2048,37486592,4000000,4,34530320530,6091143,
sylsvd,gesvd,8192,2048,37486592,4000000,4,4278163061,26989537,
sylsvd,geev,8192,2048,37486592,4000000,4,5947523532,70545129,
sylsvd,gemm,8192,2048,37486592,4000000,4,70195618,165674,
sylsvd,trsyl,10240,256,37486592,1000000,40,10132973,237567,
sylsvd,gesvd,10240,256,37486592,1000000,40,11827194,415687,
sylsvd,geev,10240,256,37486592,1000000,40,8908203,552342,
sylsvd,gemm,10240,256,37486592,1000000,40,2027632,57390,
sylsvd,trsyl,10240,256,37486592,4000000,40,10264347,227868,
sylsvd,gesvd,10240,256,37486592,4000000,40,11219882,440734,
sylsvd,geev,10240,256,37486592,4000000,40,8521515,581371,
sylsvd,gemm,10240,256,37486592,4000000,40,1990934,75815,
sylsvd,trsyl,10240,512,37486592,1000000,20,1842363814,3045832,
sylsvd,gesvd,10240,512,37486592,1000000,20,1410124579,8027065,
sylsvd,geev,10240,512,37486592,1000000,20,564415003,11919247,
sylsvd,gemm,10240,512,37486592,1000000,20,6987527,70236,
sylsvd,trsyl,10240,512,37486592,4000000,20,1853605983,3192928,
sylsvd,gesvd,10240,512,37486592,4000000,20,1396904730,7727585,
sylsvd,geev,10240,512,37486592,4000000,20,555959934,11827661,
sylsvd,gemm,10240,512,37486592,4000000,20,6761470,85393,
sylsvd,trsyl,10240,1024,37486592,1000000,10,10459189753,7047575,
sylsvd,gesvd,10240,1024,37486592,1000000,10,3827550354,33175522,
sylsvd,geev,10240,1024,37486592,1000000,10,3431233294,44307076,
sylsvd,gemm,10240,1024,37486592,1000000,10,21624159,147183,
sylsvd,trsyl,10240,1024,37486592,4000000,10,10608531720,6717639,
sylsvd,gesvd,10240,1024,37486592,4000000,10,3776526600,26618353,
sylsvd,geev,10240,1024,37486592,4000000,10,3397510000,44285729,
sylsvd,gemm,10240,1024,37486592,4000000,10,22025541,176198,
sylsvd,trsyl,10240,2048,37486592,1000000,5,43149589620,7921617,
sylsvd,gesvd,10240,2048,37486592,1000000,5,6561087434,38480656,
sylsvd,geev,10240,2048,37486592,1000000,5,7664826462,85946922,
sylsvd,gemm,10240,2048,37486592,1000000,5,76476936,156393,
sylsvd,trsyl,10240,2048,37486592,4000000,5,43157684753,7527290,
sylsvd,gesvd,10240,2048,37486592,4000000,5,6530089311,44767947,
sylsvd,geev,10240,2048,37486592,4000000,5,7670532665,92370295,
sylsvd,gemm,10240,2048,37486592,4000000,5,76068677,188094,
sylsvd,trsyl,12288,256,37486592,1000000,48,12994427,297270,
sylsvd,gesvd,12288,256,37486592,1000000,48,15623406,509771,
sylsvd,geev,12288,256,37486592,1000000,48,9509884,613712,
sylsvd,gemm,12288,256,37486592,1000000,48,2435429,73714,
sylsvd,trsyl,12288,256,37486592,4000000,48,11967851,291454,
sylsvd,gesvd,12288,256,37486592,4000000,48,12713616,550083,
sylsvd,geev,12288,256,37486592,4000000,48,9321773,648625,
sylsvd,gemm,12288,256,37486592,4000000,48,2402998,91331,
sylsvd,trsyl,12288,512,37486592,1000000,24,2188072188,3687603,
sylsvd,gesvd,12288,512,37486592,1000000,24,1591809344,8656434,
sylsvd,geev,12288,512,37486592,1000000,24,720080282,14234514,
sylsvd,gemm,12288,512,37486592,1000000,24,8266385,87838,
sylsvd,trsyl,12288,512,37486592,4000000,24,2197514173,3983198,
sylsvd,gesvd,12288,512,37486592,4000000,24,1580422890,8606668,
sylsvd,geev,12288,512,37486592,4000000,24,696521455,13791531,
sylsvd,gemm,12288,512,37486592,4000000,24,8198386,101564,
sylsvd,trsyl,12288,1024,37486592,1000000,12,12734149793,8427196,
sylsvd,gesvd,12288,1024,37486592,1000000,12,4181980323,26227113,
sylsvd,geev,12288,1024,37486592,1000000,12,4107719027,59222713,
sylsvd,gemm,12288,1024,37486592,1000000,12,25294168,176503,
sylsvd,trsyl,12288,1024,37486592,4000000,12,12593184428,8588689,
sylsvd,gesvd,12288,1024,37486592,4000000,12,4132148233,26524089,
sylsvd,geev,12288,1024,37486592,4000000,12,3930108547,52524891,
sylsvd,gemm,12288,1024,37486592,4000000,12,25487406,202482,
sylsvd,trsyl,12288,2048,37486592,1000000,6,51786147811,9449501,
sylsvd,gesvd,12288,2048,37486592,1000000,6,8648089749,53047336,
sylsvd,geev,12288,2048,37486592,1000000,6,9021346467,101321210,
sylsvd,gemm,12288,2048,37486592,1000000,6,92422228,204934,
sylsvd,trsyl,12288,2048,37486592,4000000,6,51795228878,9057817,
sylsvd,gesvd,12288,2048,37486592,4000000,6,8609016759,59338415,
sylsvd,geev,12288,2048,37486592,4000000,6,9046076662,109760693,
sylsvd,gemm,12288,2048,37486592,4000000,6,91195586,231955,
sylsvd,trsyl,14336,256,37486592,1000000,56,16565844,372594,
sylsvd,gesvd,14336,256,37486592,1000000,56,13258868,564495,
sylsvd,geev,14336,256,37486592,1000000,56,12960263,772011,
sylsvd,gemm,14336,256,37486592,1000000,56,2826906,86318,
sylsvd,trsyl,14336,256,37486592,4000000,56,15728009,364910,
sylsvd,gesvd,14336,256,37486592,4000000,56,17048030,649396,
sylsvd,geev,14336,256,37486592,4000000,56,12713613,778787,
sylsvd,gemm,14336,256,37486592,4000000,56,2784338,108165,
sylsvd,trsyl,14336,512,37486592,1000000,28,2544998049,4628375,
sylsvd,gesvd,14336,512,37486592,1000000,28,1791826236,10823826,
sylsvd,geev,14336,512,37486592,1000000,28,863094423,17220860,
sylsvd,gemm,14336,512,37486592,1000000,28,9758705,88372,
sylsvd,trsyl,14336,512,37486592,4000000,28,2534809516,4450054,
sylsvd,gesvd,14336,512,37486592,4000000,28,1769298772,10553396,
sylsvd,geev,14336,512,37486592,4000000,28,823235994,16542509,
sylsvd,gemm,14336,512,37486592,4000000,28,9582822,129741,
sylsvd,trsyl,14336,1024,37486592,1000000,14,14829240655,10053192,
sylsvd,gesvd,14336,1024,37486592,1000000,14,4532452992,28302615,
sylsvd,geev,14336,1024,37486592,1000000,14,4902689608,69933657,
sylsvd,gemm,14336,1024,37486592,1000000,14,30376801,201841,
sylsvd,trsyl,14336,1024,37486592,4000000,14,14844640034,9152489,
sylsvd,gesvd,14336,1024,37486592,4000000,14,4463519169,27716530,
sylsvd,geev,14336,1024,37486592,4000000,14,4602467531,64025659,
sylsvd,gemm,14336,1024,37486592,4000000,14,30867936,245646,
sylsvd,trsyl,14336,2048,37486592,1000000,7,60415808483,11000871,
sylsvd,gesvd,14336,2048,37486592,1000000,7,9726222680,58797244,
sylsvd,geev,14336,2048,37486592,1000000,7,10686449058,127924787,
sylsvd,gemm,14336,2048,37486592,1000000,7,107818049,226671,
sylsvd,trsyl,14336,2048,37486592,4000000,7,60422760762,10593604,
sylsvd,gesvd,14336,2048,37486592,4000000,7,9684856924,69726902,
sylsvd,geev,14336,2048,37486592,4000000,7,10649474672,138158951,
sylsvd,gemm,14336,2048,37486592,4000000,7,105998067,264783,
sylsvd,trsyl,16384,256,37486592,1000000,64,29038789,436418,
sylsvd,gesvd,16384,256,37486592,1000000,64,25470123,693777,
sylsvd,geev,16384,256,37486592,1000000,64,15742210,892970,
sylsvd,gemm,16384,256,37486592,1000000,64,3243706,91361,
sylsvd,trsyl,16384,256,37486592,4000000,64,21152916,427295,
sylsvd,gesvd,16384,256,37486592,4000000,64,17496814,741643,
sylsvd,geev,16384,256,37486592,4000000,64,12787047,918477,
sylsvd,gemm,16384,256,37486592,4000000,64,3182521,115657,
sylsvd,trsyl,16384,512,37486592,1000000,32,2889951984,4961069,
sylsvd,gesvd,16384,512,37486592,1000000,32,1981471882,11073984,
sylsvd,geev,16384,512,37486592,1000000,32,996592760,19105942,
sylsvd,gemm,16384,512,37486592,1000000,32,10975282,110356,
sylsvd,trsyl,16384,512,37486592,4000000,32,2880587100,5364306,
sylsvd,gesvd,16384,512,37486592,4000000,32,1952813840,11626522,
sylsvd,geev,16384,512,37486592,4000000,32,967880764,18878617,
sylsvd,gemm,16384,512,37486592,4000000,32,10843545,132725,
sylsvd,trsyl,16384,1024,37486592,1000000,16,16954519672,11116253,
sylsvd,gesvd,16384,1024,37486592,1000000,16,4883751762,41523515,
sylsvd,geev,16384,1024,37486592,1000000,16,5533778842,81039117,
sylsvd,gemm,16384,1024,37486592,1000000,16,34253278,230126,
sylsvd,trsyl,16384,1024,37486592,4000000,16,16927721255,11404995,
sylsvd,gesvd,16384,1024,37486592,4000000,16,4817132392,36085899,
sylsvd,geev,16384,1024,37486592,4000000,16,5233063263,69433877,
sylsvd,gemm,16384,1024,37486592,4000000,16,45986850,297553,
sylsvd,trsyl,16384,2048,37486592,1000000,8,69049026432,12488524,
sylsvd,gesvd,16384,2048,37486592,1000000,8,11720250768,65973293,
sylsvd,geev,16384,2048,37486592,1000000,8,12287088145,130345841,
sylsvd,gemm,16384,2048,37486592,1000000,8,124811345,269105,
sylsvd,trsyl,16384,2048,37486592,4000000,8,69058574871,12790970,
sylsvd,gesvd,16384,2048,37486592,4000000,8,11671620439,77178672,
sylsvd,geev,16384,2048,37486592,4000000,8,12256974372,142985434,
sylsvd,gemm,16384,2048,37486592,4000000,8,123347401,308619,
sylsvd,trsyl,18432,256,37486592,1000000,72,16570749,498794,
sylsvd,gesvd,18432,256,37486592,1000000,72,18118688,736551,
sylsvd,geev,18432,256,37486592,1000000,72,15127437,986388,
sylsvd,gemm,18432,256,37486592,1000000,72,3650158,104217,
sylsvd,trsyl,18432,256,37486592,4000000,72,14627889,485169,
sylsvd,gesvd,18432,256,37486592,4000000,72,13905139,800742,
sylsvd,geev,18432,256,37486592,4000000,72,14318433,1024717,
sylsvd,gemm,18432,256,37486592,4000000,72,3585266,138350,
sylsvd,trsyl,18432,512,37486592,1000000,36,3188145838,5694162,
sylsvd,gesvd,18432,512,37486592,1000000,36,2209961427,13660106,
sylsvd,geev,18432,512,37486592,1000000,36,1100771778,21190203,
sylsvd,gemm,18432,512,37486592,1000000,36,12417129,126652,
sylsvd,trsyl,18432,512,37486592,4000000,36,3254122152,5423545,
sylsvd,gesvd,18432,512,37486592,4000000,36,2161879292,14058348,
sylsvd,geev,18432,512,37486592,4000000,36,1075004445,20307182,
sylsvd,gemm,18432,512,37486592,4000000,36,12340035,163059,
sylsvd,trsyl,18432,1024,37486592,1000000,18,18854214387,13391208,
sylsvd,gesvd,18432,1024,37486592,1000000,18,5240049384,41305312,
sylsvd,geev,18432,1024,37486592,1000000,18,6129932689,84188609,
sylsvd,gemm,18432,1024,37486592,1000000,18,41207087,259433,
sylsvd,trsyl,18432,1024,37486592,4000000,18,19034187495,12006421,
sylsvd,gesvd,18432,1024,37486592,4000000,18,5153270977,40262684,
sylsvd,geev,18432,1024,37486592,4000000,18,5969194323,81507233,
sylsvd,gemm,18432,1024,37486592,4000000,18,39345895,308403,
sylsvd,trsyl,18432,2048,37486592,1000000,9,77652689949,14204952,
sylsvd,gesvd,18432,2048,37486592,1000000,9,12794635932,75095345,
sylsvd,geev,18432,2048,37486592,1000000,9,13518603388,142303764,
sylsvd,gemm,18432,2048,37486592,1000000,9,154370283,335648,
sylsvd,trsyl,18432,2048,37486592,4000000,9,77688106204,13348899,
sylsvd,gesvd,18432,2048,37486592,4000000,9,12745186002,83677094,
sylsvd,geev,18432,2048,37486592,4000000,9,13510647491,158039195,
sylsvd,gemm,18432,2048,37486592,4000000,9,140703176,358567,
sylsvd,trsyl,20480,256,37486592,1000000,80,18585391,557715,
sylsvd,gesvd,20480,256,37486592,1000000,80,19969625,819636,
sylsvd,geev,20480,256,37486592,1000000,80,16786516,1109839,
sylsvd,gemm,20480,256,37486592,1000000,80,4057444,118888,
sylsvd,trsyl,20480,256,37486592,4000000,80,28432298,541417,
sylsvd,gesvd,20480,256,37486592,4000000,80,26323381,958957,
sylsvd,geev,20480,256,37486592,4000000,80,16029004,1173641,
sylsvd,gemm,20480,256,37486592,4000000,80,3987889,152485,
sylsvd,trsyl,20480,512,37486592,1000000,40,3638713703,6475186,
sylsvd,gesvd,20480,512,37486592,1000000,40,2496874203,15670347,
sylsvd,geev,20480,512,37486592,1000000,40,1241577756,24136798,
sylsvd,gemm,20480,512,37486592,1000000,40,13757212,135773,
sylsvd,trsyl,20480,512,37486592,4000000,40,3506903799,6077341,
sylsvd,gesvd,20480,512,37486592,4000000,40,2355322290,15597889,
sylsvd,geev,20480,512,37486592,4000000,40,1181590666,23209852,
sylsvd,gemm,20480,512,37486592,4000000,40,13902104,168512,
sylsvd,trsyl,20480,1024,37486592,1000000,20,21169102960,14059611,
sylsvd,gesvd,20480,1024,37486592,1000000,20,6946178044,49359705,
sylsvd,geev,20480,1024,37486592,1000000,20,6951952031,95670642,
sylsvd,gemm,20480,1024,37486592,1000000,20,47256539,278786,
sylsvd,trsyl,20480,1024,37486592,4000000,20,21157084294,13751073,
sylsvd,gesvd,20480,1024,37486592,4000000,20,6839026679,56349254,
sylsvd,geev,20480,1024,37486592,4000000,20,6510959695,86214721,
sylsvd,gemm,20480,1024,37486592,4000000,20,45567212,344681,
sylsvd,trsyl,20480,2048,37486592,1000000,10,86312451564,15428861,
sylsvd,gesvd,20480,2048,37486592,1000000,10,13881484742,79239415,
sylsvd,geev,20480,2048,37486592,1000000,10,15369738729,172349303,
sylsvd,gemm,20480,2048,37486592,1000000,10,168665794,346882,
sylsvd,trsyl,20480,2048,37486592,4000000,10,86319281707,15021523,
sylsvd,gesvd,20480,2048,37486592,4000000,10,13791038086,90542903,
sylsvd,geev,20480,2048,37486592,4000000,10,15298866610,184302051,
sylsvd,gemm,20480,2048,37486592,4000000,10,154533122,396069,
sylsvd,trsyl,22528,256,37486592,1000000,88,12214161,687834,
sylsvd,gesvd,22528,256,37486592,1000000,88,14991125,898072,
sylsvd,geev,22528,256,37486592,1000000,88,18788722,1261715,
sylsvd,gemm,22528,256,37486592,1000000,88,4474625,132377,
sylsvd,trsyl,22528,256,37486592,4000000,88,11955502,646267,
sylsvd,gesvd,22528,256,37486592,4000000,88,13844173,978757,
sylsvd,geev,22528,256,37486592,4000000,88,14897721,1221702,
sylsvd,gemm,22528,256,37486592,4000000,88,4380486,170209,
sylsvd,trsyl,22528,512,37486592,1000000,44,4097781381,7377485,
sylsvd,gesvd,22528,512,37486592,1000000,44,2697669884,15026425,
sylsvd,geev,22528,512,37486592,1000000,44,1323283864,27374157,
sylsvd,gemm,22528,512,37486592,1000000,44,15053955,153647,
sylsvd,trsyl,22528,512,37486592,4000000,44,3988699595,7439890,
sylsvd,gesvd,22528,512,37486592,4000000,44,2653692715,16518616,
sylsvd,geev,22528,512,37486592,4000000,44,1278143771,27994887,
sylsvd,gemm,22528,512,37486592,4000000,44,14865493,196242,
sylsvd,trsyl,22528,1024,37486592,1000000,22,23284162882,15873622,
sylsvd,gesvd,22528,1024,37486592,1000000,22,7956095768,37750345,
sylsvd,geev,22528,1024,37486592,1000000,22,7109592236,124454407,
sylsvd,gemm,22528,1024,37486592,1000000,22,45928307,316305,
sylsvd,trsyl,22528,1024,37486592,4000000,22,23298587465,16219141,
sylsvd,gesvd,22528,1024,37486592,4000000,22,7846692866,41285647,
sylsvd,geev,22528,1024,37486592,4000000,22,7121213897,119822000,
sylsvd,gemm,22528,1024,37486592,4000000,22,45282868,374808,
