algorithm,task,matrix_size,tile_size,l3_cache_size,frequency,weight,PAPI_L3_TCM,PAPI_TOT_INS,PAPI_TOT_CYC,PAPI_RES_STL,
sylsvd,trsyl,8192,256,37486592,1000000,32,1277189,3781276810,2034203144,637584382,
sylsvd,gesvd,8192,256,37486592,1000000,32,42818,3849038935,2497071859,1266587504,
sylsvd,geev,8192,256,37486592,1000000,32,31545,7398614088,3375139037,1087238019,
sylsvd,gemm,8192,256,37486592,1000000,32,48138,127066647,50787125,11910078,
sylsvd,trsyl,8192,256,37486592,4000000,32,1262195,3781276302,2033657332,637070249,
sylsvd,gesvd,8192,256,37486592,4000000,32,34609,3849042879,2496865310,1269755359,
sylsvd,geev,8192,256,37486592,4000000,32,27841,7398613488,3366118880,1079497013,
sylsvd,gemm,8192,256,37486592,4000000,32,48187,127066745,51725539,12903253,
sylsvd,trsyl,8192,512,37486592,1000000,16,4407904,11593239297,15482293331,11174124754,
sylsvd,gesvd,8192,512,37486592,1000000,16,66455,20287232669,17434373030,11017522655,
sylsvd,geev,8192,512,37486592,1000000,16,54104,24828721179,14588281870,6461960856,
sylsvd,gemm,8192,512,37486592,1000000,16,440681,493141763,178367947,39536243,
sylsvd,trsyl,8192,512,37486592,4000000,16,4317559,11593236003,18516497118,14193359031,
sylsvd,gesvd,8192,512,37486592,4000000,16,42518,20287229186,18189286213,11762266403,
sylsvd,geev,8192,512,37486592,4000000,16,44998,24828718103,15176882804,7061710533,
sylsvd,gemm,8192,512,37486592,4000000,16,398835,493141827,182661056,43753557,
sylsvd,trsyl,8192,1024,37486592,1000000,8,16257052,39300984804,79959463749,65114561551,
sylsvd,gesvd,8192,1024,37486592,1000000,8,5347952,52333466420,55266453818,30521865518,
sylsvd,geev,8192,1024,37486592,1000000,8,4610765,87799529749,62478200173,26731122905,
sylsvd,gemm,8192,1024,37486592,1000000,8,4203650,1939194274,1905819974,126995808,
sylsvd,trsyl,8192,1024,37486592,4000000,8,17646417,39300967636,96167764130,81143609344,
sylsvd,gesvd,8192,1024,37486592,4000000,8,5027296,52333454143,57952469698,33192015731,
sylsvd,geev,8192,1024,37486592,4000000,8,4371766,87799515999,65741801529,30011895467,
sylsvd,gemm,8192,1024,37486592,4000000,8,4161942,1939194214,1921930922,143572577,
sylsvd,trsyl,8192,2048,37486592,1000000,4,6636798538,143050788414,570644679438,471068061746,
sylsvd,gesvd,8192,2048,37486592,1000000,4,214804151,37023303206,65524986840,21922339265,
sylsvd,geev,8192,2048,37486592,1000000,4,326042461,73396298317,107630057775,68217801846,
sylsvd,gemm,8192,2048,37486592,1000000,4,16959598,7697638268,6853620802,459943952,
sylsvd,trsyl,8192,2048,37486592,4000000,4,6579837074,143050662428,675227993225,577824705579,
sylsvd,gesvd,8192,2048,37486592,4000000,4,217527203,37023289150,72860570497,29276166831,
sylsvd,geev,8192,2048,37486592,4000000,4,331195171,73396274825,120320412799,81000145091,
sylsvd,gemm,8192,2048,37486592,4000000,4,16469045,7697636694,6906484350,514075670,
sylsvd,trsyl,10240,256,37486592,1000000,40,1611669,4726368819,2534796035,791005487,
sylsvd,gesvd,10240,256,37486592,1000000,40,57128,4702014650,3045652018,1540936087,
sylsvd,geev,10240,256,37486592,1000000,40,45512,9255729471,4204164731,1346298476,
sylsvd,gemm,10240,256,37486592,1000000,40,57821,158833470,63394602,14785408,
sylsvd,trsyl,10240,256,37486592,4000000,40,1568775,4726368203,2589747030,845968414,
sylsvd,gesvd,10240,256,37486592,4000000,40,48564,4702026848,3060143553,1557928009,
sylsvd,geev,10240,256,37486592,4000000,40,25779,9255715222,4136586628,1288816200,
sylsvd,gemm,10240,256,37486592,4000000,40,55708,158833665,64696347,16187876,
sylsvd,trsyl,10240,512,37486592,1000000,20,5513758,14489970395,19542189558,14169663594,
sylsvd,gesvd,10240,512,37486592,1000000,20,69271,24937486772,21411317655,13501705145,
sylsvd,geev,10240,512,37486592,1000000,20,68853,31109099700,18483124243,8304277791,
sylsvd,gemm,10240,512,37486592,1000000,20,516670,616427597,223748313,49998374,
sylsvd,trsyl,10240,512,37486592,4000000,20,5614529,14489966140,23155667934,17762003815,
sylsvd,gesvd,10240,512,37486592,4000000,20,66314,24937481414,22364258572,14461834350,
sylsvd,geev,10240,512,37486592,4000000,20,54254,31109087985,19087198845,8934783142,
sylsvd,gemm,10240,512,37486592,4000000,20,506578,616426360,228453248,54865859,
sylsvd,trsyl,10240,1024,37486592,1000000,10,23885005,49126049414,99945871365,81379927218,
sylsvd,gesvd,10240,1024,37486592,1000000,10,6856151,56015757577,60315081589,32521592592,
sylsvd,geev,10240,1024,37486592,1000000,10,5567254,109892701393,81312827384,34154921895,
sylsvd,gemm,10240,1024,37486592,1000000,10,5269369,2423993230,2517951265,159991001,
sylsvd,trsyl,10240,1024,37486592,4000000,10,22760686,49126028066,120847971215,102056153261,
sylsvd,gesvd,10240,1024,37486592,4000000,10,6156661,56015743171,63539862485,35716763174,
sylsvd,geev,10240,1024,37486592,4000000,10,5512888,109892685461,85592132770,38462928642,
sylsvd,gemm,10240,1024,37486592,4000000,10,5236171,2423992206,2536728467,179492481,
sylsvd,trsyl,10240,2048,37486592,1000000,5,8079059627,178814431156,716073081728,589644003133,
sylsvd,gesvd,10240,2048,37486592,1000000,5,268207572,67609009425,112464073259,41701782220,
sylsvd,geev,10240,2048,37486592,1000000,5,397319851,92662938782,138497769979,87490583675,
sylsvd,gemm,10240,2048,37486592,1000000,5,21194913,9622047572,8691072738,572713288,
sylsvd,trsyl,10240,2048,37486592,4000000,5,8038479468,178814272803,844621724178,720537824708,
sylsvd,gesvd,10240,2048,37486592,4000000,5,293233849,67608985166,122552707790,51845684254,
sylsvd,geev,10240,2048,37486592,4000000,5,395833122,92662890169,153550647011,102640181784,
sylsvd,gemm,10240,2048,37486592,4000000,5,20647855,9622045674,8751615783,635517737,
