algorithm,matrix_size,tile_size,threads,case,task,PKG1,PKG2,DRAM1,DRAM2,time
cholesky,8192,512,48,1,potrf,38758201,38582481,2190960,3863693,0.275200
cholesky,8192,512,48,1,gemm,38758201,38582481,2190960,3863693,0.275200
cholesky,8192,512,48,1,trsm,38758201,38582481,2190960,3863693,0.275200
cholesky,8192,512,48,1,syrk,38758201,38582481,2190960,3863693,0.275200
cholesky,8192,512,48,2,potrf,42705824,42365981,2372204,4021100,0.305500
cholesky,8192,512,48,2,gemm,42705824,42365981,2372204,4021100,0.305500
cholesky,8192,512,48,2,trsm,42705824,42365981,2372204,4021100,0.305500
cholesky,8192,512,48,2,syrk,42705824,42365981,2372204,4021100,0.305500
cholesky,8192,512,48,3,potrf,31308575,31348858,2673858,4415641,0.334800
cholesky,8192,512,48,3,gemm,31308575,31348858,2673858,4415641,0.334800
cholesky,8192,512,48,3,trsm,31308575,31348858,2673858,4415641,0.334800
cholesky,8192,512,48,3,syrk,31308575,31348858,2673858,4415641,0.334800
cholesky,8192,512,48,4,potrf,32732826,32180094,2696456,4606432,0.351600
cholesky,8192,512,48,4,gemm,32732826,32180094,2696456,4606432,0.351600
cholesky,8192,512,48,4,trsm,32732826,32180094,2696456,4606432,0.351600
cholesky,8192,512,48,4,syrk,32732826,32180094,2696456,4606432,0.351600
cholesky,8192,512,48,5,potrf,49476314,48742734,3010152,4944486,0.397500
cholesky,8192,512,48,5,gemm,49476314,48742734,3010152,4944486,0.397500
cholesky,8192,512,48,5,trsm,49476314,48742734,3010152,4944486,0.397500
cholesky,8192,512,48,5,syrk,49476314,48742734,3010152,4944486,0.397500
cholesky,8192,512,48,6,potrf,54446333,54833050,3307600,5499524,0.447900
cholesky,8192,512,48,6,gemm,54446333,54833050,3307600,5499524,0.447900
cholesky,8192,512,48,6,trsm,54446333,54833050,3307600,5499524,0.447900
cholesky,8192,512,48,6,syrk,54446333,54833050,3307600,5499524,0.447900
cholesky,8192,512,48,7,potrf,37326442,36058746,3408259,5423958,0.464900
cholesky,8192,512,48,7,gemm,37326442,36058746,3408259,5423958,0.464900
cholesky,8192,512,48,7,trsm,37326442,36058746,3408259,5423958,0.464900
cholesky,8192,512,48,7,syrk,37326442,36058746,3408259,5423958,0.464900
cholesky,8192,512,48,8,potrf,38884483,39143272,3676834,5863817,0.493300
cholesky,8192,512,48,8,gemm,38884483,39143272,3676834,5863817,0.493300
cholesky,8192,512,48,8,trsm,38884483,39143272,3676834,5863817,0.493300
cholesky,8192,512,48,8,syrk,38884483,39143272,3676834,5863817,0.493300
cholesky,8192,512,48,9,potrf,39784138,40351703,2569053,4153414,0.319100
cholesky,8192,512,48,9,gemm,39784138,40351703,2569053,4153414,0.319100
cholesky,8192,512,48,9,trsm,39784138,40351703,2569053,4153414,0.319100
cholesky,8192,512,48,9,syrk,39784138,40351703,2569053,4153414,0.319100
cholesky,8192,512,48,10,potrf,43015942,41271623,2658161,4520293,0.345300
cholesky,8192,512,48,10,gemm,43015942,41271623,2658161,4520293,0.345300
cholesky,8192,512,48,10,trsm,43015942,41271623,2658161,4520293,0.345300
cholesky,8192,512,48,10,syrk,43015942,41271623,2658161,4520293,0.345300
cholesky,8192,512,48,11,potrf,30657820,30533980,2770249,4603219,0.354200
cholesky,8192,512,48,11,gemm,30657820,30533980,2770249,4603219,0.354200
cholesky,8192,512,48,11,trsm,30657820,30533980,2770249,4603219,0.354200
cholesky,8192,512,48,11,syrk,30657820,30533980,2770249,4603219,0.354200
cholesky,8192,512,48,12,potrf,33157508,31510966,3022729,4891578,0.387200
cholesky,8192,512,48,12,gemm,33157508,31510966,3022729,4891578,0.387200
cholesky,8192,512,48,12,trsm,33157508,31510966,3022729,4891578,0.387200
cholesky,8192,512,48,12,syrk,33157508,31510966,3022729,4891578,0.387200
cholesky,8192,512,48,13,potrf,50796989,50238885,3497702,5428593,0.453000
cholesky,8192,512,48,13,gemm,50796989,50238885,3497702,5428593,0.453000
cholesky,8192,512,48,13,trsm,50796989,50238885,3497702,5428593,0.453000
cholesky,8192,512,48,13,syrk,50796989,50238885,3497702,5428593,0.453000
cholesky,8192,512,48,14,potrf,53154649,51984609,3589656,5690161,0.477200
cholesky,8192,512,48,14,gemm,53154649,51984609,3589656,5690161,0.477200
cholesky,8192,512,48,14,trsm,53154649,51984609,3589656,5690161,0.477200
cholesky,8192,512,48,14,syrk,53154649,51984609,3589656,5690161,0.477200
cholesky,8192,512,48,15,potrf,36289885,35349824,3631608,5605430,0.475900
cholesky,8192,512,48,15,gemm,36289885,35349824,3631608,5605430,0.475900
cholesky,8192,512,48,15,trsm,36289885,35349824,3631608,5605430,0.475900
cholesky,8192,512,48,15,syrk,36289885,35349824,3631608,5605430,0.475900
cholesky,8192,512,48,16,potrf,37611049,36373991,3746894,5952312,0.506000
cholesky,8192,512,48,16,gemm,37611049,36373991,3746894,5952312,0.506000
cholesky,8192,512,48,16,trsm,37611049,36373991,3746894,5952312,0.506000
cholesky,8192,512,48,16,syrk,37611049,36373991,3746894,5952312,0.506000
