algorithm,matrix_size,tile_size,threads,case,task,PKG1,PKG2,DRAM1,DRAM2,time
cholesky,14336,256,24,1,potrf,102662457,115147899,7130198,16501265,1.031500
cholesky,14336,256,24,1,gemm,102662457,115147899,7130198,16501265,1.031500
cholesky,14336,256,24,1,trsm,102662457,115147899,7130198,16501265,1.031500
cholesky,14336,256,24,1,syrk,102662457,115147899,7130198,16501265,1.031500
cholesky,14336,256,24,2,potrf,101753402,118102725,7512238,16762374,1.028900
cholesky,14336,256,24,2,gemm,101753402,118102725,7512238,16762374,1.028900
cholesky,14336,256,24,2,trsm,101753402,118102725,7512238,16762374,1.028900
cholesky,14336,256,24,2,syrk,101753402,118102725,7512238,16762374,1.028900
cholesky,14336,256,24,3,potrf,132402432,144655392,8403724,23971413,1.948600
cholesky,14336,256,24,3,gemm,132402432,144655392,8403724,23971413,1.948600
cholesky,14336,256,24,3,trsm,132402432,144655392,8403724,23971413,1.948600
cholesky,14336,256,24,3,syrk,132402432,144655392,8403724,23971413,1.948600
cholesky,14336,256,24,4,potrf,132222501,143823179,8573829,23771702,1.959500
cholesky,14336,256,24,4,gemm,132222501,143823179,8573829,23771702,1.959500
cholesky,14336,256,24,4,trsm,132222501,143823179,8573829,23771702,1.959500
cholesky,14336,256,24,4,syrk,132222501,143823179,8573829,23771702,1.959500
cholesky,14336,256,24,5,potrf,104672827,120266965,6102880,19401196,1.204200
cholesky,14336,256,24,5,gemm,104672827,120266965,6102880,19401196,1.204200
cholesky,14336,256,24,5,trsm,104672827,120266965,6102880,19401196,1.204200
cholesky,14336,256,24,5,syrk,104672827,120266965,6102880,19401196,1.204200
cholesky,14336,256,24,6,potrf,110022485,120583737,6465596,17981693,1.194200
cholesky,14336,256,24,6,gemm,110022485,120583737,6465596,17981693,1.194200
cholesky,14336,256,24,6,trsm,110022485,120583737,6465596,17981693,1.194200
cholesky,14336,256,24,6,syrk,110022485,120583737,6465596,17981693,1.194200
cholesky,14336,256,24,7,potrf,134134911,146693411,8757230,24425195,2.048700
cholesky,14336,256,24,7,gemm,134134911,146693411,8757230,24425195,2.048700
cholesky,14336,256,24,7,trsm,134134911,146693411,8757230,24425195,2.048700
cholesky,14336,256,24,7,syrk,134134911,146693411,8757230,24425195,2.048700
cholesky,14336,256,24,8,potrf,133785729,146286613,8739620,24709913,2.063900
cholesky,14336,256,24,8,gemm,133785729,146286613,8739620,24709913,2.063900
cholesky,14336,256,24,8,trsm,133785729,146286613,8739620,24709913,2.063900
cholesky,14336,256,24,8,syrk,133785729,146286613,8739620,24709913,2.063900
cholesky,14336,256,24,9,potrf,104150673,120072691,5879423,17628844,1.118100
cholesky,14336,256,24,9,gemm,104150673,120072691,5879423,17628844,1.118100
cholesky,14336,256,24,9,trsm,104150673,120072691,5879423,17628844,1.118100
cholesky,14336,256,24,9,syrk,104150673,120072691,5879423,17628844,1.118100
cholesky,14336,256,24,10,potrf,108616666,117164922,6111249,17652452,1.116500
cholesky,14336,256,24,10,gemm,108616666,117164922,6111249,17652452,1.116500
cholesky,14336,256,24,10,trsm,108616666,117164922,6111249,17652452,1.116500
cholesky,14336,256,24,10,syrk,108616666,117164922,6111249,17652452,1.116500
cholesky,14336,256,24,11,potrf,132853541,145222345,7594461,24563079,1.983200
cholesky,14336,256,24,11,gemm,132853541,145222345,7594461,24563079,1.983200
cholesky,14336,256,24,11,trsm,132853541,145222345,7594461,24563079,1.983200
cholesky,14336,256,24,11,syrk,132853541,145222345,7594461,24563079,1.983200
cholesky,14336,256,24,12,potrf,132619472,145403864,8884205,24528149,1.991100
cholesky,14336,256,24,12,gemm,132619472,145403864,8884205,24528149,1.991100
cholesky,14336,256,24,12,trsm,132619472,145403864,8884205,24528149,1.991100
cholesky,14336,256,24,12,syrk,132619472,145403864,8884205,24528149,1.991100
cholesky,14336,256,24,13,potrf,106211093,121738274,6119495,17986971,1.207400
cholesky,14336,256,24,13,gemm,106211093,121738274,6119495,17986971,1.207400
cholesky,14336,256,24,13,trsm,106211093,121738274,6119495,17986971,1.207400
cholesky,14336,256,24,13,syrk,106211093,121738274,6119495,17986971,1.207400
cholesky,14336,256,24,14,potrf,104368141,125736128,6318303,18226477,1.219200
cholesky,14336,256,24,14,gemm,104368141,125736128,6318303,18226477,1.219200
cholesky,14336,256,24,14,trsm,104368141,125736128,6318303,18226477,1.219200
cholesky,14336,256,24,14,syrk,104368141,125736128,6318303,18226477,1.219200
cholesky,14336,256,24,15,potrf,134934530,145814141,9062144,24555001,2.061600
cholesky,14336,256,24,15,gemm,134934530,145814141,9062144,24555001,2.061600
cholesky,14336,256,24,15,trsm,134934530,145814141,9062144,24555001,2.061600
cholesky,14336,256,24,15,syrk,134934530,145814141,9062144,24555001,2.061600
cholesky,14336,256,24,16,potrf,132800747,146363883,8419636,24927204,2.067400
cholesky,14336,256,24,16,gemm,132800747,146363883,8419636,24927204,2.067400
cholesky,14336,256,24,16,trsm,132800747,146363883,8419636,24927204,2.067400
cholesky,14336,256,24,16,syrk,132800747,146363883,8419636,24927204,2.067400
cholesky,14336,512,24,1,potrf,94770753,111655720,7285983,18279093,0.965100
cholesky,14336,512,24,1,gemm,94770753,111655720,7285983,18279093,0.965100
cholesky,14336,512,24,1,trsm,94770753,111655720,7285983,18279093,0.965100
cholesky,14336,512,24,1,syrk,94770753,111655720,7285983,18279093,0.965100
cholesky,14336,512,24,2,potrf,96194151,112437090,7253010,17284915,0.950300
cholesky,14336,512,24,2,gemm,96194151,112437090,7253010,17284915,0.950300
cholesky,14336,512,24,2,trsm,96194151,112437090,7253010,17284915,0.950300
cholesky,14336,512,24,2,syrk,96194151,112437090,7253010,17284915,0.950300
cholesky,14336,512,24,3,potrf,118226443,131575408,8866901,23778633,1.656100
cholesky,14336,512,24,3,gemm,118226443,131575408,8866901,23778633,1.656100
cholesky,14336,512,24,3,trsm,118226443,131575408,8866901,23778633,1.656100
cholesky,14336,512,24,3,syrk,118226443,131575408,8866901,23778633,1.656100
cholesky,14336,512,24,4,potrf,117364384,131003693,8477286,24006511,1.657100
cholesky,14336,512,24,4,gemm,117364384,131003693,8477286,24006511,1.657100
cholesky,14336,512,24,4,trsm,117364384,131003693,8477286,24006511,1.657100
cholesky,14336,512,24,4,syrk,117364384,131003693,8477286,24006511,1.657100
cholesky,14336,512,24,5,potrf,99528737,114905956,6468595,18420297,1.092300
cholesky,14336,512,24,5,gemm,99528737,114905956,6468595,18420297,1.092300
cholesky,14336,512,24,5,trsm,99528737,114905956,6468595,18420297,1.092300
cholesky,14336,512,24,5,syrk,99528737,114905956,6468595,18420297,1.092300
cholesky,14336,512,24,6,potrf,100842393,115498911,6410486,18503300,1.093900
cholesky,14336,512,24,6,gemm,100842393,115498911,6410486,18503300,1.093900
cholesky,14336,512,24,6,trsm,100842393,115498911,6410486,18503300,1.093900
cholesky,14336,512,24,6,syrk,100842393,115498911,6410486,18503300,1.093900
cholesky,14336,512,24,7,potrf,122678824,135943560,8841717,25087517,1.810400
cholesky,14336,512,24,7,gemm,122678824,135943560,8841717,25087517,1.810400
cholesky,14336,512,24,7,trsm,122678824,135943560,8841717,25087517,1.810400
cholesky,14336,512,24,7,syrk,122678824,135943560,8841717,25087517,1.810400
cholesky,14336,512,24,8,potrf,122081963,135271565,8967942,24771954,1.804700
cholesky,14336,512,24,8,gemm,122081963,135271565,8967942,24771954,1.804700
cholesky,14336,512,24,8,trsm,122081963,135271565,8967942,24771954,1.804700
cholesky,14336,512,24,8,syrk,122081963,135271565,8967942,24771954,1.804700
cholesky,14336,512,24,9,potrf,96676388,113373245,6467387,17954520,1.004000
cholesky,14336,512,24,9,gemm,96676388,113373245,6467387,17954520,1.004000
cholesky,14336,512,24,9,trsm,96676388,113373245,6467387,17954520,1.004000
cholesky,14336,512,24,9,syrk,96676388,113373245,6467387,17954520,1.004000
cholesky,14336,512,24,10,potrf,97074702,113118668,7624005,17727667,0.996300
cholesky,14336,512,24,10,gemm,97074702,113118668,7624005,17727667,0.996300
cholesky,14336,512,24,10,trsm,97074702,113118668,7624005,17727667,0.996300
cholesky,14336,512,24,10,syrk,97074702,113118668,7624005,17727667,0.996300
cholesky,14336,512,24,11,potrf,118842042,132525051,8583820,24018415,1.704200
cholesky,14336,512,24,11,gemm,118842042,132525051,8583820,24018415,1.704200
cholesky,14336,512,24,11,trsm,118842042,132525051,8583820,24018415,1.704200
cholesky,14336,512,24,11,syrk,118842042,132525051,8583820,24018415,1.704200
cholesky,14336,512,24,12,potrf,118969483,132650600,8548110,24329586,1.702600
cholesky,14336,512,24,12,gemm,118969483,132650600,8548110,24329586,1.702600
cholesky,14336,512,24,12,trsm,118969483,132650600,8548110,24329586,1.702600
cholesky,14336,512,24,12,syrk,118969483,132650600,8548110,24329586,1.702600
cholesky,14336,512,24,13,potrf,100225513,115364023,6409339,18728317,1.134700
cholesky,14336,512,24,13,gemm,100225513,115364023,6409339,18728317,1.134700
cholesky,14336,512,24,13,trsm,100225513,115364023,6409339,18728317,1.134700
cholesky,14336,512,24,13,syrk,100225513,115364023,6409339,18728317,1.134700
cholesky,14336,512,24,14,potrf,100138965,116036935,6663333,18630932,1.131500
cholesky,14336,512,24,14,gemm,100138965,116036935,6663333,18630932,1.131500
cholesky,14336,512,24,14,trsm,100138965,116036935,6663333,18630932,1.131500
cholesky,14336,512,24,14,syrk,100138965,116036935,6663333,18630932,1.131500
cholesky,14336,512,24,15,potrf,123301808,136284075,8952305,25395796,1.837100
cholesky,14336,512,24,15,gemm,123301808,136284075,8952305,25395796,1.837100
cholesky,14336,512,24,15,trsm,123301808,136284075,8952305,25395796,1.837100
cholesky,14336,512,24,15,syrk,123301808,136284075,8952305,25395796,1.837100
cholesky,14336,512,24,16,potrf,123362477,136569413,8927902,25566438,1.848100
cholesky,14336,512,24,16,gemm,123362477,136569413,8927902,25566438,1.848100
cholesky,14336,512,24,16,trsm,123362477,136569413,8927902,25566438,1.848100
cholesky,14336,512,24,16,syrk,123362477,136569413,8927902,25566438,1.848100
cholesky,14336,1024,24,1,potrf,99967639,93745487,16223186,7981490,0.875300
cholesky,14336,1024,24,1,gemm,99967639,93745487,16223186,7981490,0.875300
cholesky,14336,1024,24,1,trsm,99967639,93745487,16223186,7981490,0.875300
cholesky,14336,1024,24,1,syrk,99967639,93745487,16223186,7981490,0.875300
cholesky,14336,1024,24,2,potrf,100725389,93874455,16177210,8218043,0.878900
cholesky,14336,1024,24,2,gemm,100725389,93874455,16177210,8218043,0.878900
