algorithm,matrix_size,tile_size,threads,case,task,PKG1,PKG2,DRAM1,DRAM2,time
cholesky,14336,256,24,1,potrf,291310472,241214165,20728394,15954977,2.195200
cholesky,14336,256,24,1,gemm,291310472,241214165,20728394,15954977,2.195200
cholesky,14336,256,24,1,trsm,291310472,241214165,20728394,15954977,2.195200
cholesky,14336,256,24,1,syrk,291310472,241214165,20728394,15954977,2.195200
cholesky,14336,256,24,2,potrf,287887264,239407407,21254347,16226063,2.172100
cholesky,14336,256,24,2,gemm,287887264,239407407,21254347,16226063,2.172100
cholesky,14336,256,24,2,trsm,287887264,239407407,21254347,16226063,2.172100
cholesky,14336,256,24,2,syrk,287887264,239407407,21254347,16226063,2.172100
cholesky,14336,256,24,3,potrf,307480963,248401952,38104053,24850505,5.819900
cholesky,14336,256,24,3,gemm,307480963,248401952,38104053,24850505,5.819900
cholesky,14336,256,24,3,trsm,307480963,248401952,38104053,24850505,5.819900
cholesky,14336,256,24,3,syrk,307480963,248401952,38104053,24850505,5.819900
cholesky,14336,256,24,4,potrf,304186172,243589952,40042762,25246729,5.812200
cholesky,14336,256,24,4,gemm,304186172,243589952,40042762,25246729,5.812200
cholesky,14336,256,24,4,trsm,304186172,243589952,40042762,25246729,5.812200
cholesky,14336,256,24,4,syrk,304186172,243589952,40042762,25246729,5.812200
cholesky,14336,256,24,5,potrf,283960943,233063063,22296981,15607086,2.475700
cholesky,14336,256,24,5,gemm,283960943,233063063,22296981,15607086,2.475700
cholesky,14336,256,24,5,trsm,283960943,233063063,22296981,15607086,2.475700
cholesky,14336,256,24,5,syrk,283960943,233063063,22296981,15607086,2.475700
cholesky,14336,256,24,6,potrf,297437715,243546679,23666622,15168710,2.471400
cholesky,14336,256,24,6,gemm,297437715,243546679,23666622,15168710,2.471400
cholesky,14336,256,24,6,trsm,297437715,243546679,23666622,15168710,2.471400
cholesky,14336,256,24,6,syrk,297437715,243546679,23666622,15168710,2.471400
cholesky,14336,256,24,7,potrf,306186167,246815470,42064550,25758162,5.912600
cholesky,14336,256,24,7,gemm,306186167,246815470,42064550,25758162,5.912600
cholesky,14336,256,24,7,trsm,306186167,246815470,42064550,25758162,5.912600
cholesky,14336,256,24,7,syrk,306186167,246815470,42064550,25758162,5.912600
cholesky,14336,256,24,8,potrf,305937815,246335978,37572149,26025529,5.947800
cholesky,14336,256,24,8,gemm,305937815,246335978,37572149,26025529,5.947800
cholesky,14336,256,24,8,trsm,305937815,246335978,37572149,26025529,5.947800
cholesky,14336,256,24,8,syrk,305937815,246335978,37572149,26025529,5.947800
cholesky,14336,256,24,9,potrf,291054004,232275528,22696188,15829717,2.431600
cholesky,14336,256,24,9,gemm,291054004,232275528,22696188,15829717,2.431600
cholesky,14336,256,24,9,trsm,291054004,232275528,22696188,15829717,2.431600
cholesky,14336,256,24,9,syrk,291054004,232275528,22696188,15829717,2.431600
cholesky,14336,256,24,10,potrf,301602744,239253966,22873898,15602175,2.419900
cholesky,14336,256,24,10,gemm,301602744,239253966,22873898,15602175,2.419900
cholesky,14336,256,24,10,trsm,301602744,239253966,22873898,15602175,2.419900
cholesky,14336,256,24,10,syrk,301602744,239253966,22873898,15602175,2.419900
cholesky,14336,256,24,11,potrf,309348207,248010169,38069889,25427972,5.927900
cholesky,14336,256,24,11,gemm,309348207,248010169,38069889,25427972,5.927900
cholesky,14336,256,24,11,trsm,309348207,248010169,38069889,25427972,5.927900
cholesky,14336,256,24,11,syrk,309348207,248010169,38069889,25427972,5.927900
cholesky,14336,256,24,12,potrf,306020884,246248393,37941659,25480405,5.924100
cholesky,14336,256,24,12,gemm,306020884,246248393,37941659,25480405,5.924100
cholesky,14336,256,24,12,trsm,306020884,246248393,37941659,25480405,5.924100
cholesky,14336,256,24,12,syrk,306020884,246248393,37941659,25480405,5.924100
cholesky,14336,256,24,13,potrf,279333209,225701082,23533098,14943142,2.669000
cholesky,14336,256,24,13,gemm,279333209,225701082,23533098,14943142,2.669000
cholesky,14336,256,24,13,trsm,279333209,225701082,23533098,14943142,2.669000
cholesky,14336,256,24,13,syrk,279333209,225701082,23533098,14943142,2.669000
cholesky,14336,256,24,14,potrf,296197422,243765001,24246981,14234279,2.642400
cholesky,14336,256,24,14,gemm,296197422,243765001,24246981,14234279,2.642400
cholesky,14336,256,24,14,trsm,296197422,243765001,24246981,14234279,2.642400
cholesky,14336,256,24,14,syrk,296197422,243765001,24246981,14234279,2.642400
cholesky,14336,256,24,15,potrf,309693482,248578160,38014258,25711436,5.979600
cholesky,14336,256,24,15,gemm,309693482,248578160,38014258,25711436,5.979600
cholesky,14336,256,24,15,trsm,309693482,248578160,38014258,25711436,5.979600
cholesky,14336,256,24,15,syrk,309693482,248578160,38014258,25711436,5.979600
cholesky,14336,256,24,16,potrf,303208208,244694625,41493371,26040936,5.957800
cholesky,14336,256,24,16,gemm,303208208,244694625,41493371,26040936,5.957800
cholesky,14336,256,24,16,trsm,303208208,244694625,41493371,26040936,5.957800
cholesky,14336,256,24,16,syrk,303208208,244694625,41493371,26040936,5.957800
cholesky,14336,512,24,1,potrf,286098144,261092410,22365387,14813430,2.075800
cholesky,14336,512,24,1,gemm,286098144,261092410,22365387,14813430,2.075800
cholesky,14336,512,24,1,trsm,286098144,261092410,22365387,14813430,2.075800
cholesky,14336,512,24,1,syrk,286098144,261092410,22365387,14813430,2.075800
cholesky,14336,512,24,2,potrf,279908585,263131101,22777830,15390606,2.077800
cholesky,14336,512,24,2,gemm,279908585,263131101,22777830,15390606,2.077800
cholesky,14336,512,24,2,trsm,279908585,263131101,22777830,15390606,2.077800
cholesky,14336,512,24,2,syrk,279908585,263131101,22777830,15390606,2.077800
cholesky,14336,512,24,3,potrf,327339189,263038816,37390691,21682716,5.240700
cholesky,14336,512,24,3,gemm,327339189,263038816,37390691,21682716,5.240700
cholesky,14336,512,24,3,trsm,327339189,263038816,37390691,21682716,5.240700
cholesky,14336,512,24,3,syrk,327339189,263038816,37390691,21682716,5.240700
cholesky,14336,512,24,4,potrf,331441352,264249263,39458746,21705713,5.244100
cholesky,14336,512,24,4,gemm,331441352,264249263,39458746,21705713,5.244100
cholesky,14336,512,24,4,trsm,331441352,264249263,39458746,21705713,5.244100
cholesky,14336,512,24,4,syrk,331441352,264249263,39458746,21705713,5.244100
cholesky,14336,512,24,5,potrf,309422670,262259521,23826813,13744464,2.414400
cholesky,14336,512,24,5,gemm,309422670,262259521,23826813,13744464,2.414400
cholesky,14336,512,24,5,trsm,309422670,262259521,23826813,13744464,2.414400
cholesky,14336,512,24,5,syrk,309422670,262259521,23826813,13744464,2.414400
cholesky,14336,512,24,6,potrf,306773385,262724975,24346492,13611782,2.403900
cholesky,14336,512,24,6,gemm,306773385,262724975,24346492,13611782,2.403900
cholesky,14336,512,24,6,trsm,306773385,262724975,24346492,13611782,2.403900
cholesky,14336,512,24,6,syrk,306773385,262724975,24346492,13611782,2.403900
cholesky,14336,512,24,7,potrf,334058410,268019822,38701580,22781669,5.456100
cholesky,14336,512,24,7,gemm,334058410,268019822,38701580,22781669,5.456100
cholesky,14336,512,24,7,trsm,334058410,268019822,38701580,22781669,5.456100
cholesky,14336,512,24,7,syrk,334058410,268019822,38701580,22781669,5.456100
cholesky,14336,512,24,8,potrf,323991846,260996585,38559733,22508611,5.461800
cholesky,14336,512,24,8,gemm,323991846,260996585,38559733,22508611,5.461800
cholesky,14336,512,24,8,trsm,323991846,260996585,38559733,22508611,5.461800
cholesky,14336,512,24,8,syrk,323991846,260996585,38559733,22508611,5.461800
cholesky,14336,512,24,9,potrf,308738834,260309514,23685976,14889257,2.363500
cholesky,14336,512,24,9,gemm,308738834,260309514,23685976,14889257,2.363500
cholesky,14336,512,24,9,trsm,308738834,260309514,23685976,14889257,2.363500
cholesky,14336,512,24,9,syrk,308738834,260309514,23685976,14889257,2.363500
cholesky,14336,512,24,10,potrf,304537856,262488708,24097270,14375620,2.367000
cholesky,14336,512,24,10,gemm,304537856,262488708,24097270,14375620,2.367000
cholesky,14336,512,24,10,trsm,304537856,262488708,24097270,14375620,2.367000
cholesky,14336,512,24,10,syrk,304537856,262488708,24097270,14375620,2.367000
cholesky,14336,512,24,11,potrf,334522154,268290756,38359777,22793924,5.453300
cholesky,14336,512,24,11,gemm,334522154,268290756,38359777,22793924,5.453300
cholesky,14336,512,24,11,trsm,334522154,268290756,38359777,22793924,5.453300
cholesky,14336,512,24,11,syrk,334522154,268290756,38359777,22793924,5.453300
cholesky,14336,512,24,12,potrf,327375383,264848931,37929939,22277687,5.441100
cholesky,14336,512,24,12,gemm,327375383,264848931,37929939,22277687,5.441100
cholesky,14336,512,24,12,trsm,327375383,264848931,37929939,22277687,5.441100
cholesky,14336,512,24,12,syrk,327375383,264848931,37929939,22277687,5.441100
