algorithm,matrix_size,tile_size,threads,case,task,PKG1,PKG2,DRAM1,DRAM2,time
cholesky,8192,512,48,1,potrf,2355768,2936027,306505,221483,0.018100
cholesky,8192,512,48,1,gemm,2355768,2936027,306505,221483,0.018100
cholesky,8192,512,48,1,trsm,2355768,2936027,306505,221483,0.018100
cholesky,8192,512,48,1,syrk,2355768,2936027,306505,221483,0.018100
cholesky,8192,512,48,2,potrf,3692740,4092641,288634,486005,0.035200
cholesky,8192,512,48,2,gemm,3692740,4092641,288634,486005,0.035200
cholesky,8192,512,48,2,trsm,3692740,4092641,288634,486005,0.035200
cholesky,8192,512,48,2,syrk,3692740,4092641,288634,486005,0.035200
cholesky,8192,512,48,3,potrf,2445733,2983574,189689,295734,0.022200
cholesky,8192,512,48,3,gemm,2445733,2983574,189689,295734,0.022200
cholesky,8192,512,48,3,trsm,2445733,2983574,189689,295734,0.022200
cholesky,8192,512,48,3,syrk,2445733,2983574,189689,295734,0.022200
cholesky,8192,512,48,4,potrf,2102045,2299921,175812,240241,0.023100
cholesky,8192,512,48,4,gemm,2102045,2299921,175812,240241,0.023100
cholesky,8192,512,48,4,trsm,2102045,2299921,175812,240241,0.023100
cholesky,8192,512,48,4,syrk,2102045,2299921,175812,240241,0.023100
cholesky,8192,512,48,5,potrf,1808101,1644710,180341,221100,0.023200
cholesky,8192,512,48,5,gemm,1808101,1644710,180341,221100,0.023200
cholesky,8192,512,48,5,trsm,1808101,1644710,180341,221100,0.023200
cholesky,8192,512,48,5,syrk,1808101,1644710,180341,221100,0.023200
cholesky,8192,512,48,6,potrf,2947746,2468621,379960,298503,0.037300
cholesky,8192,512,48,6,gemm,2947746,2468621,379960,298503,0.037300
cholesky,8192,512,48,6,trsm,2947746,2468621,379960,298503,0.037300
cholesky,8192,512,48,6,syrk,2947746,2468621,379960,298503,0.037300
cholesky,8192,512,48,7,potrf,2869316,2779778,394801,299819,0.036600
cholesky,8192,512,48,7,gemm,2869316,2779778,394801,299819,0.036600
cholesky,8192,512,48,7,trsm,2869316,2779778,394801,299819,0.036600
cholesky,8192,512,48,7,syrk,2869316,2779778,394801,299819,0.036600
cholesky,8192,512,48,8,potrf,2948967,2622186,393210,313360,0.039100
cholesky,8192,512,48,8,gemm,2948967,2622186,393210,313360,0.039100
cholesky,8192,512,48,8,trsm,2948967,2622186,393210,313360,0.039100
cholesky,8192,512,48,8,syrk,2948967,2622186,393210,313360,0.039100
cholesky,8192,512,48,9,potrf,3526236,3687613,434015,278216,0.024400
cholesky,8192,512,48,9,gemm,3526236,3687613,434015,278216,0.024400
cholesky,8192,512,48,9,trsm,3526236,3687613,434015,278216,0.024400
cholesky,8192,512,48,9,syrk,3526236,3687613,434015,278216,0.024400
cholesky,8192,512,48,10,potrf,2430047,2662103,317811,238833,0.029700
cholesky,8192,512,48,10,gemm,2430047,2662103,317811,238833,0.029700
cholesky,8192,512,48,10,trsm,2430047,2662103,317811,238833,0.029700
cholesky,8192,512,48,10,syrk,2430047,2662103,317811,238833,0.029700
cholesky,8192,512,48,11,potrf,2324579,2690667,286615,233845,0.028600
cholesky,8192,512,48,11,gemm,2324579,2690667,286615,233845,0.028600
cholesky,8192,512,48,11,trsm,2324579,2690667,286615,233845,0.028600
cholesky,8192,512,48,11,syrk,2324579,2690667,286615,233845,0.028600
cholesky,8192,512,48,12,potrf,2877251,2864434,339675,237487,0.026000
cholesky,8192,512,48,12,gemm,2877251,2864434,339675,237487,0.026000
cholesky,8192,512,48,12,trsm,2877251,2864434,339675,237487,0.026000
cholesky,8192,512,48,12,syrk,2877251,2864434,339675,237487,0.026000
cholesky,8192,512,48,13,potrf,1808040,1899775,262165,210697,0.026700
cholesky,8192,512,48,13,gemm,1808040,1899775,262165,210697,0.026700
cholesky,8192,512,48,13,trsm,1808040,1899775,262165,210697,0.026700
cholesky,8192,512,48,13,syrk,1808040,1899775,262165,210697,0.026700
cholesky,8192,512,48,14,potrf,2683587,2252985,347494,276685,0.035200
cholesky,8192,512,48,14,gemm,2683587,2252985,347494,276685,0.035200
cholesky,8192,512,48,14,trsm,2683587,2252985,347494,276685,0.035200
cholesky,8192,512,48,14,syrk,2683587,2252985,347494,276685,0.035200
cholesky,8192,512,48,15,potrf,1123410,1673824,228383,183952,0.016900
cholesky,8192,512,48,15,gemm,1123410,1673824,228383,183952,0.016900
cholesky,8192,512,48,15,trsm,1123410,1673824,228383,183952,0.016900
cholesky,8192,512,48,15,syrk,1123410,1673824,228383,183952,0.016900
cholesky,8192,512,48,16,potrf,2802606,2522394,381398,309121,0.037600
cholesky,8192,512,48,16,gemm,2802606,2522394,381398,309121,0.037600
cholesky,8192,512,48,16,trsm,2802606,2522394,381398,309121,0.037600
cholesky,8192,512,48,16,syrk,2802606,2522394,381398,309121,0.037600
