algorithm,matrix_size,tile_size,threads,case,task,PKG1,PKG2,DRAM1,DRAM2,time
cholesky,8192,1024,48,1,potrf,27122001,28466114,2954231,2107529,0.210900
cholesky,8192,1024,48,1,gemm,27122001,28466114,2954231,2107529,0.210900
cholesky,8192,1024,48,1,trsm,27122001,28466114,2954231,2107529,0.210900
cholesky,8192,1024,48,1,syrk,27122001,28466114,2954231,2107529,0.210900
cholesky,8192,1024,48,2,potrf,26984184,26168268,2803557,1942366,0.191000
cholesky,8192,1024,48,2,gemm,26984184,26168268,2803557,1942366,0.191000
cholesky,8192,1024,48,2,trsm,26984184,26168268,2803557,1942366,0.191000
cholesky,8192,1024,48,2,syrk,26984184,26168268,2803557,1942366,0.191000
cholesky,8192,1024,48,3,potrf,26112909,23132753,3250592,2135345,0.235100
cholesky,8192,1024,48,3,gemm,26112909,23132753,3250592,2135345,0.235100
cholesky,8192,1024,48,3,trsm,26112909,23132753,3250592,2135345,0.235100
cholesky,8192,1024,48,3,syrk,26112909,23132753,3250592,2135345,0.235100
cholesky,8192,1024,48,4,potrf,25587276,25026609,3471448,2617800,0.271400
cholesky,8192,1024,48,4,gemm,25587276,25026609,3471448,2617800,0.271400
cholesky,8192,1024,48,4,trsm,25587276,25026609,3471448,2617800,0.271400
cholesky,8192,1024,48,4,syrk,25587276,25026609,3471448,2617800,0.271400
cholesky,8192,1024,48,5,potrf,27052421,26000055,3308289,2407807,0.253700
cholesky,8192,1024,48,5,gemm,27052421,26000055,3308289,2407807,0.253700
cholesky,8192,1024,48,5,trsm,27052421,26000055,3308289,2407807,0.253700
cholesky,8192,1024,48,5,syrk,27052421,26000055,3308289,2407807,0.253700
cholesky,8192,1024,48,6,potrf,30329146,27577444,3244396,2417936,0.249300
cholesky,8192,1024,48,6,gemm,30329146,27577444,3244396,2417936,0.249300
cholesky,8192,1024,48,6,trsm,30329146,27577444,3244396,2417936,0.249300
cholesky,8192,1024,48,6,syrk,30329146,27577444,3244396,2417936,0.249300
cholesky,8192,1024,48,7,potrf,28630786,26876824,3569536,2667402,0.281500
cholesky,8192,1024,48,7,gemm,28630786,26876824,3569536,2667402,0.281500
cholesky,8192,1024,48,7,trsm,28630786,26876824,3569536,2667402,0.281500
cholesky,8192,1024,48,7,syrk,28630786,26876824,3569536,2667402,0.281500
cholesky,8192,1024,48,8,potrf,28986559,26268915,4052955,3181466,0.353200
cholesky,8192,1024,48,8,gemm,28986559,26268915,4052955,3181466,0.353200
cholesky,8192,1024,48,8,trsm,28986559,26268915,4052955,3181466,0.353200
cholesky,8192,1024,48,8,syrk,28986559,26268915,4052955,3181466,0.353200
cholesky,8192,1024,48,9,potrf,23316835,23607605,2915430,1981151,0.200600
cholesky,8192,1024,48,9,gemm,23316835,23607605,2915430,1981151,0.200600
cholesky,8192,1024,48,9,trsm,23316835,23607605,2915430,1981151,0.200600
cholesky,8192,1024,48,9,syrk,23316835,23607605,2915430,1981151,0.200600
cholesky,8192,1024,48,10,potrf,26835014,28856982,3171629,2218730,0.235200
cholesky,8192,1024,48,10,gemm,26835014,28856982,3171629,2218730,0.235200
cholesky,8192,1024,48,10,trsm,26835014,28856982,3171629,2218730,0.235200
cholesky,8192,1024,48,10,syrk,26835014,28856982,3171629,2218730,0.235200
cholesky,8192,1024,48,11,potrf,24992307,26216120,3456316,2570645,0.265300
cholesky,8192,1024,48,11,gemm,24992307,26216120,3456316,2570645,0.265300
cholesky,8192,1024,48,11,trsm,24992307,26216120,3456316,2570645,0.265300
cholesky,8192,1024,48,11,syrk,24992307,26216120,3456316,2570645,0.265300
cholesky,8192,1024,48,12,potrf,25267269,24670591,3631715,2833576,0.291500
cholesky,8192,1024,48,12,gemm,25267269,24670591,3631715,2833576,0.291500
cholesky,8192,1024,48,12,trsm,25267269,24670591,3631715,2833576,0.291500
cholesky,8192,1024,48,12,syrk,25267269,24670591,3631715,2833576,0.291500
cholesky,8192,1024,48,13,potrf,26354669,23867981,3297655,2302542,0.246900
cholesky,8192,1024,48,13,gemm,26354669,23867981,3297655,2302542,0.246900
cholesky,8192,1024,48,13,trsm,26354669,23867981,3297655,2302542,0.246900
cholesky,8192,1024,48,13,syrk,26354669,23867981,3297655,2302542,0.246900
cholesky,8192,1024,48,14,potrf,30156173,26533318,3357539,2484904,0.261900
cholesky,8192,1024,48,14,gemm,30156173,26533318,3357539,2484904,0.261900
cholesky,8192,1024,48,14,trsm,30156173,26533318,3357539,2484904,0.261900
cholesky,8192,1024,48,14,syrk,30156173,26533318,3357539,2484904,0.261900
cholesky,8192,1024,48,15,potrf,26277887,23990478,3653104,2716882,0.287000
cholesky,8192,1024,48,15,gemm,26277887,23990478,3653104,2716882,0.287000
cholesky,8192,1024,48,15,trsm,26277887,23990478,3653104,2716882,0.287000
cholesky,8192,1024,48,15,syrk,26277887,23990478,3653104,2716882,0.287000
cholesky,8192,1024,48,16,potrf,27594839,24232482,4008937,3013687,0.333100
cholesky,8192,1024,48,16,gemm,27594839,24232482,4008937,3013687,0.333100
cholesky,8192,1024,48,16,trsm,27594839,24232482,4008937,3013687,0.333100
cholesky,8192,1024,48,16,syrk,27594839,24232482,4008937,3013687,0.333100
cholesky,8192,2048,48,1,potrf,74473564,106010592,9507236,10019083,1.159700
cholesky,8192,2048,48,1,gemm,74473564,106010592,9507236,10019083,1.159700
cholesky,8192,2048,48,1,trsm,74473564,106010592,9507236,10019083,1.159700
cholesky,8192,2048,48,1,syrk,74473564,106010592,9507236,10019083,1.159700
cholesky,8192,2048,48,2,potrf,87703511,125225204,9746329,10607796,1.237500
cholesky,8192,2048,48,2,gemm,87703511,125225204,9746329,10607796,1.237500
cholesky,8192,2048,48,2,trsm,87703511,125225204,9746329,10607796,1.237500
cholesky,8192,2048,48,2,syrk,87703511,125225204,9746329,10607796,1.237500
cholesky,8192,2048,48,3,potrf,98281120,146276298,10611039,11547889,1.326600
cholesky,8192,2048,48,3,gemm,98281120,146276298,10611039,11547889,1.326600
cholesky,8192,2048,48,3,trsm,98281120,146276298,10611039,11547889,1.326600
cholesky,8192,2048,48,3,syrk,98281120,146276298,10611039,11547889,1.326600
cholesky,8192,2048,48,4,potrf,97462092,143368834,11526102,12423524,1.458800
cholesky,8192,2048,48,4,gemm,97462092,143368834,11526102,12423524,1.458800
cholesky,8192,2048,48,4,trsm,97462092,143368834,11526102,12423524,1.458800
cholesky,8192,2048,48,4,syrk,97462092,143368834,11526102,12423524,1.458800
cholesky,8192,2048,48,5,potrf,94387514,149808454,11667015,12662632,1.485000
cholesky,8192,2048,48,5,gemm,94387514,149808454,11667015,12662632,1.485000
cholesky,8192,2048,48,5,trsm,94387514,149808454,11667015,12662632,1.485000
cholesky,8192,2048,48,5,syrk,94387514,149808454,11667015,12662632,1.485000
cholesky,8192,2048,48,6,potrf,105282934,129131017,11564168,12583806,1.464000
cholesky,8192,2048,48,6,gemm,105282934,129131017,11564168,12583806,1.464000
cholesky,8192,2048,48,6,trsm,105282934,129131017,11564168,12583806,1.464000
cholesky,8192,2048,48,6,syrk,105282934,129131017,11564168,12583806,1.464000
cholesky,8192,2048,48,7,potrf,121519830,162500744,13580081,15121311,1.755400
cholesky,8192,2048,48,7,gemm,121519830,162500744,13580081,15121311,1.755400
cholesky,8192,2048,48,7,trsm,121519830,162500744,13580081,15121311,1.755400
cholesky,8192,2048,48,7,syrk,121519830,162500744,13580081,15121311,1.755400
cholesky,8192,2048,48,8,potrf,110685935,126104597,11750798,12580272,1.479800
cholesky,8192,2048,48,8,gemm,110685935,126104597,11750798,12580272,1.479800
cholesky,8192,2048,48,8,trsm,110685935,126104597,11750798,12580272,1.479800
cholesky,8192,2048,48,8,syrk,110685935,126104597,11750798,12580272,1.479800
cholesky,8192,2048,48,9,potrf,80944190,129869053,10050233,10855411,1.249400
cholesky,8192,2048,48,9,gemm,80944190,129869053,10050233,10855411,1.249400
cholesky,8192,2048,48,9,trsm,80944190,129869053,10050233,10855411,1.249400
cholesky,8192,2048,48,9,syrk,80944190,129869053,10050233,10855411,1.249400
cholesky,8192,2048,48,10,potrf,71980529,72639280,6713732,6693061,0.754500
cholesky,8192,2048,48,10,gemm,71980529,72639280,6713732,6693061,0.754500
cholesky,8192,2048,48,10,trsm,71980529,72639280,6713732,6693061,0.754500
cholesky,8192,2048,48,10,syrk,71980529,72639280,6713732,6693061,0.754500
cholesky,8192,2048,48,11,potrf,104104103,153481052,12563932,13871133,1.607100
cholesky,8192,2048,48,11,gemm,104104103,153481052,12563932,13871133,1.607100
cholesky,8192,2048,48,11,trsm,104104103,153481052,12563932,13871133,1.607100
cholesky,8192,2048,48,11,syrk,104104103,153481052,12563932,13871133,1.607100
cholesky,8192,2048,48,12,potrf,100252551,131754179,12105191,13039211,1.517800
cholesky,8192,2048,48,12,gemm,100252551,131754179,12105191,13039211,1.517800
cholesky,8192,2048,48,12,trsm,100252551,131754179,12105191,13039211,1.517800
cholesky,8192,2048,48,12,syrk,100252551,131754179,12105191,13039211,1.517800
cholesky,8192,2048,48,13,potrf,91536753,116420173,11397643,11724681,1.406300
cholesky,8192,2048,48,13,gemm,91536753,116420173,11397643,11724681,1.406300
cholesky,8192,2048,48,13,trsm,91536753,116420173,11397643,11724681,1.406300
cholesky,8192,2048,48,13,syrk,91536753,116420173,11397643,11724681,1.406300
cholesky,8192,2048,48,14,potrf,133890344,160373247,15784275,17528369,2.066200
cholesky,8192,2048,48,14,gemm,133890344,160373247,15784275,17528369,2.066200
cholesky,8192,2048,48,14,trsm,133890344,160373247,15784275,17528369,2.066200
cholesky,8192,2048,48,14,syrk,133890344,160373247,15784275,17528369,2.066200
cholesky,8192,2048,48,15,potrf,156051846,184709243,19073164,21335254,2.514400
cholesky,8192,2048,48,15,gemm,156051846,184709243,19073164,21335254,2.514400
cholesky,8192,2048,48,15,trsm,156051846,184709243,19073164,21335254,2.514400
cholesky,8192,2048,48,15,syrk,156051846,184709243,19073164,21335254,2.514400
cholesky,8192,2048,48,16,potrf,126807415,130528657,14762082,16014250,1.902600
cholesky,8192,2048,48,16,gemm,126807415,130528657,14762082,16014250,1.902600
cholesky,8192,2048,48,16,trsm,126807415,130528657,14762082,16014250,1.902600
cholesky,8192,2048,48,16,syrk,126807415,130528657,14762082,16014250,1.902600
