algorithm,matrix_size,tile_size,threads,case,task,PKG1,PKG2,DRAM1,DRAM2,time
cholesky,8192,512,48,1,potrf,39589438,33819799,3564778,2039903,0.261500
cholesky,8192,512,48,1,gemm,39589438,33819799,3564778,2039903,0.261500
cholesky,8192,512,48,1,trsm,39589438,33819799,3564778,2039903,0.261500
cholesky,8192,512,48,1,syrk,39589438,33819799,3564778,2039903,0.261500
cholesky,8192,512,48,2,potrf,45032478,38201135,3900108,2313468,0.300100
cholesky,8192,512,48,2,gemm,45032478,38201135,3900108,2313468,0.300100
cholesky,8192,512,48,2,trsm,45032478,38201135,3900108,2313468,0.300100
cholesky,8192,512,48,2,syrk,45032478,38201135,3900108,2313468,0.300100
cholesky,8192,512,48,3,potrf,35189302,29599472,4462521,2703127,0.345800
cholesky,8192,512,48,3,gemm,35189302,29599472,4462521,2703127,0.345800
cholesky,8192,512,48,3,trsm,35189302,29599472,4462521,2703127,0.345800
cholesky,8192,512,48,3,syrk,35189302,29599472,4462521,2703127,0.345800
cholesky,8192,512,48,4,potrf,33892064,28460865,4407548,2548292,0.335400
cholesky,8192,512,48,4,gemm,33892064,28460865,4407548,2548292,0.335400
cholesky,8192,512,48,4,trsm,33892064,28460865,4407548,2548292,0.335400
cholesky,8192,512,48,4,syrk,33892064,28460865,4407548,2548292,0.335400
cholesky,8192,512,48,5,potrf,54424666,45629949,4893399,2963258,0.404600
cholesky,8192,512,48,5,gemm,54424666,45629949,4893399,2963258,0.404600
cholesky,8192,512,48,5,trsm,54424666,45629949,4893399,2963258,0.404600
cholesky,8192,512,48,5,syrk,54424666,45629949,4893399,2963258,0.404600
cholesky,8192,512,48,6,potrf,59506744,49870783,5258640,3283472,0.439100
cholesky,8192,512,48,6,gemm,59506744,49870783,5258640,3283472,0.439100
cholesky,8192,512,48,6,trsm,59506744,49870783,5258640,3283472,0.439100
cholesky,8192,512,48,6,syrk,59506744,49870783,5258640,3283472,0.439100
cholesky,8192,512,48,7,potrf,40684832,34204930,5524784,3294702,0.455600
cholesky,8192,512,48,7,gemm,40684832,34204930,5524784,3294702,0.455600
cholesky,8192,512,48,7,trsm,40684832,34204930,5524784,3294702,0.455600
cholesky,8192,512,48,7,syrk,40684832,34204930,5524784,3294702,0.455600
cholesky,8192,512,48,8,potrf,40762652,34103551,5538753,3513615,0.478800
cholesky,8192,512,48,8,gemm,40762652,34103551,5538753,3513615,0.478800
cholesky,8192,512,48,8,trsm,40762652,34103551,5538753,3513615,0.478800
cholesky,8192,512,48,8,syrk,40762652,34103551,5538753,3513615,0.478800
cholesky,8192,512,48,9,potrf,40369953,34180088,3880493,2334581,0.300600
cholesky,8192,512,48,9,gemm,40369953,34180088,3880493,2334581,0.300600
cholesky,8192,512,48,9,trsm,40369953,34180088,3880493,2334581,0.300600
cholesky,8192,512,48,9,syrk,40369953,34180088,3880493,2334581,0.300600
cholesky,8192,512,48,10,potrf,45476568,37472927,4258480,2533052,0.345400
cholesky,8192,512,48,10,gemm,45476568,37472927,4258480,2533052,0.345400
cholesky,8192,512,48,10,trsm,45476568,37472927,4258480,2533052,0.345400
cholesky,8192,512,48,10,syrk,45476568,37472927,4258480,2533052,0.345400
cholesky,8192,512,48,11,potrf,32345682,25538509,4346852,2573750,0.341300
cholesky,8192,512,48,11,gemm,32345682,25538509,4346852,2573750,0.341300
cholesky,8192,512,48,11,trsm,32345682,25538509,4346852,2573750,0.341300
cholesky,8192,512,48,11,syrk,32345682,25538509,4346852,2573750,0.341300
cholesky,8192,512,48,12,potrf,32756447,27349417,4520906,2806785,0.365100
cholesky,8192,512,48,12,gemm,32756447,27349417,4520906,2806785,0.365100
cholesky,8192,512,48,12,trsm,32756447,27349417,4520906,2806785,0.365100
cholesky,8192,512,48,12,syrk,32756447,27349417,4520906,2806785,0.365100
cholesky,8192,512,48,13,potrf,51887502,44671395,5192759,3266015,0.444700
cholesky,8192,512,48,13,gemm,51887502,44671395,5192759,3266015,0.444700
cholesky,8192,512,48,13,trsm,51887502,44671395,5192759,3266015,0.444700
cholesky,8192,512,48,13,syrk,51887502,44671395,5192759,3266015,0.444700
cholesky,8192,512,48,14,potrf,55412822,46638675,5409774,3475808,0.469100
cholesky,8192,512,48,14,gemm,55412822,46638675,5409774,3475808,0.469100
cholesky,8192,512,48,14,trsm,55412822,46638675,5409774,3475808,0.469100
cholesky,8192,512,48,14,syrk,55412822,46638675,5409774,3475808,0.469100
cholesky,8192,512,48,15,potrf,40850237,33135963,5671587,3810373,0.493600
cholesky,8192,512,48,15,gemm,40850237,33135963,5671587,3810373,0.493600
cholesky,8192,512,48,15,trsm,40850237,33135963,5671587,3810373,0.493600
cholesky,8192,512,48,15,syrk,40850237,33135963,5671587,3810373,0.493600
cholesky,8192,512,48,16,potrf,39053000,32022501,5567165,3739978,0.491300
cholesky,8192,512,48,16,gemm,39053000,32022501,5567165,3739978,0.491300
cholesky,8192,512,48,16,trsm,39053000,32022501,5567165,3739978,0.491300
cholesky,8192,512,48,16,syrk,39053000,32022501,5567165,3739978,0.491300
cholesky,8192,1024,48,1,potrf,68147591,59718231,5908279,3746327,0.533400
cholesky,8192,1024,48,1,gemm,68147591,59718231,5908279,3746327,0.533400
cholesky,8192,1024,48,1,trsm,68147591,59718231,5908279,3746327,0.533400
cholesky,8192,1024,48,1,syrk,68147591,59718231,5908279,3746327,0.533400
cholesky,8192,1024,48,2,potrf,91027660,83310700,7207111,4676812,0.665100
cholesky,8192,1024,48,2,gemm,91027660,83310700,7207111,4676812,0.665100
cholesky,8192,1024,48,2,trsm,91027660,83310700,7207111,4676812,0.665100
cholesky,8192,1024,48,2,syrk,91027660,83310700,7207111,4676812,0.665100
cholesky,8192,1024,48,3,potrf,79923135,76901903,8241299,5462865,0.783700
cholesky,8192,1024,48,3,gemm,79923135,76901903,8241299,5462865,0.783700
cholesky,8192,1024,48,3,trsm,79923135,76901903,8241299,5462865,0.783700
cholesky,8192,1024,48,3,syrk,79923135,76901903,8241299,5462865,0.783700
cholesky,8192,1024,48,4,potrf,78788251,69456304,8498507,5731472,0.815600
cholesky,8192,1024,48,4,gemm,78788251,69456304,8498507,5731472,0.815600
cholesky,8192,1024,48,4,trsm,78788251,69456304,8498507,5731472,0.815600
cholesky,8192,1024,48,4,syrk,78788251,69456304,8498507,5731472,0.815600
cholesky,8192,1024,48,5,potrf,104826636,90499219,9120192,6199988,0.888200
cholesky,8192,1024,48,5,gemm,104826636,90499219,9120192,6199988,0.888200
cholesky,8192,1024,48,5,trsm,104826636,90499219,9120192,6199988,0.888200
cholesky,8192,1024,48,5,syrk,104826636,90499219,9120192,6199988,0.888200
cholesky,8192,1024,48,6,potrf,122897513,96106627,10515399,7241429,1.043100
cholesky,8192,1024,48,6,gemm,122897513,96106627,10515399,7241429,1.043100
cholesky,8192,1024,48,6,trsm,122897513,96106627,10515399,7241429,1.043100
cholesky,8192,1024,48,6,syrk,122897513,96106627,10515399,7241429,1.043100
cholesky,8192,1024,48,7,potrf,106866913,77631393,11373561,7886630,1.143900
cholesky,8192,1024,48,7,gemm,106866913,77631393,11373561,7886630,1.143900
cholesky,8192,1024,48,7,trsm,106866913,77631393,11373561,7886630,1.143900
cholesky,8192,1024,48,7,syrk,106866913,77631393,11373561,7886630,1.143900
cholesky,8192,1024,48,8,potrf,91855173,83341522,11604469,8075171,1.168200
cholesky,8192,1024,48,8,gemm,91855173,83341522,11604469,8075171,1.168200
cholesky,8192,1024,48,8,trsm,91855173,83341522,11604469,8075171,1.168200
cholesky,8192,1024,48,8,syrk,91855173,83341522,11604469,8075171,1.168200
cholesky,8192,1024,48,9,potrf,77597823,69785038,7372826,4941915,0.700200
cholesky,8192,1024,48,9,gemm,77597823,69785038,7372826,4941915,0.700200
cholesky,8192,1024,48,9,trsm,77597823,69785038,7372826,4941915,0.700200
cholesky,8192,1024,48,9,syrk,77597823,69785038,7372826,4941915,0.700200
cholesky,8192,1024,48,10,potrf,101070054,87210348,8821980,5893223,0.843100
cholesky,8192,1024,48,10,gemm,101070054,87210348,8821980,5893223,0.843100
cholesky,8192,1024,48,10,trsm,101070054,87210348,8821980,5893223,0.843100
cholesky,8192,1024,48,10,syrk,101070054,87210348,8821980,5893223,0.843100
cholesky,8192,1024,48,11,potrf,71247498,59652741,8375067,5529589,0.803400
cholesky,8192,1024,48,11,gemm,71247498,59652741,8375067,5529589,0.803400
cholesky,8192,1024,48,11,trsm,71247498,59652741,8375067,5529589,0.803400
cholesky,8192,1024,48,11,syrk,71247498,59652741,8375067,5529589,0.803400
cholesky,8192,1024,48,12,potrf,68310738,59612335,8712907,5918116,0.853200
cholesky,8192,1024,48,12,gemm,68310738,59612335,8712907,5918116,0.853200
cholesky,8192,1024,48,12,trsm,68310738,59612335,8712907,5918116,0.853200
cholesky,8192,1024,48,12,syrk,68310738,59612335,8712907,5918116,0.853200
cholesky,8192,1024,48,13,potrf,102614422,86006006,10570036,7441553,1.063600
cholesky,8192,1024,48,13,gemm,102614422,86006006,10570036,7441553,1.063600
cholesky,8192,1024,48,13,trsm,102614422,86006006,10570036,7441553,1.063600
cholesky,8192,1024,48,13,syrk,102614422,86006006,10570036,7441553,1.063600
cholesky,8192,1024,48,14,potrf,111338887,98656180,11891956,8138697,1.200500
cholesky,8192,1024,48,14,gemm,111338887,98656180,11891956,8138697,1.200500
cholesky,8192,1024,48,14,trsm,111338887,98656180,11891956,8138697,1.200500
cholesky,8192,1024,48,14,syrk,111338887,98656180,11891956,8138697,1.200500
cholesky,8192,1024,48,15,potrf,85922814,74518852,11497430,8214769,1.180300
cholesky,8192,1024,48,15,gemm,85922814,74518852,11497430,8214769,1.180300
cholesky,8192,1024,48,15,trsm,85922814,74518852,11497430,8214769,1.180300
cholesky,8192,1024,48,15,syrk,85922814,74518852,11497430,8214769,1.180300
cholesky,8192,1024,48,16,potrf,86324669,70133366,11701241,8295277,1.208300
cholesky,8192,1024,48,16,gemm,86324669,70133366,11701241,8295277,1.208300
cholesky,8192,1024,48,16,trsm,86324669,70133366,11701241,8295277,1.208300
cholesky,8192,1024,48,16,syrk,86324669,70133366,11701241,8295277,1.208300
cholesky,8192,2048,48,1,potrf,122915274,99872791,13649971,9545930,1.439000
cholesky,8192,2048,48,1,gemm,122915274,99872791,13649971,9545930,1.439000
cholesky,8192,2048,48,1,trsm,122915274,99872791,13649971,9545930,1.439000
cholesky,8192,2048,48,1,syrk,122915274,99872791,13649971,9545930,1.439000
cholesky,8192,2048,48,2,potrf,173867474,155830900,17608296,12290490,1.849800
cholesky,8192,2048,48,2,gemm,173867474,155830900,17608296,12290490,1.849800
cholesky,8192,2048,48,2,trsm,173867474,155830900,17608296,12290490,1.849800
cholesky,8192,2048,48,2,syrk,173867474,155830900,17608296,12290490,1.849800
cholesky,8192,2048,48,3,potrf,237313540,182434348,20306374,14006461,2.131800
cholesky,8192,2048,48,3,gemm,237313540,182434348,20306374,14006461,2.131800
cholesky,8192,2048,48,3,trsm,237313540,182434348,20306374,14006461,2.131800
cholesky,8192,2048,48,3,syrk,237313540,182434348,20306374,14006461,2.131800
cholesky,8192,2048,48,4,potrf,259295295,217313225,22508381,15663803,2.369500
cholesky,8192,2048,48,4,gemm,259295295,217313225,22508381,15663803,2.369500
cholesky,8192,2048,48,4,trsm,259295295,217313225,22508381,15663803,2.369500
cholesky,8192,2048,48,4,syrk,259295295,217313225,22508381,15663803,2.369500
cholesky,8192,2048,48,5,potrf,273763337,205547875,22174550,15273057,2.316000
cholesky,8192,2048,48,5,gemm,273763337,205547875,22174550,15273057,2.316000
cholesky,8192,2048,48,5,trsm,273763337,205547875,22174550,15273057,2.316000
cholesky,8192,2048,48,5,syrk,273763337,205547875,22174550,15273057,2.316000
cholesky,8192,2048,48,6,potrf,328082168,255896928,26003008,18289222,2.755500
cholesky,8192,2048,48,6,gemm,328082168,255896928,26003008,18289222,2.755500
cholesky,8192,2048,48,6,trsm,328082168,255896928,26003008,18289222,2.755500
cholesky,8192,2048,48,6,syrk,328082168,255896928,26003008,18289222,2.755500
cholesky,8192,2048,48,7,potrf,305358410,284607975,28364563,19784537,3.006500
cholesky,8192,2048,48,7,gemm,305358410,284607975,28364563,19784537,3.006500
cholesky,8192,2048,48,7,trsm,305358410,284607975,28364563,19784537,3.006500
cholesky,8192,2048,48,7,syrk,305358410,284607975,28364563,19784537,3.006500
cholesky,8192,2048,48,8,potrf,276542139,293428570,30317546,21408463,3.238500
