algorithm,matrix_size,tile_size,threads,case,task,PKG1,PKG2,DRAM1,DRAM2,time
cholesky,8192,512,48,1,potrf,42674451,36303923,3892443,2190883,0.279100
cholesky,8192,512,48,1,gemm,42674451,36303923,3892443,2190883,0.279100
cholesky,8192,512,48,1,trsm,42674451,36303923,3892443,2190883,0.279100
cholesky,8192,512,48,1,syrk,42674451,36303923,3892443,2190883,0.279100
cholesky,8192,512,48,2,potrf,46873415,39767781,4135207,2427100,0.310300
cholesky,8192,512,48,2,gemm,46873415,39767781,4135207,2427100,0.310300
cholesky,8192,512,48,2,trsm,46873415,39767781,4135207,2427100,0.310300
cholesky,8192,512,48,2,syrk,46873415,39767781,4135207,2427100,0.310300
cholesky,8192,512,48,3,potrf,36887296,28478565,4539725,2678617,0.350500
cholesky,8192,512,48,3,gemm,36887296,28478565,4539725,2678617,0.350500
cholesky,8192,512,48,3,trsm,36887296,28478565,4539725,2678617,0.350500
cholesky,8192,512,48,3,syrk,36887296,28478565,4539725,2678617,0.350500
cholesky,8192,512,48,4,potrf,35860443,29778122,4586772,2745248,0.353700
cholesky,8192,512,48,4,gemm,35860443,29778122,4586772,2745248,0.353700
cholesky,8192,512,48,4,trsm,35860443,29778122,4586772,2745248,0.353700
cholesky,8192,512,48,4,syrk,35860443,29778122,4586772,2745248,0.353700
cholesky,8192,512,48,5,potrf,54730817,47760010,5067942,3101187,0.413500
cholesky,8192,512,48,5,gemm,54730817,47760010,5067942,3101187,0.413500
cholesky,8192,512,48,5,trsm,54730817,47760010,5067942,3101187,0.413500
cholesky,8192,512,48,5,syrk,54730817,47760010,5067942,3101187,0.413500
cholesky,8192,512,48,6,potrf,59310456,51319815,5468480,3370880,0.453100
cholesky,8192,512,48,6,gemm,59310456,51319815,5468480,3370880,0.453100
cholesky,8192,512,48,6,trsm,59310456,51319815,5468480,3370880,0.453100
cholesky,8192,512,48,6,syrk,59310456,51319815,5468480,3370880,0.453100
cholesky,8192,512,48,7,potrf,40771258,34812533,5466476,3553716,0.458100
cholesky,8192,512,48,7,gemm,40771258,34812533,5466476,3553716,0.458100
cholesky,8192,512,48,7,trsm,40771258,34812533,5466476,3553716,0.458100
cholesky,8192,512,48,7,syrk,40771258,34812533,5466476,3553716,0.458100
cholesky,8192,512,48,8,potrf,41815567,34700534,5711261,3583842,0.480800
