algorithm,matrix_size,tile_size,case,PKG1,PKG2,DRAM1,DRAM2,time
cholesky,8192,1024,1,29545212,24076415,4334429,2797727,0.303331
cholesky,8192,1024,2,29626450,24184814,4183004,2796320,0.290101
cholesky,8192,1024,3,27794850,23783386,3575579,2199528,0.261478
cholesky,8192,1024,4,27763906,22599369,3357172,2054499,0.242032
cholesky,8192,1024,5,27096610,22804812,3858247,2456339,0.250600
cholesky,8192,1024,6,27155509,22516422,3853427,2339064,0.236961
cholesky,8192,1024,7,27885121,22544742,3150775,1835449,0.205608
cholesky,8192,1024,8,29558213,26070124,3254172,1972231,0.189204
cholesky,8192,1024,9,29761398,25560725,4298749,2838793,0.305810
cholesky,8192,1024,10,30263778,24667783,4187686,2718122,0.292989
cholesky,8192,1024,11,32163370,26690484,3674356,2235208,0.261691
cholesky,8192,1024,12,31205670,25184567,3438858,2008095,0.246304
cholesky,8192,1024,13,28763842,24052306,3947247,2485378,0.262190
cholesky,8192,1024,14,27150687,23517762,3715667,2331965,0.240940
cholesky,8192,1024,15,30469893,26114923,3201036,1922154,0.208304
cholesky,8192,1024,16,30760603,26111322,2940308,1683061,0.182340
cholesky,8192,2048,1,97858880,82882967,13816099,9971883,1.383670
cholesky,8192,2048,2,94634523,77222825,12229489,8830518,1.218920
cholesky,8192,2048,3,81337561,65066606,10940800,7717213,1.064510
cholesky,8192,2048,4,83161408,59927459,10090854,6545952,0.948526
cholesky,8192,2048,5,84686368,67410594,10473248,7722231,1.039620
cholesky,8192,2048,6,77227708,69161016,9899880,6871429,0.942644
cholesky,8192,2048,7,63993977,57884129,8560350,5839015,0.777176
cholesky,8192,2048,8,61942713,49732295,7314930,4739511,0.652280
cholesky,8192,2048,9,98873282,88371661,13286902,9589000,1.340990
cholesky,8192,2048,10,111773335,77132248,12896416,8782031,1.258290
cholesky,8192,2048,11,74049676,68589851,10325404,7340236,0.997831
cholesky,8192,2048,12,76608019,58299656,9061395,6047968,0.859570
cholesky,8192,2048,13,90480542,71169373,10642711,7368373,1.033930
cholesky,8192,2048,14,85614893,73731073,9717336,6786116,0.925283
cholesky,8192,2048,15,56929176,55876017,7524524,5373207,0.696555
cholesky,8192,2048,16,63246969,53518112,7415986,4898173,0.652338
